att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
TCL集团_0,0.6875,0.25,0.0625,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_0,0.5142857142857142,0.2571428571428571,0.0,0.02857142857142857,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_0,0.3958333333333333,0.2708333333333333,0.020833333333333332,0.020833333333333332,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_1,0.4444444444444444,0.1111111111111111,0.0,0.3333333333333333,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_2,0.43243243243243246,0.24324324324324326,0.05405405405405406,0.13513513513513514,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_2,0.2619047619047619,0.16666666666666666,0.047619047619047616,0.19047619047619047,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_2,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_2,0.4782608695652174,0.2608695652173913,0.043478260869565216,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_2,0.6666666666666666,0.2222222222222222,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_2,0.4915254237288136,0.22033898305084745,0.05084745762711865,0.0,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_2,0.4666666666666667,0.3333333333333333,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_3,0.3157894736842105,0.15789473684210525,0.0,0.18421052631578946,0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_3,0.3076923076923077,0.07692307692307693,0.0,0.3076923076923077,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_4,0.3114754098360656,0.18032786885245902,0.0,0.2459016393442623,0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_4,0.34177215189873417,0.20253164556962025,0.08860759493670886,0.02531645569620253,0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_4,0.5333333333333333,0.06666666666666667,0.0,0.2,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_4,0.35714285714285715,0.2857142857142857,0.0,0.21428571428571427,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_5,0.35555555555555557,0.13333333333333333,0.0,0.2222222222222222,0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_5,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_6,0.27941176470588236,0.11764705882352941,0.014705882352941176,0.20588235294117646,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_6,0.4666666666666667,0.2,0.06666666666666667,0.06666666666666667,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.25396825396825395,0.1111111111111111,0.0,0.25396825396825395,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.5833333333333334,0.15,0.05,0.06666666666666667,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.4166666666666667,0.13333333333333333,0.05,0.21666666666666667,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.5283018867924528,0.11320754716981132,0.0,0.1320754716981132,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.5,0.23333333333333334,0.0,0.16666666666666666,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.5517241379310345,0.27586206896551724,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.35294117647058826,0.17647058823529413,0.0,0.29411764705882354,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_8,0.5,0.07142857142857142,0.0,0.2857142857142857,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_9,0.35,0.25,0.0,0.15,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_9,0.6,0.1,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_10,0.375,0.28125,0.03125,0.0625,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
TCL集团_11,0.36,0.18,0.0,0.18,0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
