att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
万里马_0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_2,0.37037037037037035,0.1111111111111111,0.0,0.20987654320987653,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_2,0.5454545454545454,0.09090909090909091,0.0,0.2727272727272727,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_3,0.4482758620689655,0.10344827586206896,0.0,0.3103448275862069,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_3,0.42857142857142855,0.07142857142857142,0.0,0.32142857142857145,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_3,0.53125,0.21875,0.0625,0.125,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.3333333333333333,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_4,0.36666666666666664,0.06666666666666667,0.0,0.4,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_4,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_5,0.3333333333333333,0.1111111111111111,0.022222222222222223,0.17777777777777778,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_6,0.3333333333333333,0.047619047619047616,0.0,0.14285714285714285,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_7,0.42857142857142855,0.0,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_7,0.32432432432432434,0.13513513513513514,0.02702702702702703,0.1891891891891892,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_8,0.375,0.0,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_8,0.32432432432432434,0.13513513513513514,0.02702702702702703,0.1891891891891892,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_9,0.38461538461538464,0.0,0.0,0.07692307692307693,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_9,0.32432432432432434,0.13513513513513514,0.02702702702702703,0.1891891891891892,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_10,0.19298245614035087,0.10526315789473684,0.0,0.24561403508771928,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
万里马_11,0.5135135135135135,0.16216216216216217,0.0,0.08108108108108109,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
