att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
东方电气_0,0.3076923076923077,0.38461538461538464,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_1,0.37735849056603776,0.07547169811320754,0.0,0.22641509433962265,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_1,0.1836734693877551,0.24489795918367346,0.02040816326530612,0.4489795918367347,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_1,0.2926829268292683,0.14634146341463414,0.024390243902439025,0.36585365853658536,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_1,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.3103448275862069,0.2413793103448276,0.0,0.1724137931034483,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.18867924528301888,0.24528301886792453,0.018867924528301886,0.41509433962264153,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.23684210526315788,0.18421052631578946,0.02631578947368421,0.23684210526315788,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.34375,0.15625,0.03125,0.34375,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.36486486486486486,0.17567567567567569,0.013513513513513514,0.21621621621621623,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.18604651162790697,0.27906976744186046,0.023255813953488372,0.20930232558139536,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.1891891891891892,0.21621621621621623,0.08108108108108109,0.2972972972972973,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.18518518518518517,0.18518518518518517,0.0,0.4074074074074074,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.4,0.3,0.1,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_2,0.29411764705882354,0.29411764705882354,0.0,0.11764705882352941,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_3,0.3492063492063492,0.06349206349206349,0.015873015873015872,0.23809523809523808,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_3,0.28,0.1,0.0,0.26,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_3,0.25,0.125,0.0625,0.1875,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_4,0.3076923076923077,0.12307692307692308,0.0,0.18461538461538463,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_4,0.2631578947368421,0.21052631578947367,0.0,0.2631578947368421,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_4,0.3918918918918919,0.28378378378378377,0.06756756756756757,0.06756756756756757,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_4,0.375,0.125,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_5,0.17777777777777778,0.08888888888888889,0.022222222222222223,0.35555555555555557,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_5,0.2,0.2,0.0,0.26666666666666666,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_6,0.3404255319148936,0.1276595744680851,0.0,0.3617021276595745,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_6,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_7,0.3620689655172414,0.1206896551724138,0.0,0.27586206896551724,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_7,0.5151515151515151,0.18181818181818182,0.030303030303030304,0.030303030303030304,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_7,0.42857142857142855,0.2857142857142857,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_8,0.30952380952380953,0.07142857142857142,0.0,0.30952380952380953,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_8,0.2,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_9,0.5862068965517241,0.0,0.0,0.034482758620689655,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_9,0.47368421052631576,0.2631578947368421,0.0,0.05263157894736842,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_9,0.42857142857142855,0.21428571428571427,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_9,0.75,0.0,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_10,0.45714285714285713,0.14285714285714285,0.02857142857142857,0.05714285714285714,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_10,0.5,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.4444444444444444,0.07407407407407407,0.0,0.12962962962962962,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.5625,0.25,0.0625,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.625,0.125,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.35714285714285715,0.17857142857142858,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.4,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.15384615384615385,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.38461538461538464,0.38461538461538464,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_11,0.5,0.25,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_12,0.25,0.1,0.0,0.35,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_12,0.2631578947368421,0.05263157894736842,0.0,0.42105263157894735,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_12,0.6206896551724138,0.10344827586206896,0.0,0.13793103448275862,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_12,0.5714285714285714,0.14285714285714285,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_13,0.25,0.05952380952380952,0.023809523809523808,0.17857142857142858,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_14,0.5384615384615384,0.20512820512820512,0.02564102564102564,0.1794871794871795,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_15,0.5294117647058824,0.17647058823529413,0.0,0.058823529411764705,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_16,0.4489795918367347,0.08163265306122448,0.02040816326530612,0.08163265306122448,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_17,0.27848101265822783,0.05063291139240506,0.012658227848101266,0.3037974683544304,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_17,0.4222222222222222,0.08888888888888889,0.0,0.1111111111111111,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_18,0.5161290322580645,0.16129032258064516,0.03225806451612903,0.03225806451612903,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_19,0.5294117647058824,0.17647058823529413,0.0,0.058823529411764705,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_20,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.14285714285714285,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_21,0.6666666666666666,0.16666666666666666,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_22,0.6666666666666666,0.18181818181818182,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_23,0.6111111111111112,0.2111111111111111,0.011111111111111112,0.03333333333333333,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
东方电气_24,0.42696629213483145,0.0898876404494382,0.02247191011235955,0.14606741573033707,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
