att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
东方财富_1,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_2,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_5,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_7,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_8,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_10,0.36153846153846153,0.06153846153846154,0.007692307692307693,0.16923076923076924,0,1,1.0,1.0,1.0,1.0,0.8166985253959584,0.8064274017467249,0.6643835616438356,0.6643835616438356,1
东方财富_11,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_12,0.34306569343065696,0.058394160583941604,0.0072992700729927005,0.16058394160583941,0,1,1.0,1.0,1.0,1.0,0.8166985253959584,0.8064274017467249,0.6643835616438356,0.6643835616438356,1
东方财富_20,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_30,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_35,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_36,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_39,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_42,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_46,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_50,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_51,0.3333333333333333,0.2222222222222222,0.0,0.0,1,0,1.0,1.0,1.0,1.0,0.9975210708973723,0.41414141414141414,0.02857142857142857,0.02631578947368421,1
东方财富_52,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_56,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_59,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_60,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_63,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_64,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_68,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_70,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_71,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_75,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_79,0.3924050632911392,0.27848101265822783,0.0379746835443038,0.012658227848101266,0,1,1.0,1.0,1.0,1.0,0.9545454545454546,0.9375,0.875,0.8260869565217391,1
东方财富_83,0.16981132075471697,0.20754716981132076,0.03773584905660377,0.03773584905660377,0,0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8461538461538461,0.75,0.698019801980198,1
东方财富_83,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_87,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_94,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_97,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_99,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_103,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_105,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_113,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_114,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
东方财富_117,0.0,0.0,0.0,0.0,0,1,1.0,0.1935725982532751,0.1833014746040415,0.0,0.8166985253959584,0.8064274017467249,0.0,0.0,1
