att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
中国国旅_3,0.2222222222222222,0.12698412698412698,0.0,0.25396825396825395,0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_3,0.45454545454545453,0.36363636363636365,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_3,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_4,0.2982456140350877,0.17543859649122806,0.0,0.21052631578947367,0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_4,0.25,0.125,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_5,0.525,0.125,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_5,0.8333333333333334,0.16666666666666666,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_6,0.47126436781609193,0.06896551724137931,0.0,0.13793103448275862,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_6,0.4931506849315068,0.1780821917808219,0.0,0.0136986301369863,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_6,0.6111111111111112,0.1388888888888889,0.0,0.0,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_6,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_7,0.31343283582089554,0.08955223880597014,0.0,0.26865671641791045,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_7,0.42424242424242425,0.15151515151515152,0.0,0.09090909090909091,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_7,0.575,0.125,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_7,0.5882352941176471,0.11764705882352941,0.0,0.11764705882352941,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_7,0.25,0.1875,0.0,0.375,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_9,0.5,0.1111111111111111,0.0,0.1388888888888889,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_9,0.3235294117647059,0.14705882352941177,0.029411764705882353,0.23529411764705882,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_9,0.6666666666666666,0.16666666666666666,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_10,0.45652173913043476,0.08695652173913043,0.0,0.2826086956521739,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_10,0.6666666666666666,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_11,0.5955056179775281,0.07865168539325842,0.0,0.12359550561797752,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_12,0.3898305084745763,0.13559322033898305,0.0,0.15254237288135594,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
中国国旅_12,0.4117647058823529,0.17647058823529413,0.0,0.11764705882352941,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
