att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
中国建筑_0,0.07547169811320754,0.1320754716981132,0.0,0.6981132075471698,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.10714285714285714,0.09876543209876543,1
中国建筑_0,0.7,0.1,0.0,0.1,0,0,1.0,1.0,1.0,1.0,0.06673407482305359,0.05173553719008264,0.01507537688442211,0.0,1
中国建筑_1,0.44642857142857145,0.17857142857142858,0.0,0.16071428571428573,0,1,1.0,1.0,1.0,1.0,0.25,0.14754098360655737,0.07692307692307693,0.07692307692307693,1
中国建筑_1,0.5540540540540541,0.2702702702702703,0.02702702702702703,0.08108108108108109,0,1,1.0,1.0,1.0,1.0,0.20100502512562815,0.14754098360655737,0.1111111111111111,0.07142857142857142,1
中国建筑_1,0.6052631578947368,0.21052631578947367,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.14754098360655737,0.14285714285714285,0.06673407482305359,1
中国建筑_1,0.42105263157894735,0.05263157894736842,0.0,0.15789473684210525,0,0,1.0,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,0.06673407482305359,0.05173553719008264,1
中国建筑_2,0.5652173913043478,0.13043478260869565,0.0,0.17391304347826086,0,1,1.0,1.0,1.0,1.0,0.16521739130434782,0.16521739130434782,0.13333333333333333,0.06685236768802229,1
中国建筑_2,0.4166666666666667,0.2916666666666667,0.0,0.08333333333333333,0,0,1.0,1.0,1.0,1.0,0.17006802721088435,0.14754098360655737,0.14754098360655737,0.10344827586206896,1
中国建筑_2,0.6296296296296297,0.2222222222222222,0.037037037037037035,0.0,0,0,1.0,1.0,1.0,1.0,0.25,0.14285714285714285,0.13333333333333333,0.09665427509293681,1
中国建筑_2,0.5833333333333334,0.16666666666666666,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.34188846641318127,0.06673407482305359,0.05173553719008264,0.040062319163142665,1
中国建筑_3,0.43333333333333335,0.2833333333333333,0.0,0.08333333333333333,0,1,1.0,1.0,1.0,1.0,0.17006802721088435,0.16521739130434782,0.16521739130434782,0.14754098360655737,1
中国建筑_3,0.75,0.25,0.0,0.0,0,0,1.0,1.0,0.9849246231155779,0.9782608695652174,0.07480314960629922,0.06673407482305359,0.05173553719008264,0.05,1
中国建筑_4,0.6,0.1111111111111111,0.0,0.08888888888888889,0,1,1.0,1.0,1.0,1.0,0.34188846641318127,0.12903225806451613,0.09523809523809523,0.06685236768802229,1
