att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
中国重工_0,0.3,0.23333333333333334,0.06666666666666667,0.06666666666666667,0,2,1.0,1.0,1.0,1.0,0.08783783783783784,0.020080321285140562,0.020080321285140562,0.0196078431372549,1
中国重工_0,0.25287356321839083,0.11494252873563218,0.011494252873563218,0.14942528735632185,0,3,1.0,1.0,1.0,1.0,0.08783783783783784,0.08783783783783784,0.08783783783783784,0.08783783783783784,1
中国重工_0,0.5555555555555556,0.2222222222222222,0.0,0.2222222222222222,0,0,1.0,1.0,1.0,1.0,0.08783783783783784,0.020080321285140562,0.0196078431372549,0.0,1
中国重工_1,0.48,0.04,0.02,0.08,0,2,1.0,1.0,1.0,1.0,0.08783783783783784,0.08783783783783784,0.08783783783783784,0.08783783783783784,1
中国重工_1,0.7058823529411765,0.11764705882352941,0.058823529411764705,0.058823529411764705,0,2,1.0,1.0,1.0,1.0,0.020080321285140562,0.0196078431372549,0.019230769230769232,0.019230769230769232,1
中国重工_2,0.325,0.125,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.5263157894736842,0.3333333333333333,0.13333333333333333,0.13333333333333333,1
中国重工_2,0.4,0.1,0.0,0.1,0,0,1.0,1.0,1.0,1.0,0.08783783783783784,0.08783783783783784,0.08783783783783784,0.020080321285140562,1
中国重工_3,0.375,0.08333333333333333,0.125,0.08333333333333333,0,0,1.0,1.0,1.0,1.0,0.08783783783783784,0.08783783783783784,0.020080321285140562,0.0196078431372549,1
中国重工_3,0.391304347826087,0.13043478260869565,0.13043478260869565,0.08695652173913043,0,0,1.0,1.0,1.0,1.0,0.020080321285140562,0.0196078431372549,0.0196078431372549,0.019230769230769232,1
中国重工_4,0.4444444444444444,0.018518518518518517,0.05555555555555555,0.09259259259259259,0,0,1.0,1.0,1.0,1.0,0.13333333333333333,0.13333333333333333,0.1111111111111111,0.08783783783783784,1
中国重工_4,0.5294117647058824,0.058823529411764705,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.08783783783783784,0.08783783783783784,0.08783783783783784,0.08783783783783784,1
中国重工_5,0.3125,0.1875,0.0,0.375,0,0,1.0,1.0,1.0,1.0,0.1111111111111111,0.020080321285140562,0.0196078431372549,0.0,1
中国重工_5,0.40476190476190477,0.09523809523809523,0.0,0.047619047619047616,0,1,1.0,1.0,1.0,1.0,0.08783783783783784,0.08783783783783784,0.020080321285140562,0.0196078431372549,1
中国重工_5,0.5,0.4,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.020080321285140562,0.0196078431372549,0.0,0.0,1
中国重工_6,0.58,0.24,0.04,0.1,0,1,1.0,1.0,1.0,1.0,0.020080321285140562,0.020080321285140562,0.020080321285140562,0.020080321285140562,1
中国重工_6,0.46296296296296297,0.12962962962962962,0.018518518518518517,0.037037037037037035,0,1,1.0,1.0,1.0,1.0,0.08783783783783784,0.08783783783783784,0.020080321285140562,0.020080321285140562,1
中国重工_6,0.5957446808510638,0.23404255319148937,0.02127659574468085,0.0425531914893617,0,2,1.0,1.0,1.0,1.0,0.020080321285140562,0.020080321285140562,0.020080321285140562,0.020080321285140562,1
中国重工_6,0.7222222222222222,0.3888888888888889,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.020080321285140562,0.020080321285140562,0.020080321285140562,0.020080321285140562,1
中国重工_6,0.5925925925925926,0.37037037037037035,0.0,0.1111111111111111,0,1,1.0,1.0,1.0,1.0,0.020080321285140562,0.020080321285140562,0.020080321285140562,0.0196078431372549,1
中国重工_6,0.5714285714285714,0.5714285714285714,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.020080321285140562,0.020080321285140562,0.020080321285140562,0.0196078431372549,1
中国重工_6,0.5,0.2777777777777778,0.05555555555555555,0.0,0,0,1.0,1.0,1.0,1.0,0.020080321285140562,0.0196078431372549,0.0,0.0,1
中国重工_6,0.6363636363636364,0.18181818181818182,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.020080321285140562,0.0196078431372549,0.0,0.0,1
