att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
云南旅游_42,0.4,0.2,0.05,0.0,0,0,0.5,0.453929539295393,0.42857142857142855,0.42396907216494845,1.0,1.0,1.0,1.0,0
云南旅游_42,0.5,0.3,0.1,0.1,0,0,0.5833333333333334,0.453929539295393,0.34146341463414637,0.0,1.0,1.0,1.0,1.0,0
云南旅游_42,0.6666666666666666,0.5,0.16666666666666666,0.0,0,0,0.4766355140186916,0.453929539295393,0.2,0.0,1.0,1.0,1.0,0.8,0
云南旅游_43,0.75,0.375,0.125,0.0,0,0,0.5421792618629174,0.4766355140186916,0.453929539295393,0.3,1.0,1.0,1.0,1.0,0
云南旅游_44,0.6666666666666666,0.5,0.041666666666666664,0.0,0,1,0.6,0.46153846153846156,0.453929539295393,0.39080459770114945,1.0,1.0,1.0,1.0,0
云南旅游_44,0.5217391304347826,0.30434782608695654,0.0,0.08695652173913043,0,1,0.6666666666666666,0.5,0.5,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_44,0.625,0.25,0.0,0.0,0,1,0.5,0.4659090909090909,0.453929539295393,0.18181818181818182,1.0,0.9444444444444444,0.825,0.8235294117647058,0
云南旅游_44,0.4444444444444444,0.2777777777777778,0.0,0.2222222222222222,0,0,0.7540983606557377,0.5238095238095238,0.4659090909090909,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_44,0.5333333333333333,0.5333333333333333,0.0,0.0,0,1,0.5384615384615384,0.4766355140186916,0.453929539295393,0.39080459770114945,1.0,1.0,1.0,1.0,0
云南旅游_44,0.6153846153846154,0.3076923076923077,0.0,0.07692307692307693,0,0,0.5152671755725191,0.453929539295393,0.39080459770114945,0.34146341463414637,1.0,1.0,1.0,0.9411764705882353,0
云南旅游_44,0.5,0.4375,0.0,0.0625,0,0,0.453929539295393,0.42396907216494845,0.4,0.39080459770114945,1.0,1.0,1.0,1.0,0
云南旅游_44,0.5,0.125,0.125,0.125,0,0,0.453929539295393,0.34146341463414637,0.2222222222222222,0.06666666666666667,1.0,1.0,1.0,0.9333333333333333,0
云南旅游_44,0.5,0.375,0.0,0.125,0,0,0.4766355140186916,0.453929539295393,0.34146341463414637,0.23076923076923078,1.0,1.0,0.9333333333333333,0.7777777777777778,0
云南旅游_44,0.3541666666666667,0.2708333333333333,0.020833333333333332,0.041666666666666664,0,1,0.6111111111111112,0.5152671755725191,0.4659090909090909,0.46153846153846156,1.0,1.0,1.0,1.0,0
云南旅游_44,0.7777777777777778,0.4444444444444444,0.0,0.0,0,1,0.5421792618629174,0.46153846153846156,0.453929539295393,0.375,0.9444444444444444,0.8333333333333334,0.825,0.8235294117647058,0
云南旅游_45,0.5,0.125,0.0,0.25,0,0,0.6078431372549019,0.453929539295393,0.0,0.0,1.0,1.0,1.0,1.0,0
云南旅游_45,0.3125,0.25,0.0625,0.0625,0,0,0.5046728971962616,0.453929539295393,0.16666666666666666,0.1,1.0,1.0,1.0,1.0,0
云南旅游_45,0.4,0.2,0.1,0.0,0,0,0.4659090909090909,0.453929539295393,0.30434782608695654,0.0,1.0,1.0,1.0,1.0,0
云南旅游_46,0.42857142857142855,0.35714285714285715,0.0,0.0,0,1,0.8,0.6666666666666666,0.453929539295393,0.3157894736842105,1.0,1.0,1.0,1.0,0
云南旅游_46,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0,0,0.6666666666666666,0.5714285714285714,0.453929539295393,0.34615384615384615,1.0,1.0,1.0,1.0,0
云南旅游_46,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0,0,0.5666666666666667,0.453929539295393,0.34146341463414637,0.2459016393442623,1.0,1.0,1.0,0.7540983606557377,0
云南旅游_47,0.35714285714285715,0.0,0.07142857142857142,0.0,0,0,0.8181818181818182,0.8181818181818182,0.5421792618629174,0.5421792618629174,1.0,1.0,1.0,1.0,0
云南旅游_47,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.3076923076923077,0,0,0.5,0.4782608695652174,0.4659090909090909,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_48,0.25,0.21428571428571427,0.07142857142857142,0.10714285714285714,0,0,0.8953488372093024,0.8181818181818182,0.8181818181818182,0.6363636363636364,1.0,1.0,1.0,1.0,0
云南旅游_48,0.3448275862068966,0.27586206896551724,0.0,0.10344827586206896,0,0,0.6666666666666666,0.625,0.5666666666666667,0.5625,1.0,1.0,1.0,1.0,0
云南旅游_48,0.625,0.125,0.0,0.0,0,0,0.5421792618629174,0.453929539295393,0.42857142857142855,0.42105263157894735,1.0,1.0,1.0,1.0,0
云南旅游_49,0.375,0.125,0.0625,0.375,0,0,0.6078431372549019,0.5714285714285714,0.5355191256830601,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_49,0.4,0.2,0.06666666666666667,0.06666666666666667,0,0,0.5421792618629174,0.4659090909090909,0.453929539295393,0.14285714285714285,1.0,1.0,1.0,1.0,0
云南旅游_50,0.8333333333333334,0.16666666666666666,0.0,0.0,0,0,0.5555555555555556,0.453929539295393,0.4444444444444444,0.39080459770114945,0.9411764705882353,0.6666666666666666,0.6091954022988506,0.5555555555555556,0
云南旅游_51,0.3125,0.22916666666666666,0.041666666666666664,0.020833333333333332,0,0,0.6666666666666666,0.5421792618629174,0.5421792618629174,0.5421792618629174,1.0,1.0,1.0,1.0,0
云南旅游_51,0.5510204081632653,0.22448979591836735,0.0,0.1836734693877551,0,1,0.7523584905660378,0.6666666666666666,0.6078431372549019,0.5454545454545454,1.0,1.0,1.0,1.0,0
云南旅游_51,0.5,0.3333333333333333,0.0,0.0,0,0,0.4659090909090909,0.453929539295393,0.23076923076923078,0.0,1.0,1.0,1.0,0.7692307692307693,0
云南旅游_52,0.5921052631578947,0.3026315789473684,0.039473684210526314,0.07894736842105263,0,0,0.7142857142857143,0.7,0.7,0.6666666666666666,1.0,1.0,1.0,1.0,0
云南旅游_52,0.2,0.2,0.0,0.6,0,0,0.4838709677419355,0.453929539295393,0.16666666666666666,0.0,1.0,1.0,0.8333333333333334,0.5460704607046071,0
云南旅游_53,0.41379310344827586,0.20689655172413793,0.0,0.034482758620689655,0,0,0.5421792618629174,0.5421792618629174,0.5421792618629174,0.5421792618629174,1.0,1.0,1.0,1.0,0
云南旅游_53,0.475,0.3,0.0,0.125,0,0,0.725,0.5833333333333334,0.5714285714285714,0.5152671755725191,1.0,1.0,1.0,1.0,0
云南旅游_54,0.5357142857142857,0.35714285714285715,0.03571428571428571,0.07142857142857142,0,2,0.6666666666666666,0.5666666666666667,0.4838709677419355,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_55,0.36,0.26,0.06,0.1,0,1,0.5421792618629174,0.5421792618629174,0.5421792618629174,0.5421792618629174,1.0,1.0,1.0,1.0,0
云南旅游_55,0.19047619047619047,0.3333333333333333,0.14285714285714285,0.0,0,0,0.5,0.5,0.453929539295393,0.4117647058823529,1.0,1.0,1.0,1.0,0
云南旅游_55,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0,0,0.6666666666666666,0.5,0.453929539295393,0.4166666666666667,1.0,1.0,0.5833333333333334,0.5460704607046071,0
云南旅游_56,0.6,0.3,0.0,0.0,0,0,0.5,0.453929539295393,0.26264591439688717,0.2459016393442623,1.0,1.0,1.0,1.0,0
云南旅游_56,0.7058823529411765,0.17647058823529413,0.0,0.0,0,0,0.6666666666666666,0.6,0.453929539295393,0.2857142857142857,1.0,1.0,1.0,1.0,0
云南旅游_56,0.391304347826087,0.17391304347826086,0.0,0.17391304347826086,0,1,0.6,0.5046728971962616,0.453929539295393,0.417910447761194,1.0,1.0,1.0,1.0,0
云南旅游_56,0.3488372093023256,0.16279069767441862,0.06976744186046512,0.20930232558139536,0,0,0.8571428571428571,0.7777777777777778,0.6078431372549019,0.6,1.0,1.0,1.0,1.0,0
云南旅游_56,0.3235294117647059,0.23529411764705882,0.029411764705882353,0.029411764705882353,0,2,0.7619047619047619,0.6666666666666666,0.5421792618629174,0.5421792618629174,1.0,1.0,1.0,1.0,0
云南旅游_56,0.3,0.25,0.1,0.05,0,0,0.8,0.6,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,0
云南旅游_56,0.32608695652173914,0.1956521739130435,0.043478260869565216,0.2608695652173913,0,1,0.7777777777777778,0.75,0.725,0.6666666666666666,1.0,1.0,1.0,1.0,0
云南旅游_56,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.0,0,0,0.5833333333333334,0.5,0.453929539295393,0.0,1.0,1.0,1.0,1.0,0
云南旅游_56,0.46153846153846156,0.28205128205128205,0.05128205128205128,0.1282051282051282,0,1,0.7142857142857143,0.6078431372549019,0.6,0.5355191256830601,1.0,1.0,1.0,1.0,0
云南旅游_56,0.35294117647058826,0.35294117647058826,0.0,0.0,0,0,0.5333333333333333,0.5152671755725191,0.4659090909090909,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_56,0.5333333333333333,0.23333333333333334,0.1,0.0,0,0,0.627906976744186,0.5421792618629174,0.5046728971962616,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_56,0.5370370370370371,0.2962962962962963,0.07407407407407407,0.0,0,0,0.6666666666666666,0.627906976744186,0.5714285714285714,0.5238095238095238,1.0,1.0,1.0,1.0,0
云南旅游_56,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0,0,0.5046728971962616,0.06666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,0
云南旅游_57,0.4489795918367347,0.2653061224489796,0.02040816326530612,0.04081632653061224,0,0,0.9285714285714286,0.5454545454545454,0.5152671755725191,0.5,1.0,1.0,1.0,1.0,0
云南旅游_58,0.5384615384615384,0.46153846153846156,0.0,0.0,0,0,0.5046728971962616,0.5,0.5,0.453929539295393,1.0,1.0,1.0,1.0,0
云南旅游_59,0.5,0.3125,0.0,0.0625,0,0,0.5,0.453929539295393,0.4117647058823529,0.38235294117647056,1.0,1.0,1.0,1.0,0
云南旅游_60,0.4444444444444444,0.3333333333333333,0.05555555555555555,0.0,0,0,0.6,0.5,0.453929539295393,0.34146341463414637,1.0,1.0,1.0,1.0,0
