att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
人民网_9,0.4090909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0,0,0.44,0.44,0.3333333333333333,0.28125,1.0,1.0,1.0,1.0,0
人民网_10,0.47058823529411764,0.11764705882352941,0.029411764705882353,0.11764705882352941,0,1,0.5,0.5,0.44,0.44,1.0,1.0,1.0,1.0,0
人民网_10,0.42857142857142855,0.2857142857142857,0.0,0.0,0,1,0.28125,0.25,0.06666666666666667,0.0,1.0,1.0,1.0,1.0,0
人民网_11,0.44,0.08,0.0,0.16,0,0,0.6666666666666666,0.44,0.44,0.42857142857142855,1.0,1.0,1.0,1.0,0
人民网_12,0.47058823529411764,0.23529411764705882,0.058823529411764705,0.058823529411764705,0,1,0.44,0.44,0.3333333333333333,0.28125,1.0,1.0,1.0,1.0,0
人民网_12,0.45454545454545453,0.13636363636363635,0.045454545454545456,0.045454545454545456,0,0,0.45454545454545453,0.45454545454545453,0.28125,0.13333333333333333,1.0,1.0,1.0,1.0,0
人民网_12,0.5526315789473685,0.18421052631578946,0.0,0.02631578947368421,0,0,0.75,0.75,0.6,0.6,1.0,1.0,1.0,1.0,0
人民网_13,0.5660377358490566,0.1509433962264151,0.0,0.05660377358490566,0,0,0.6666666666666666,0.6363636363636364,0.6363636363636364,0.6,1.0,1.0,1.0,1.0,0
人民网_14,0.5,0.20588235294117646,0.0,0.08823529411764706,0,0,0.44,0.44,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0
人民网_14,0.5217391304347826,0.21739130434782608,0.0,0.17391304347826086,0,1,0.5,0.28125,0.25,0.2,1.0,1.0,1.0,1.0,0
人民网_14,0.28888888888888886,0.35555555555555557,0.022222222222222223,0.17777777777777778,0,0,0.5,0.42857142857142855,0.42857142857142855,0.28125,1.0,1.0,1.0,1.0,0
人民网_14,0.43478260869565216,0.17391304347826086,0.0,0.13043478260869565,0,1,0.9333333333333333,0.6,0.3333333333333333,0.28125,1.0,1.0,1.0,1.0,0
人民网_15,0.375,0.34375,0.03125,0.03125,0,1,0.6,0.6,0.5714285714285714,0.5,1.0,1.0,1.0,1.0,0
人民网_16,0.3333333333333333,0.0,0.0,0.05555555555555555,0,0,0.6,0.6,0.44,0.44,1.0,1.0,1.0,1.0,0
人民网_17,0.40350877192982454,0.07017543859649122,0.0,0.14035087719298245,0,1,0.8333333333333334,0.6666666666666666,0.6,0.6,1.0,1.0,1.0,1.0,0
人民网_18,0.3090909090909091,0.12727272727272726,0.0,0.2727272727272727,0,0,0.8,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0
人民网_18,0.4,0.05714285714285714,0.0,0.0,0,0,0.6666666666666666,0.6363636363636364,0.5,0.5,0.71875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
人民网_19,0.4318181818181818,0.2727272727272727,0.0,0.09090909090909091,0,0,0.6666666666666666,0.5,0.3333333333333333,0.28125,1.0,1.0,1.0,1.0,0
人民网_20,0.375,0.0625,0.0,0.25,0,0,0.6666666666666666,0.6666666666666666,0.44,0.44,1.0,1.0,1.0,1.0,0
人民网_21,0.3181818181818182,0.22727272727272727,0.0,0.045454545454545456,0,1,0.6666666666666666,0.6,0.6,0.5,1.0,1.0,1.0,1.0,0
人民网_22,0.4375,0.125,0.0,0.15625,0,0,0.5,0.5,0.44,0.44,1.0,1.0,1.0,1.0,0
人民网_23,0.5,0.13157894736842105,0.02631578947368421,0.10526315789473684,0,1,0.6666666666666666,0.44,0.44,0.35,1.0,1.0,1.0,1.0,0
人民网_24,0.3333333333333333,0.2,0.0,0.13333333333333333,0,0,0.44,0.44,0.35,0.3333333333333333,1.0,1.0,1.0,1.0,0
人民网_0,0.55,0.11666666666666667,0.03333333333333333,0.03333333333333333,0,1,1.0,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.8235294117647058,0.8235294117647058,1
人民网_1,0.41379310344827586,0.15517241379310345,0.017241379310344827,0.10344827586206896,0,0,1.0,1.0,1.0,1.0,0.75,0.75,0.71875,0.6666666666666666,1
人民网_2,0.4857142857142857,0.05714285714285714,0.0,0.11428571428571428,0,0,1.0,1.0,1.0,1.0,0.71875,0.6666666666666666,0.65,0.65,1
人民网_3,0.4857142857142857,0.05714285714285714,0.0,0.11428571428571428,0,0,1.0,1.0,1.0,1.0,0.71875,0.6666666666666666,0.65,0.65,1
人民网_4,0.5416666666666666,0.041666666666666664,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.71875,0.6666666666666666,0.56,0.56,1
人民网_5,0.6,0.2,0.0,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,0.71875,0.7142857142857143,0.6666666666666666,0.56,1
人民网_6,0.2608695652173913,0.05434782608695652,0.0,0.29347826086956524,0,0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8888888888888888,0.8666666666666667,0.8235294117647058,1
人民网_6,0.5185185185185185,0.07407407407407407,0.0,0.0,0,0,0.6666666666666666,0.6363636363636364,0.5,0.5,0.71875,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
人民网_7,0.4594594594594595,0.13513513513513514,0.02702702702702703,0.16216216216216217,0,0,1.0,1.0,1.0,1.0,0.7894736842105263,0.7894736842105263,0.71875,0.7142857142857143,1
