att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
兄弟科技_0,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_1,0.3888888888888889,0.1111111111111111,0.05555555555555555,0.3888888888888889,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_1,0.18181818181818182,0.13636363636363635,0.0,0.36363636363636365,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_1,0.4074074074074074,0.4074074074074074,0.0,0.1111111111111111,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_1,0.25,0.3333333333333333,0.041666666666666664,0.25,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_1,0.3888888888888889,0.05555555555555555,0.0,0.3333333333333333,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_1,0.6,0.13333333333333333,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_1,0.7,0.2,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_2,0.3142857142857143,0.17142857142857143,0.0,0.2857142857142857,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_2,0.6190476190476191,0.14285714285714285,0.0,0.09523809523809523,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_8,0.20967741935483872,0.12903225806451613,0.0,0.25806451612903225,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_8,0.5882352941176471,0.23529411764705882,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_8,0.375,0.125,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_9,0.18867924528301888,0.1509433962264151,0.0,0.24528301886792453,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_9,0.5,0.125,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_10,0.37142857142857144,0.2,0.0,0.11428571428571428,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_10,0.5625,0.3125,0.0,0.0625,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_11,0.4444444444444444,0.18518518518518517,0.0,0.07407407407407407,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_12,0.35714285714285715,0.16666666666666666,0.0,0.16666666666666666,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_13,0.35135135135135137,0.24324324324324326,0.05405405405405406,0.13513513513513514,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_14,0.3958333333333333,0.020833333333333332,0.020833333333333332,0.22916666666666666,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_14,0.38461538461538464,0.19230769230769232,0.0,0.19230769230769232,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
兄弟科技_15,0.40476190476190477,0.23809523809523808,0.07142857142857142,0.07142857142857142,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
