att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
Õ√±¶±¶_22,0.42857142857142855,0.21428571428571427,0.0,0.0,0,0,0.9961089494163424,0.9787037037037037,0.9783427495291902,0.8571428571428571,1.0,1.0,1.0,1.0,0
Õ√±¶±¶_22,0.46,0.22,0.04,0.04,0,0,0.9787037037037037,0.9783427495291902,0.9649122807017544,0.9629629629629629,1.0,1.0,1.0,1.0,0
Õ√±¶±¶_22,0.6923076923076923,0.15384615384615385,0.0,0.0,0,0,0.9787037037037037,0.9783427495291902,0.9042553191489362,0.8333333333333334,1.0,1.0,1.0,1.0,0
Õ√±¶±¶_67,0.35,0.05,0.1,0.05,0,0,0.9787037037037037,0.9783427495291902,0.9649122807017544,0.9042553191489362,1.0,1.0,1.0,1.0,0
Õ√±¶±¶_67,0.2903225806451613,0.0967741935483871,0.03225806451612903,0.06451612903225806,0,0,0.9787037037037037,0.9783427495291902,0.9387755102040817,0.9042553191489362,1.0,1.0,1.0,1.0,0
Õ√±¶±¶_67,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,0,0,0.9787037037037037,0.9783427495291902,0.8571428571428571,0.2,1.0,1.0,1.0,1.0,0
Õ√±¶±¶_68,0.5,0.0,0.0,0.0,0,0,0.9787037037037037,0.9783427495291902,0.970873786407767,0.970873786407767,1.0,1.0,1.0,1.0,0
Õ√±¶±¶_0,0.34615384615384615,0.09615384615384616,0.0,0.40384615384615385,0,1,1.0,1.0,1.0,1.0,0.02912621359223301,0.02912621359223301,0.021657250470809793,0.021296296296296296,1
Õ√±¶±¶_0,0.2857142857142857,0.2,0.0,0.3142857142857143,0,1,1.0,1.0,1.0,1.0,0.021657250470809793,0.021296296296296296,0.0,0.0,1
Õ√±¶±¶_0,0.3333333333333333,0.2222222222222222,0.0,0.2222222222222222,0,0,1.0,1.0,1.0,1.0,0.021657250470809793,0.021296296296296296,0.0,0.0,1
Õ√±¶±¶_1,0.46875,0.0625,0.0,0.15625,0,1,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.09574468085106383,0.09574468085106383,1
Õ√±¶±¶_1,0.631578947368421,0.14035087719298245,0.0,0.14035087719298245,0,2,1.0,1.0,1.0,1.0,0.16666666666666666,0.021657250470809793,0.021657250470809793,0.021296296296296296,1
Õ√±¶±¶_1,0.3548387096774194,0.1935483870967742,0.0,0.1935483870967742,0,1,1.0,1.0,1.0,1.0,0.021657250470809793,0.021296296296296296,0.0,0.0,1
Õ√±¶±¶_1,0.37037037037037035,0.14814814814814814,0.037037037037037035,0.07407407407407407,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.09574468085106383,0.09574468085106383,0.02912621359223301,1
Õ√±¶±¶_1,0.7,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.09574468085106383,0.021657250470809793,0.021296296296296296,0.0,1
Õ√±¶±¶_2,0.38028169014084506,0.22535211267605634,0.014084507042253521,0.15492957746478872,0,1,1.0,1.0,1.0,1.0,0.02912621359223301,0.02912621359223301,0.021657250470809793,0.021657250470809793,1
Õ√±¶±¶_2,0.3157894736842105,0.15789473684210525,0.05263157894736842,0.2631578947368421,0,2,1.0,1.0,1.0,1.0,0.1111111111111111,0.03508771929824561,0.021657250470809793,0.021296296296296296,1
Õ√±¶±¶_2,0.48,0.2,0.04,0.0,0,0,1.0,1.0,1.0,1.0,0.03508771929824561,0.021657250470809793,0.021296296296296296,0.0038910505836575876,1
Õ√±¶±¶_2,0.1794871794871795,0.2564102564102564,0.0,0.3076923076923077,0,2,1.0,1.0,1.0,1.0,0.037037037037037035,0.03508771929824561,0.03508771929824561,0.021657250470809793,1
Õ√±¶±¶_2,0.3125,0.375,0.0625,0.125,0,1,1.0,1.0,1.0,1.0,0.021657250470809793,0.021296296296296296,0.0,0.0,1
Õ√±¶±¶_2,0.4666666666666667,0.3333333333333333,0.06666666666666667,0.0,0,1,1.0,1.0,1.0,1.0,0.16666666666666666,0.09574468085106383,0.021296296296296296,0.0038910505836575876,1
Õ√±¶±¶_3,0.44047619047619047,0.03571428571428571,0.0,0.20238095238095238,0,3,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.09574468085106383,0.09574468085106383,1
Õ√±¶±¶_3,0.09183673469387756,0.02040816326530612,0.0,0.30612244897959184,0,2,1.0,1.0,1.0,1.0,0.16666666666666666,0.09574468085106383,0.09574468085106383,0.09574468085106383,1
Õ√±¶±¶_3,0.5238095238095238,0.19047619047619047,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.021657250470809793,0.021296296296296296,0.0038910505836575876,0.0,1
Õ√±¶±¶_3,0.6274509803921569,0.17647058823529413,0.0,0.1568627450980392,0,1,1.0,1.0,1.0,1.0,0.16666666666666666,0.021657250470809793,0.021657250470809793,0.021657250470809793,1
Õ√±¶±¶_3,0.4,0.12,0.04,0.08,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.09574468085106383,0.09574468085106383,0.02912621359223301,1
Õ√±¶±¶_3,0.46153846153846156,0.15384615384615385,0.0,0.15384615384615385,0,1,1.0,1.0,1.0,1.0,0.09574468085106383,0.021657250470809793,0.021296296296296296,0.0,1
Õ√±¶±¶_4,0.16666666666666666,0.125,0.08333333333333333,0.4166666666666667,0,3,1.0,1.0,1.0,1.0,0.7857142857142857,0.02912621359223301,0.02912621359223301,0.021657250470809793,1
Õ√±¶±¶_4,0.4470588235294118,0.058823529411764705,0.03529411764705882,0.15294117647058825,0,2,1.0,1.0,1.0,1.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.021657250470809793,1
Õ√±¶±¶_4,0.5882352941176471,0.09803921568627451,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.037037037037037035,0.021657250470809793,0.021296296296296296,0.0038910505836575876,1
Õ√±¶±¶_4,0.38461538461538464,0.07692307692307693,0.0,0.23076923076923078,0,0,1.0,1.0,1.0,1.0,0.09574468085106383,0.02912621359223301,0.02912621359223301,0.021657250470809793,1
Õ√±¶±¶_5,0.38461538461538464,0.23076923076923078,0.0,0.15384615384615385,0,0,1.0,1.0,1.0,1.0,0.021657250470809793,0.021296296296296296,0.0,0.0,1
Õ√±¶±¶_6,0.375,0.21428571428571427,0.0,0.16071428571428573,0,1,1.0,1.0,1.0,1.0,0.021657250470809793,0.021657250470809793,0.021296296296296296,0.021296296296296296,1
Õ√±¶±¶_6,0.46153846153846156,0.23076923076923078,0.0,0.15384615384615385,0,2,1.0,1.0,1.0,1.0,0.021657250470809793,0.021296296296296296,0.0,0.0,1
