att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
北京城乡_88,0.375,0.0,0.0,0.125,0,0,0.9494949494949495,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,1.0,0.6666666666666666,0
北京城乡_88,0.375,0.0,0.0,0.125,0,0,0.9494949494949495,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,1.0,0.6666666666666666,0
北京城乡_89,0.6,0.0,0.0,0.0,0,0,0.9387590652699436,0.9089118660758247,0.907165109034268,0.25,1.0,0.75,0.09283489096573208,0.09108813392417528,0
北京城乡_89,0.75,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.25,0.0,1.0,0.75,0.09283489096573208,0.09108813392417528,0
北京城乡_89,0.6,0.0,0.0,0.0,0,0,0.9387590652699436,0.9089118660758247,0.907165109034268,0.25,1.0,0.75,0.09283489096573208,0.09108813392417528,0
北京城乡_121,0.6666666666666666,0.16666666666666666,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.75,0.5,1.0,1.0,0.5,0.25,0
北京城乡_259,0.3,0.2,0.0,0.3,0,0,0.9166666666666666,0.9089118660758247,0.907165109034268,0.8928571428571429,0.3333333333333333,0.2,0.16666666666666666,0.14285714285714285,0
北京城乡_266,0.16279069767441862,0.09302325581395349,0.0,0.06976744186046512,0,0,0.9765258215962441,0.9528301886792453,0.9526315789473684,0.9526315789473684,1.0,1.0,1.0,1.0,0
北京城乡_268,0.2727272727272727,0.12121212121212122,0.0,0.2727272727272727,0,0,0.9963833634719711,0.9765258215962441,0.9682539682539683,0.9655172413793104,0.6,0.375,0.36363636363636365,0.12121212121212122,0
北京城乡_269,0.2727272727272727,0.12121212121212122,0.0,0.2727272727272727,0,0,0.9963833634719711,0.9765258215962441,0.9682539682539683,0.9655172413793104,0.6,0.375,0.36363636363636365,0.12121212121212122,0
北京城乡_322,0.5714285714285714,0.35714285714285715,0.0,0.0,0,0,0.95,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,1.0,1.0,0
北京城乡_357,0.5,0.2857142857142857,0.0,0.0,0,0,0.976878612716763,0.9736842105263158,0.95,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_358,0.5,0.2857142857142857,0.0,0.0,0,0,0.976878612716763,0.9736842105263158,0.95,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_370,0.29292929292929293,0.30303030303030304,0.0,0.15151515151515152,0,0,0.9765258215962441,0.9701492537313433,0.9666666666666667,0.9473684210526315,1.0,1.0,1.0,1.0,0
北京城乡_371,0.3333333333333333,0.3448275862068966,0.0,0.1724137931034483,0,0,0.9765258215962441,0.9701492537313433,0.9666666666666667,0.9473684210526315,1.0,1.0,1.0,1.0,0
北京城乡_387,0.5,0.16666666666666666,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.1111111111111111,0.0,1.0,1.0,1.0,0.8888888888888888,0
北京城乡_387,0.5,0.16666666666666666,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.1111111111111111,0.0,1.0,1.0,1.0,0.8888888888888888,0
北京城乡_387,0.3,0.3,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.9,0.75,1.0,1.0,1.0,1.0,0
北京城乡_397,0.5862068965517241,0.1206896551724138,0.0,0.10344827586206896,0,0,0.9964340295466123,0.9951573849878934,0.9951573849878934,0.9868421052631579,1.0,1.0,1.0,1.0,0
北京城乡_397,0.625,0.25,0.0,0.25,0,0,0.9523809523809523,0.9444444444444444,0.9089118660758247,0.907165109034268,1.0,1.0,1.0,1.0,0
北京城乡_398,0.4,0.4,0.2,0.0,0,0,0.9089118660758247,0.907165109034268,0.6,0.6,1.0,0.4,0.4,0.09283489096573208,0
北京城乡_398,1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.0,0.0,0.09283489096573208,0.09108813392417528,0.0,0.0,0
北京城乡_398,0.4,0.4,0.2,0.0,0,0,0.9089118660758247,0.907165109034268,0.6,0.6,1.0,0.4,0.4,0.09283489096573208,0
北京城乡_410,0.3142857142857143,0.2571428571428571,0.0,0.02857142857142857,0,0,0.9871794871794872,0.9473684210526315,0.9473684210526315,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_437,0.3170731707317073,0.17073170731707318,0.0,0.25609756097560976,0,0,0.9809523809523809,0.9809523809523809,0.961456102783726,0.961456102783726,1.0,1.0,1.0,1.0,0
北京城乡_452,0.375,0.25,0.125,0.0,0,0,0.9089118660758247,0.907165109034268,0.7777777777777778,0.7142857142857143,1.0,1.0,1.0,0.8571428571428571,0
北京城乡_452,0.375,0.16666666666666666,0.041666666666666664,0.041666666666666664,0,0,0.9406332453825857,0.9406332453825857,0.9089118660758247,0.907165109034268,1.0,1.0,1.0,1.0,0
北京城乡_452,0.36,0.16,0.04,0.04,0,0,0.9406332453825857,0.9406332453825857,0.9387590652699436,0.9089118660758247,1.0,1.0,1.0,1.0,0
北京城乡_455,0.375,0.25,0.125,0.0,0,0,0.9089118660758247,0.907165109034268,0.7777777777777778,0.7142857142857143,1.0,1.0,1.0,0.8571428571428571,0
北京城乡_455,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0,0,0.9406332453825857,0.9089118660758247,0.907165109034268,0.7777777777777778,1.0,1.0,1.0,1.0,0
北京城乡_455,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.07142857142857142,0,0,0.9406332453825857,0.9387590652699436,0.9089118660758247,0.907165109034268,1.0,1.0,1.0,1.0,0
北京城乡_468,0.25,0.125,0.0,0.1875,0,0,0.9964340295466123,0.9964340295466123,0.9964340295466123,0.9964340295466123,1.0,1.0,1.0,1.0,0
北京城乡_472,1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.0,0.0,0.09283489096573208,0.09108813392417528,0.0,0.0,0
北京城乡_472,1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.0,0.0,0.09283489096573208,0.09108813392417528,0.0,0.0,0
北京城乡_472,0.5,0.5,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.6666666666666666,0.0,1.0,0.3333333333333333,0.09283489096573208,0.09108813392417528,0
北京城乡_474,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_475,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_476,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_477,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_478,1.0,0.0,0.0,0.0,0,0,0.9761904761904762,0.9761904761904762,0.9089118660758247,0.9089118660758247,0.09283489096573208,0.09283489096573208,0.09108813392417528,0.09108813392417528,0
北京城乡_478,1.0,0.0,0.0,0.0,0,0,0.9761904761904762,0.9089118660758247,0.907165109034268,0.0,0.09283489096573208,0.09108813392417528,0.023809523809523808,0.0,0
北京城乡_479,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_480,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_481,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_482,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_483,0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
北京城乡_490,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0,0,0,0.946236559139785,0.9406332453825857,0.9406332453825857,0.9166666666666666,1.0,1.0,1.0,0.8,0
北京城乡_490,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0,0,0,0.946236559139785,0.9406332453825857,0.9406332453825857,0.9166666666666666,1.0,1.0,1.0,0.8,0
北京城乡_490,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0,0,0,0.946236559139785,0.9406332453825857,0.9406332453825857,0.9166666666666666,1.0,1.0,1.0,0.8,0
北京城乡_509,0.5714285714285714,0.0,0.14285714285714285,0.0,0,0,0.9089118660758247,0.9089118660758247,0.907165109034268,0.907165109034268,0.7441860465116279,0.7441860465116279,0.7142857142857143,0.7142857142857143,0
北京城乡_509,0.5714285714285714,0.0,0.14285714285714285,0.0,0,0,0.9089118660758247,0.907165109034268,0.6129032258064516,0.5384615384615384,0.7441860465116279,0.7142857142857143,0.6923076923076923,0.46153846153846156,0
北京城乡_510,0.375,0.0,0.125,0.0,0,0,0.976878612716763,0.976878612716763,0.9387590652699436,0.9387590652699436,1.0,1.0,0.7441860465116279,0.7441860465116279,0
北京城乡_510,0.375,0.0,0.125,0.0,0,0,0.976878612716763,0.9387590652699436,0.9089118660758247,0.907165109034268,1.0,0.7441860465116279,0.6923076923076923,0.6,0
北京城乡_511,0.4,0.13333333333333333,0.13333333333333333,0.0,0,0,0.9387590652699436,0.9387590652699436,0.9387590652699436,0.9089118660758247,1.0,1.0,1.0,1.0,0
北京城乡_511,0.375,0.125,0.125,0.0,0,0,0.9387590652699436,0.9387590652699436,0.9089118660758247,0.907165109034268,1.0,1.0,0.7441860465116279,0.6923076923076923,0
北京城乡_513,0.3076923076923077,0.20512820512820512,0.10256410256410256,0.15384615384615385,0,0,0.9387755102040817,0.9387755102040817,0.9387590652699436,0.9387590652699436,1.0,1.0,1.0,1.0,0
北京城乡_513,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.14285714285714285,0,0,0.9387755102040817,0.9387590652699436,0.9387590652699436,0.9387590652699436,1.0,1.0,1.0,0.7647058823529411,0
北京城乡_514,0.34615384615384615,0.07692307692307693,0.11538461538461539,0.0,0,0,0.961456102783726,0.961456102783726,0.961456102783726,0.961456102783726,1.0,1.0,0.8,0.8,0
北京城乡_514,0.5,0.0,0.16666666666666666,0.0,0,0,0.961456102783726,0.961456102783726,0.9089118660758247,0.907165109034268,0.8,0.7441860465116279,0.09283489096573208,0.09108813392417528,0
北京城乡_515,0.3181818181818182,0.13636363636363635,0.045454545454545456,0.13636363636363635,0,0,0.9719101123595506,0.9719101123595506,0.9387590652699436,0.9387590652699436,1.0,1.0,1.0,1.0,0
北京城乡_515,0.30434782608695654,0.13043478260869565,0.043478260869565216,0.13043478260869565,0,0,0.9719101123595506,0.9387590652699436,0.9387590652699436,0.9387590652699436,1.0,1.0,1.0,1.0,0
北京城乡_516,0.17391304347826086,0.2608695652173913,0.043478260869565216,0.08695652173913043,0,0,0.946236559139785,0.9387590652699436,0.9387590652699436,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_516,0.17391304347826086,0.2608695652173913,0.043478260869565216,0.08695652173913043,0,0,0.946236559139785,0.9387590652699436,0.9387590652699436,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_517,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0,0,0.9230769230769231,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,0.7647058823529411,0.7441860465116279,0
北京城乡_517,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0,0,0.9230769230769231,0.9089118660758247,0.907165109034268,0.8670886075949367,1.0,1.0,0.7647058823529411,0.7441860465116279,0
北京城乡_520,0.5714285714285714,0.0,0.14285714285714285,0.0,0,0,0.9089118660758247,0.9089118660758247,0.907165109034268,0.907165109034268,1.0,1.0,1.0,1.0,0
北京城乡_520,0.5714285714285714,0.0,0.14285714285714285,0.0,0,0,0.9089118660758247,0.907165109034268,0.8120300751879699,0.2558139534883721,1.0,1.0,1.0,0.7441860465116279,0
北京城乡_521,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0,0,0.9473684210526315,0.9473684210526315,0.9230769230769231,0.9230769230769231,1.0,1.0,0.7647058823529411,0.7647058823529411,0
北京城乡_521,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,0,0,0.9473684210526315,0.9230769230769231,0.9089118660758247,0.907165109034268,1.0,0.7647058823529411,0.7441860465116279,0.09283489096573208,0
北京城乡_528,0.5,0.0,0.0,0.0,0,0,0.9849624060150376,0.9089118660758247,0.907165109034268,0.5,0.5,0.09283489096573208,0.09108813392417528,0.015037593984962405,0
北京城乡_529,0.5625,0.1875,0.125,0.0,0,0,0.9649122807017544,0.9528301886792453,0.9166666666666666,0.9089118660758247,1.0,1.0,1.0,1.0,0
北京城乡_530,0.5625,0.1875,0.125,0.0,0,0,0.9649122807017544,0.9528301886792453,0.9166666666666666,0.9089118660758247,1.0,1.0,1.0,1.0,0
北京城乡_534,0.5283018867924528,0.18867924528301888,0.03773584905660377,0.03773584905660377,0,0,0.9767441860465116,0.9767441860465116,0.9733333333333334,0.9733333333333334,1.0,1.0,1.0,1.0,0
北京城乡_535,0.6666666666666666,0.0,0.0,0.0,0,0,0.961456102783726,0.961456102783726,0.9089118660758247,0.9089118660758247,0.09283489096573208,0.09283489096573208,0.09108813392417528,0.09108813392417528,0
北京城乡_535,0.6666666666666666,0.0,0.0,0.0,0,0,0.961456102783726,0.9089118660758247,0.907165109034268,0.0,0.09283489096573208,0.09108813392417528,0.03854389721627409,0.0,0
北京城乡_612,0.6666666666666666,0.09523809523809523,0.0,0.0,0,0,0.9809885931558935,0.9387590652699436,0.9331275720164609,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_613,0.55,0.125,0.0,0.075,0,0,0.9863013698630136,0.976878612716763,0.967032967032967,0.9555555555555556,0.875,0.875,0.875,0.8,0
北京城乡_613,0.6086956521739131,0.08695652173913043,0.0,0.0,0,0,0.9809885931558935,0.9387590652699436,0.9331275720164609,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_615,0.55,0.125,0.0,0.075,0,0,0.9863013698630136,0.976878612716763,0.967032967032967,0.9555555555555556,0.875,0.875,0.875,0.8,0
北京城乡_615,0.6086956521739131,0.08695652173913043,0.0,0.0,0,0,0.9809885931558935,0.9387590652699436,0.9331275720164609,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_616,0.55,0.125,0.0,0.075,0,0,0.9863013698630136,0.976878612716763,0.967032967032967,0.9555555555555556,0.875,0.875,0.875,0.8,0
北京城乡_616,0.6086956521739131,0.08695652173913043,0.0,0.0,0,0,0.9809885931558935,0.9387590652699436,0.9331275720164609,0.9331275720164609,1.0,1.0,1.0,1.0,0
北京城乡_617,0.8,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.8695652173913043,0.0,1.0,1.0,0.13043478260869565,0.09283489096573208,0
北京城乡_617,0.8,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.8695652173913043,0.0,1.0,1.0,0.13043478260869565,0.09283489096573208,0
北京城乡_617,0.8,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.8695652173913043,0.0,1.0,1.0,0.13043478260869565,0.09283489096573208,0
北京城乡_618,1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.9089118660758247,0.907165109034268,0.907165109034268,1.0,1.0,1.0,1.0,0
北京城乡_618,1.0,0.0,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.0,0.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0
北京城乡_697,0.3333333333333333,0.1794871794871795,0.0,0.23076923076923078,0,0,0.995049504950495,0.9950124688279302,0.995,0.9863013698630136,1.0,1.0,1.0,1.0,0
北京城乡_697,0.4897959183673469,0.22448979591836735,0.0,0.12244897959183673,0,0,0.995049504950495,0.9950124688279302,0.995,0.9810126582278481,1.0,1.0,1.0,1.0,0
北京城乡_710,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0,0,0.9089118660758247,0.907165109034268,0.8670886075949367,0.7857142857142857,0.7441860465116279,0.5,0.5,0.3,0
北京城乡_710,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0,0,0.9089118660758247,0.907165109034268,0.8670886075949367,0.7857142857142857,0.7441860465116279,0.5,0.5,0.3,0
北京城乡_710,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0,0,0.9089118660758247,0.907165109034268,0.8670886075949367,0.7857142857142857,0.7441860465116279,0.5,0.5,0.3,0
北京城乡_0,0.3,0.3,0.1,0.0,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.0668724279835391,0.059366754617414245,1
北京城乡_0,0.3,0.3,0.1,0.0,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.0668724279835391,0.059366754617414245,1
北京城乡_1,0.45098039215686275,0.058823529411764705,0.0392156862745098,0.0,0,0,1.0,1.0,1.0,1.0,0.5,0.4,0.3,0.09283489096573208,1
北京城乡_2,0.21951219512195122,0.04878048780487805,0.0,0.34146341463414637,0,0,1.0,1.0,1.0,1.0,0.1,0.09283489096573208,0.09108813392417528,0.03854389721627409,1
北京城乡_3,0.43478260869565216,0.30434782608695654,0.021739130434782608,0.0,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,0.09523809523809523,0.09283489096573208,0.09108813392417528,1
北京城乡_4,0.23076923076923078,0.05128205128205128,0.0,0.38461538461538464,0,0,1.0,1.0,1.0,1.0,0.25,0.09283489096573208,0.09108813392417528,0.03854389721627409,1
北京城乡_5,0.3125,0.375,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,0.09283489096573208,0.09108813392417528,0.05263157894736842,1
北京城乡_5,0.3076923076923077,0.38461538461538464,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.05263157894736842,0.0,1
北京城乡_6,0.391304347826087,0.11594202898550725,0.028985507246376812,0.043478260869565216,0,0,1.0,1.0,1.0,1.0,0.35294117647058826,0.13291139240506328,0.13291139240506328,0.09283489096573208,1
北京城乡_6,0.48148148148148145,0.1111111111111111,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.09283489096573208,0.09108813392417528,0.028089887640449437,1
北京城乡_7,0.5769230769230769,0.15384615384615385,0.038461538461538464,0.0,0,0,1.0,1.0,1.0,1.0,0.5,0.09283489096573208,0.09108813392417528,0.09108813392417528,1
北京城乡_8,0.2564102564102564,0.0,0.02564102564102564,0.358974358974359,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.36363636363636365,0.09283489096573208,1
北京城乡_9,0.425,0.15,0.0375,0.2,0,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.2222222222222222,0.18796992481203006,1
北京城乡_10,0.4642857142857143,0.14285714285714285,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.028089887640449437,0.02666666666666667,1
北京城乡_11,0.4166666666666667,0.2916666666666667,0.020833333333333332,0.0,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,0.09523809523809523,0.09283489096573208,0.09108813392417528,1
北京城乡_12,0.26436781609195403,0.14942528735632185,0.022988505747126436,0.22988505747126436,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.0668724279835391,0.06124093473005641,1
北京城乡_12,0.5,0.10714285714285714,0.03571428571428571,0.10714285714285714,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.09108813392417528,0.07692307692307693,1
北京城乡_12,0.5555555555555556,0.14814814814814814,0.037037037037037035,0.07407407407407407,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.09108813392417528,0.09090909090909091,1
北京城乡_12,0.1935483870967742,0.1935483870967742,0.03225806451612903,0.3548387096774194,0,0,1.0,1.0,1.0,1.0,0.25,0.18181818181818182,0.13157894736842105,0.10714285714285714,1
北京城乡_13,0.26436781609195403,0.14942528735632185,0.022988505747126436,0.22988505747126436,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.0668724279835391,0.06124093473005641,1
北京城乡_13,0.5,0.10714285714285714,0.03571428571428571,0.10714285714285714,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.09108813392417528,0.07692307692307693,1
北京城乡_13,0.5555555555555556,0.14814814814814814,0.037037037037037035,0.07407407407407407,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.09108813392417528,0.09090909090909091,1
北京城乡_13,0.1935483870967742,0.1935483870967742,0.03225806451612903,0.3548387096774194,0,0,1.0,1.0,1.0,1.0,0.25,0.18181818181818182,0.13157894736842105,0.10714285714285714,1
北京城乡_14,0.25,0.09210526315789473,0.02631578947368421,0.27631578947368424,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.0668724279835391,0.06124093473005641,1
北京城乡_14,0.5,0.10714285714285714,0.03571428571428571,0.10714285714285714,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.09108813392417528,0.07692307692307693,1
北京城乡_14,0.5555555555555556,0.14814814814814814,0.037037037037037035,0.07407407407407407,0,0,1.0,1.0,1.0,1.0,0.09283489096573208,0.09108813392417528,0.09108813392417528,0.09090909090909091,1
