att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
北大荒_34,0.2647058823529412,0.2647058823529412,0.08823529411764706,0.08823529411764706,0,0,0.9395711500974658,0.9096774193548387,0.9090909090909091,0.8333333333333334,1.0,1.0,1.0,1.0,0
北大荒_34,0.24242424242424243,0.15151515151515152,0.09090909090909091,0.0,0,0,0.9444444444444444,0.9395711500974658,0.9333333333333333,0.9096774193548387,1.0,1.0,1.0,1.0,0
北大荒_34,0.5,0.2222222222222222,0.1111111111111111,0.0,0,0,0.9395711500974658,0.9395711500974658,0.9101123595505618,0.8181818181818182,1.0,1.0,1.0,1.0,0
北大荒_35,0.4918032786885246,0.13114754098360656,0.03278688524590164,0.04918032786885246,0,0,0.9615384615384616,0.9615384615384616,0.9395711500974658,0.9395711500974658,1.0,1.0,1.0,1.0,0
北大荒_36,0.25,0.1,0.05,0.3,0,0,0.9395711500974658,0.9096774193548387,0.896551724137931,0.896551724137931,1.0,1.0,1.0,1.0,0
北大荒_36,0.4444444444444444,0.3333333333333333,0.0,0.0,0,0,0.9395711500974658,0.8333333333333334,0.5,0.0,1.0,1.0,1.0,1.0,0
北大荒_37,0.5263157894736842,0.14035087719298245,0.03508771929824561,0.017543859649122806,0,0,0.9395711500974658,0.9101123595505618,0.9056603773584906,0.9056603773584906,1.0,1.0,1.0,1.0,0
北大荒_0,0.5333333333333333,0.1,0.0,0.23333333333333334,0,1,1.0,1.0,1.0,1.0,0.11145510835913312,0.06042884990253411,0.0,0.0,1
北大荒_0,0.4528301886792453,0.09433962264150944,0.018867924528301886,0.32075471698113206,0,1,1.0,1.0,1.0,1.0,0.5,0.10344827586206896,0.06042884990253411,0.06042884990253411,1
北大荒_0,0.13333333333333333,0.4,0.0,0.3333333333333333,0,0,1.0,1.0,1.0,1.0,0.11145510835913312,0.10344827586206896,0.06042884990253411,0.0,1
北大荒_1,0.25806451612903225,0.22580645161290322,0.0,0.25806451612903225,0,1,1.0,1.0,1.0,1.0,0.10344827586206896,0.06042884990253411,0.038461538461538464,0.038461538461538464,1
北大荒_1,0.5,0.0,0.0,0.25,0,0,1.0,1.0,1.0,0.9395711500974658,0.06042884990253411,0.0,0.0,0.0,1
北大荒_2,0.32432432432432434,0.1891891891891892,0.0,0.2702702702702703,0,1,1.0,1.0,1.0,1.0,0.10344827586206896,0.06042884990253411,0.038461538461538464,0.038461538461538464,1
北大荒_2,0.4,0.3,0.0,0.4,0,0,1.0,1.0,1.0,1.0,0.11145510835913312,0.06042884990253411,0.0,0.0,1
北大荒_3,0.36,0.06,0.0,0.22,0,2,1.0,1.0,1.0,1.0,0.16666666666666666,0.11145510835913312,0.11145510835913312,0.11145510835913312,1
北大荒_3,0.5,0.17857142857142858,0.0,0.21428571428571427,0,2,1.0,1.0,1.0,1.0,0.5,0.10344827586206896,0.09433962264150944,0.06042884990253411,1
北大荒_3,0.3770491803278688,0.11475409836065574,0.0,0.2459016393442623,0,1,1.0,1.0,1.0,1.0,0.10344827586206896,0.10344827586206896,0.09433962264150944,0.09433962264150944,1
北大荒_3,0.5217391304347826,0.08695652173913043,0.0,0.13043478260869565,0,2,1.0,1.0,1.0,1.0,0.25,0.16666666666666666,0.10344827586206896,0.09433962264150944,1
北大荒_3,0.4126984126984127,0.1746031746031746,0.047619047619047616,0.1746031746031746,0,1,1.0,1.0,1.0,1.0,0.14285714285714285,0.10344827586206896,0.10344827586206896,0.09433962264150944,1
北大荒_3,0.3333333333333333,0.4166666666666667,0.0,0.16666666666666666,0,2,1.0,1.0,1.0,1.0,0.11145510835913312,0.10344827586206896,0.06042884990253411,0.0,1
北大荒_4,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.11764705882352941,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.09433962264150944,0.06042884990253411,0.038461538461538464,1
北大荒_4,0.25,0.09375,0.0,0.1875,0,2,1.0,1.0,1.0,1.0,0.3333333333333333,0.18181818181818182,0.11145510835913312,0.11145510835913312,1
北大荒_4,0.47368421052631576,0.10526315789473684,0.0,0.15789473684210525,0,1,1.0,1.0,1.0,1.0,0.11145510835913312,0.11145510835913312,0.09433962264150944,0.09032258064516129,1
北大荒_4,0.47058823529411764,0.19607843137254902,0.0196078431372549,0.09803921568627451,0,1,1.0,1.0,1.0,1.0,0.11145510835913312,0.11145510835913312,0.11145510835913312,0.11145510835913312,1
北大荒_4,0.25,0.08333333333333333,0.0,0.25,0,1,1.0,1.0,1.0,1.0,0.11145510835913312,0.11145510835913312,0.11145510835913312,0.11145510835913312,1
北大荒_4,0.22535211267605634,0.14084507042253522,0.014084507042253521,0.19718309859154928,0,2,1.0,1.0,1.0,1.0,0.11145510835913312,0.11145510835913312,0.11145510835913312,0.11145510835913312,1
北大荒_4,0.46875,0.25,0.0625,0.03125,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,0.06042884990253411,0.05555555555555555,0.0,1
北大荒_4,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.09433962264150944,0.06042884990253411,0.0,1
北大荒_5,0.5172413793103449,0.1724137931034483,0.034482758620689655,0.08620689655172414,0,2,1.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.16393442622950818,0.16393442622950818,1
北大荒_5,0.5454545454545454,0.2727272727272727,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.09433962264150944,0.09032258064516129,0.06042884990253411,0.0,1
北大荒_5,0.6,0.13333333333333333,0.0,0.13333333333333333,0,1,1.0,1.0,1.0,1.0,0.16393442622950818,0.06042884990253411,0.0,0.0,1
北大荒_5,0.2926829268292683,0.24390243902439024,0.0,0.21951219512195122,0,1,1.0,1.0,1.0,1.0,0.09032258064516129,0.09032258064516129,0.06042884990253411,0.0,1
北大荒_5,0.7857142857142857,0.21428571428571427,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.06042884990253411,0.0,0.0,0.0,1
北大荒_5,0.6923076923076923,0.23076923076923078,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.06042884990253411,0.05555555555555555,0.0,0.0,1
北大荒_5,0.8333333333333334,0.25,0.08333333333333333,0.0,0,1,1.0,1.0,1.0,1.0,0.06042884990253411,0.0,0.0,0.0,1
北大荒_5,0.6521739130434783,0.2608695652173913,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.09433962264150944,0.06666666666666667,0.06042884990253411,0.05555555555555555,1
北大荒_5,0.3333333333333333,0.19230769230769232,0.02564102564102564,0.14102564102564102,0,1,1.0,1.0,1.0,1.0,0.09433962264150944,0.09433962264150944,0.09433962264150944,0.09032258064516129,1
北大荒_5,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0,0,1.0,1.0,1.0,1.0,0.0898876404494382,0.06042884990253411,0.0,0.0,1
北大荒_5,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0,1,1.0,1.0,1.0,1.0,0.0898876404494382,0.06042884990253411,0.0,0.0,1
北大荒_5,0.6,0.4,0.0,0.0,0,0,1.0,1.0,1.0,0.9395711500974658,0.16666666666666666,0.06042884990253411,0.0,0.0,1
北大荒_5,0.5882352941176471,0.17647058823529413,0.0,0.058823529411764705,0,0,1.0,1.0,1.0,1.0,0.09032258064516129,0.09032258064516129,0.06666666666666667,0.06042884990253411,1
北大荒_5,0.7142857142857143,0.14285714285714285,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.5,0.2,0.2,0.06042884990253411,1
北大荒_5,0.4883720930232558,0.2558139534883721,0.023255813953488372,0.046511627906976744,0,1,1.0,1.0,1.0,1.0,0.09032258064516129,0.0898876404494382,0.0898876404494382,0.06042884990253411,1
北大荒_5,0.4666666666666667,0.2222222222222222,0.022222222222222223,0.022222222222222223,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,0.09032258064516129,0.0898876404494382,1
北大荒_5,0.5714285714285714,0.12698412698412698,0.047619047619047616,0.031746031746031744,0,2,1.0,1.0,1.0,1.0,0.5,0.2,0.2,0.16666666666666666,1
北大荒_5,0.38095238095238093,0.35714285714285715,0.0,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,0.0898876404494382,0.0898876404494382,0.06042884990253411,0.06042884990253411,1
北大荒_5,0.3673469387755102,0.22448979591836735,0.0,0.02040816326530612,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182,0.09032258064516129,0.0898876404494382,1
北大荒_5,0.3125,0.25,0.125,0.0625,0,1,1.0,1.0,1.0,1.0,0.18181818181818182,0.11145510835913312,0.06042884990253411,0.05555555555555555,1
北大荒_6,0.5147058823529411,0.16176470588235295,0.029411764705882353,0.07352941176470588,0,2,1.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.16393442622950818,0.16393442622950818,1
北大荒_6,0.5454545454545454,0.2727272727272727,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.09433962264150944,0.09032258064516129,0.06042884990253411,0.0,1
北大荒_6,0.6,0.13333333333333333,0.0,0.13333333333333333,0,1,1.0,1.0,1.0,1.0,0.16393442622950818,0.06042884990253411,0.0,0.0,1
北大荒_6,0.2926829268292683,0.24390243902439024,0.0,0.21951219512195122,0,1,1.0,1.0,1.0,1.0,0.09032258064516129,0.09032258064516129,0.06042884990253411,0.0,1
北大荒_6,0.7857142857142857,0.21428571428571427,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.06042884990253411,0.0,0.0,0.0,1
北大荒_6,0.6923076923076923,0.23076923076923078,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.06042884990253411,0.05555555555555555,0.0,0.0,1
北大荒_6,0.8333333333333334,0.25,0.08333333333333333,0.0,0,1,1.0,1.0,1.0,1.0,0.06042884990253411,0.0,0.0,0.0,1
北大荒_6,0.6521739130434783,0.2608695652173913,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.09433962264150944,0.06666666666666667,0.06042884990253411,0.05555555555555555,1
北大荒_6,0.25,0.375,0.125,0.125,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.06042884990253411,0.0,0.0,1
北大荒_7,0.2702702702702703,0.32432432432432434,0.05405405405405406,0.1891891891891892,0,1,1.0,1.0,1.0,1.0,0.18181818181818182,0.16666666666666666,0.09032258064516129,0.0898876404494382,1
北大荒_7,0.52,0.24,0.04,0.12,0,1,1.0,1.0,1.0,1.0,0.06042884990253411,0.0,0.0,0.0,1
北大荒_7,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0,0,1.0,1.0,1.0,1.0,0.0898876404494382,0.06042884990253411,0.0,0.0,1
北大荒_7,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0,1,1.0,1.0,1.0,1.0,0.0898876404494382,0.06042884990253411,0.0,0.0,1
北大荒_7,0.6,0.4,0.0,0.0,0,0,1.0,1.0,1.0,0.9395711500974658,0.16666666666666666,0.06042884990253411,0.0,0.0,1
北大荒_7,0.5882352941176471,0.17647058823529413,0.0,0.058823529411764705,0,0,1.0,1.0,1.0,1.0,0.09032258064516129,0.09032258064516129,0.06666666666666667,0.06042884990253411,1
北大荒_7,0.5714285714285714,0.2857142857142857,0.0,0.047619047619047616,0,1,1.0,1.0,1.0,1.0,0.09032258064516129,0.0898876404494382,0.0898876404494382,0.06042884990253411,1
北大荒_7,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.06042884990253411,0.0,0.0,0.0,1
北大荒_7,0.5333333333333333,0.23333333333333334,0.03333333333333333,0.03333333333333333,0,1,1.0,1.0,1.0,1.0,0.09032258064516129,0.0898876404494382,0.06042884990253411,0.06042884990253411,1
北大荒_7,0.6666666666666666,0.16666666666666666,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.2,0.2,0.06042884990253411,0.0,1
北大荒_7,0.5,0.05555555555555555,0.0,0.1111111111111111,0,1,1.0,1.0,1.0,1.0,0.09032258064516129,0.06042884990253411,0.0,0.0,1
北大荒_7,0.7777777777777778,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,0.06042884990253411,0.0,0.0,1
北大荒_7,0.5384615384615384,0.3076923076923077,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.09032258064516129,0.06042884990253411,0.0,0.0,1
