att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
华侨城_26,0.4842105263157895,0.07368421052631578,0.021052631578947368,0.2,0,0,0.9945242984257358,0.9582738323290725,0.9527777777777777,0.950354609929078,1.0,1.0,1.0,1.0,0
华侨城_27,0.45,0.04,0.02,0.22,0,0,0.9732591285462197,0.9732591285462197,0.9582738323290725,0.9460916442048517,1.0,1.0,1.0,1.0,0
华侨城_28,0.4842105263157895,0.07368421052631578,0.021052631578947368,0.2,0,0,0.9945242984257358,0.9582738323290725,0.9527777777777777,0.950354609929078,1.0,1.0,1.0,1.0,0
华侨城_31,0.3177570093457944,0.056074766355140186,0.009345794392523364,0.18691588785046728,0,0,0.986784140969163,0.9582738323290725,0.9582738323290725,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_32,0.29357798165137616,0.05504587155963303,0.009174311926605505,0.1743119266055046,0,0,0.9598108747044918,0.9582738323290725,0.9582738323290725,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_33,0.3177570093457944,0.056074766355140186,0.009345794392523364,0.19626168224299065,0,0,0.9582738323290725,0.9582738323290725,0.9360313315926893,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_35,0.33663366336633666,0.0594059405940594,0.009900990099009901,0.2079207920792079,0,0,0.9582738323290725,0.9582738323290725,0.9360313315926893,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_35,0.35789473684210527,0.10526315789473684,0.0,0.12631578947368421,0,0,0.9582738323290725,0.9460916442048517,0.93575567303031,0.93575567303031,1.0,1.0,1.0,1.0,0
华侨城_35,0.3333333333333333,0.05405405405405406,0.009009009009009009,0.14414414414414414,0,0,0.978494623655914,0.9582738323290725,0.9395973154362416,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_36,0.4230769230769231,0.057692307692307696,0.019230769230769232,0.15384615384615385,0,0,0.9945242984257358,0.9582738323290725,0.950354609929078,0.93575567303031,1.0,1.0,1.0,1.0,0
华侨城_37,0.3870967741935484,0.07526881720430108,0.010752688172043012,0.22580645161290322,0,0,0.9670138888888888,0.9598108747044918,0.9582738323290725,0.9582738323290725,1.0,1.0,1.0,1.0,0
华侨城_37,0.37777777777777777,0.1111111111111111,0.0,0.13333333333333333,0,0,0.9625,0.9582738323290725,0.9460916442048517,0.93575567303031,1.0,1.0,1.0,1.0,0
华侨城_38,0.3942307692307692,0.038461538461538464,0.019230769230769232,0.18269230769230768,0,0,0.9732591285462197,0.9732591285462197,0.9582738323290725,0.9509632224168126,1.0,1.0,1.0,1.0,0
华侨城_39,0.4411764705882353,0.058823529411764705,0.0196078431372549,0.17647058823529413,0,0,0.9945242984257358,0.9582738323290725,0.9527777777777777,0.950354609929078,1.0,1.0,1.0,1.0,0
华侨城_41,0.3870967741935484,0.07526881720430108,0.010752688172043012,0.22580645161290322,0,0,0.9670138888888888,0.9582738323290725,0.9582738323290725,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_41,0.367816091954023,0.11494252873563218,0.0,0.13793103448275862,0,0,0.9582738323290725,0.9460916442048517,0.93575567303031,0.93575567303031,1.0,1.0,1.0,1.0,0
华侨城_41,0.39436619718309857,0.08450704225352113,0.0,0.16901408450704225,0,0,0.9582738323290725,0.9360313315926893,0.93575567303031,0.8927789934354485,1.0,1.0,1.0,1.0,0
华侨城_42,0.3829787234042553,0.07446808510638298,0.010638297872340425,0.22340425531914893,0,0,0.9670138888888888,0.9582738323290725,0.9582738323290725,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_42,0.38202247191011235,0.11235955056179775,0.0,0.1348314606741573,0,0,0.9582738323290725,0.9460916442048517,0.93575567303031,0.93575567303031,1.0,1.0,1.0,1.0,0
华侨城_42,0.4,0.05714285714285714,0.0,0.1619047619047619,0,0,0.9818181818181818,0.9582738323290725,0.9395973154362416,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_43,0.34,0.06,0.01,0.21,0,0,0.9598108747044918,0.9582738323290725,0.9582738323290725,0.9360313315926893,1.0,1.0,1.0,1.0,0
华侨城_43,0.3541666666666667,0.10416666666666667,0.0,0.125,0,0,0.9625,0.9582738323290725,0.9460916442048517,0.93575567303031,1.0,1.0,1.0,1.0,0
华侨城_44,0.3761467889908257,0.045871559633027525,0.01834862385321101,0.1651376146788991,0,0,0.9732591285462197,0.9732591285462197,0.9582738323290725,0.9509632224168126,1.0,1.0,1.0,1.0,0
华侨城_45,0.33663366336633666,0.0594059405940594,0.009900990099009901,0.2079207920792079,0,0,0.9582738323290725,0.9582738323290725,0.9360313315926893,0.9360313315926893,1.0,1.0,1.0,1.0,0
