att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
周大生_0,0.5142857142857142,0.17142857142857143,0.05714285714285714,0.08571428571428572,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.6296296296296297,0.2222222222222222,0.07407407407407407,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.4782608695652174,0.15217391304347827,0.06521739130434782,0.021739130434782608,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.47619047619047616,0.42857142857142855,0.047619047619047616,0.047619047619047616,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.4230769230769231,0.2692307692307692,0.15384615384615385,0.038461538461538464,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.4716981132075472,0.16981132075471697,0.05660377358490566,0.07547169811320754,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.43478260869565216,0.17391304347826086,0.0,0.2608695652173913,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.3253012048192771,0.012048192771084338,0.0,0.1686746987951807,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.5357142857142857,0.25,0.10714285714285714,0.07142857142857142,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.3939393939393939,0.12121212121212122,0.0,0.10606060606060606,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.5294117647058824,0.20588235294117646,0.08823529411764706,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.3333333333333333,0.5,0.16666666666666666,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_0,0.6363636363636364,0.2727272727272727,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.625,0.09375,0.0,0.03125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.5151515151515151,0.045454545454545456,0.0,0.16666666666666666,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.5512820512820513,0.05128205128205128,0.0,0.1282051282051282,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.3409090909090909,0.1590909090909091,0.0,0.022727272727272728,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.4939759036144578,0.03614457831325301,0.012048192771084338,0.10843373493975904,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.4857142857142857,0.17142857142857143,0.02857142857142857,0.02857142857142857,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.40625,0.25,0.03125,0.03125,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.5161290322580645,0.0967741935483871,0.0,0.12903225806451613,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.5,0.2916666666666667,0.08333333333333333,0.041666666666666664,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.35714285714285715,0.39285714285714285,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.4838709677419355,0.2903225806451613,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.5862068965517241,0.22413793103448276,0.05172413793103448,0.017241379310344827,0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
周大生_1,0.6,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
