att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
大连港_0,0.6190476190476191,0.07936507936507936,0.015873015873015872,0.015873015873015872,0,1,1.0,1.0,1.0,1.0,0.2,0.1875,0.1875,0.16666666666666666,1
大连港_0,0.5,0.20833333333333334,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.05555555555555555,0.045454545454545456,0.03571428571428571,0.029595015576323987,1
大连港_0,0.46153846153846156,0.16923076923076924,0.03076923076923077,0.07692307692307693,0,1,1.0,1.0,1.0,1.0,0.16666666666666666,0.14285714285714285,0.05263157894736842,0.03508771929824561,1
大连港_0,0.6086956521739131,0.21739130434782608,0.08695652173913043,0.0,0,0,1.0,1.0,1.0,1.0,0.2,0.06557377049180328,0.05714285714285714,0.029595015576323987,1
大连港_0,0.6666666666666666,0.3,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.08333333333333333,0.06557377049180328,0.06557377049180328,1
大连港_0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0,0,1.0,1.0,1.0,1.0,0.029595015576323987,0.028846153846153848,0.0,0.0,1
大连港_1,0.38461538461538464,0.11538461538461539,0.0,0.19230769230769232,0,0,1.0,1.0,1.0,1.0,0.09202453987730061,0.03409090909090909,0.03409090909090909,0.03296703296703297,1
大连港_1,0.4,0.2,0.0,0.1,0,1,1.0,1.0,1.0,1.0,0.09090909090909091,0.06557377049180328,0.029595015576323987,0.0,1
大连港_1,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,0,0,1.0,1.0,1.0,1.0,0.09202453987730061,0.029595015576323987,0.028846153846153848,0.0,1
大连港_2,0.5,0.1956521739130435,0.0,0.08695652173913043,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.09202453987730061,0.08,1
大连港_2,0.3333333333333333,0.0,0.0,0.3333333333333333,0,0,1.0,0.9704049844236761,0.967032967032967,0.0,0.03296703296703297,0.029595015576323987,0.0,0.0,1
大连港_3,0.5094339622641509,0.05660377358490566,0.0,0.1320754716981132,0,1,1.0,1.0,1.0,1.0,0.33293124246079614,0.33293124246079614,0.09202453987730061,0.09202453987730061,1
大连港_3,0.3108108108108108,0.24324324324324326,0.013513513513513514,0.14864864864864866,0,1,1.0,1.0,1.0,1.0,0.33293124246079614,0.33293124246079614,0.16666666666666666,0.09202453987730061,1
大连港_3,0.5714285714285714,0.42857142857142855,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.029595015576323987,0.0,0.0,0.0,1
大连港_4,0.449438202247191,0.15730337078651685,0.0,0.0898876404494382,0,1,1.0,1.0,1.0,1.0,0.09202453987730061,0.09202453987730061,0.08,0.045112781954887216,1
大连港_4,0.3333333333333333,0.13333333333333333,0.0,0.13333333333333333,0,0,1.0,1.0,1.0,1.0,0.04285714285714286,0.04285714285714286,0.028846153846153848,0.028846153846153848,1
大连港_4,0.47619047619047616,0.047619047619047616,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.07112970711297072,0.028846153846153848,0.028846153846153848,0.028846153846153848,1
大连港_4,0.5,0.25,0.125,0.0,0,0,1.0,1.0,1.0,1.0,0.25,0.028846153846153848,0.0,0.0,1
大连港_4,0.5,0.0625,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.07112970711297072,0.028846153846153848,0.013888888888888888,0.013888888888888888,1
大连港_4,0.2727272727272727,0.18181818181818182,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.08,0.03409090909090909,0.03296703296703297,0.029595015576323987,1
大连港_5,0.4461538461538462,0.046153846153846156,0.0,0.18461538461538463,0,1,1.0,1.0,1.0,1.0,0.33293124246079614,0.09202453987730061,0.05263157894736842,0.045112781954887216,1
大连港_5,0.36363636363636365,0.2727272727272727,0.0,0.2727272727272727,0,0,1.0,1.0,1.0,1.0,0.029595015576323987,0.0,0.0,0.0,1
大连港_6,0.4230769230769231,0.21794871794871795,0.0,0.0641025641025641,0,1,1.0,1.0,1.0,1.0,0.33293124246079614,0.09202453987730061,0.06557377049180328,0.05263157894736842,1
大连港_6,0.3333333333333333,0.5555555555555556,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.029595015576323987,0.0,0.0,0.0,1
大连港_7,0.32142857142857145,0.21428571428571427,0.03571428571428571,0.07142857142857142,0,1,1.0,1.0,1.0,1.0,0.33293124246079614,0.07142857142857142,0.05555555555555555,0.03409090909090909,1
大连港_7,0.4,0.1111111111111111,0.0,0.06666666666666667,0,0,1.0,1.0,1.0,1.0,0.04017857142857143,0.04017857142857143,0.03508771929824561,0.03409090909090909,1
大连港_7,0.391304347826087,0.2608695652173913,0.0,0.17391304347826086,0,0,1.0,1.0,1.0,1.0,0.030303030303030304,0.029595015576323987,0.029411764705882353,0.028846153846153848,1
大连港_7,0.4473684210526316,0.13157894736842105,0.02631578947368421,0.05263157894736842,0,1,1.0,1.0,1.0,1.0,0.07112970711297072,0.06557377049180328,0.03571428571428571,0.03,1
大连港_8,0.4235294117647059,0.25882352941176473,0.023529411764705882,0.10588235294117647,0,2,1.0,1.0,1.0,1.0,0.25,0.1875,0.16666666666666666,0.125,1
大连港_8,0.46153846153846156,0.15384615384615385,0.0,0.3076923076923077,0,0,1.0,1.0,1.0,1.0,0.09202453987730061,0.04285714285714286,0.029595015576323987,0.029595015576323987,1
大连港_8,0.38461538461538464,0.23076923076923078,0.02564102564102564,0.20512820512820512,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.09202453987730061,0.05555555555555555,0.045454545454545456,1
大连港_8,0.5434782608695652,0.2608695652173913,0.021739130434782608,0.0,0,0,1.0,1.0,1.0,1.0,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.14285714285714285,1
