att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
Ì«ÑôÄÜ_0,0.5348837209302325,0.23255813953488372,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.5714285714285714,0.4,0.4,0.3780487804878049,1
Ì«ÑôÄÜ_0,0.47368421052631576,0.2894736842105263,0.0,0.02631578947368421,0,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6373626373626373,0.5882352941176471,0.5,1
Ì«ÑôÄÜ_0,0.625,0.125,0.0625,0.0,0,1,1.0,1.0,1.0,1.0,0.8651685393258427,0.7272727272727273,0.6666666666666666,0.3780487804878049,1
Ì«ÑôÄÜ_1,0.2926829268292683,0.12195121951219512,0.024390243902439025,0.14634146341463414,0,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6373626373626373,0.6373626373626373,1
Ì«ÑôÄÜ_1,0.2413793103448276,0.13793103448275862,0.0,0.3103448275862069,0,3,1.0,1.0,1.0,1.0,0.4,0.367816091954023,0.32,0.32,1
Ì«ÑôÄÜ_1,0.38235294117647056,0.2647058823529412,0.0,0.058823529411764705,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6428571428571429,0.6428571428571429,0.6373626373626373,1
Ì«ÑôÄÜ_1,0.38461538461538464,0.15384615384615385,0.038461538461538464,0.19230769230769232,0,1,1.0,1.0,1.0,1.0,0.40540540540540543,0.40540540540540543,0.367816091954023,0.32,1
Ì«ÑôÄÜ_1,0.5,0.25,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.367816091954023,0.25,0.25,0.23076923076923078,1
Ì«ÑôÄÜ_1,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.367816091954023,0.3333333333333333,0.3333333333333333,1
Ì«ÑôÄÜ_1,0.3142857142857143,0.14285714285714285,0.0,0.37142857142857144,0,4,1.0,1.0,1.0,1.0,0.40540540540540543,0.40540540540540543,0.4,0.367816091954023,1
Ì«ÑôÄÜ_1,0.2727272727272727,0.18181818181818182,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.5,0.4,0.3780487804878049,0.367816091954023,1
Ì«ÑôÄÜ_1,0.30434782608695654,0.21739130434782608,0.0,0.30434782608695654,0,5,1.0,1.0,1.0,1.0,0.367816091954023,0.32,0.31297709923664124,0.2857142857142857,1
Ì«ÑôÄÜ_1,0.3157894736842105,0.15789473684210525,0.0,0.3157894736842105,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.367816091954023,0.32,0.31297709923664124,1
Ì«ÑôÄÜ_1,0.35294117647058826,0.29411764705882354,0.11764705882352941,0.0,0,1,1.0,1.0,1.0,1.0,0.41304347826086957,0.3780487804878049,0.367816091954023,0.25,1
Ì«ÑôÄÜ_1,0.6,0.26666666666666666,0.06666666666666667,0.06666666666666667,0,2,1.0,1.0,1.0,1.0,0.7272727272727273,0.5714285714285714,0.41304347826086957,0.367816091954023,1
Ì«ÑôÄÜ_1,0.38235294117647056,0.19117647058823528,0.014705882352941176,0.08823529411764706,0,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6428571428571429,1
Ì«ÑôÄÜ_1,0.45454545454545453,0.2727272727272727,0.045454545454545456,0.0,0,0,1.0,1.0,1.0,1.0,0.8,0.5384615384615384,0.5,0.5,1
