att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
Äþ²¨¸Û_0,0.36666666666666664,0.3,0.03333333333333333,0.03333333333333333,0,4,1.0,1.0,1.0,1.0,0.014492753623188406,0.014492753623188406,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_0,0.5,0.2857142857142857,0.07142857142857142,0.0,0,1,1.0,1.0,1.0,1.0,0.014492753623188406,0.0,0.0,0.0,1
Äþ²¨¸Û_1,0.2641509433962264,0.22641509433962265,0.018867924528301886,0.1320754716981132,0,4,1.0,1.0,1.0,1.0,0.014492753623188406,0.012987012987012988,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_1,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.10526315789473684,0,1,1.0,1.0,1.0,1.0,0.014492753623188406,0.012987012987012988,0.012987012987012988,0.0,1
Äþ²¨¸Û_1,0.6363636363636364,0.13636363636363635,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.014492753623188406,0.012987012987012988,0.0,0.0,1
Äþ²¨¸Û_1,0.574468085106383,0.1702127659574468,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.014492753623188406,0.012987012987012988,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_1,0.5384615384615384,0.15384615384615385,0.0,0.07692307692307693,0,0,1.0,1.0,1.0,1.0,0.014492753623188406,0.0,0.0,0.0,1
Äþ²¨¸Û_3,0.4807692307692308,0.07692307692307693,0.019230769230769232,0.19230769230769232,0,2,1.0,1.0,1.0,1.0,0.014492753623188406,0.012987012987012988,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_3,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0,1,1.0,1.0,1.0,1.0,0.014492753623188406,0.0,0.0,0.0,1
Äþ²¨¸Û_4,0.5348837209302325,0.11627906976744186,0.0,0.06976744186046512,0,2,1.0,1.0,1.0,1.0,0.014492753623188406,0.012987012987012988,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_5,0.35185185185185186,0.14814814814814814,0.0,0.2962962962962963,0,1,1.0,1.0,1.0,1.0,0.1,0.1,0.045454545454545456,0.014492753623188406,1
Äþ²¨¸Û_5,0.45454545454545453,0.18181818181818182,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.1,0.045454545454545456,0.014492753623188406,0.0,1
Äþ²¨¸Û_6,0.12698412698412698,0.14285714285714285,0.0,0.20634920634920634,0,2,1.0,1.0,1.0,1.0,0.07692307692307693,0.014492753623188406,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_7,0.3870967741935484,0.03225806451612903,0.03225806451612903,0.22580645161290322,0,1,1.0,1.0,1.0,1.0,0.014492753623188406,0.0,0.0,0.0,1
Äþ²¨¸Û_8,0.3620689655172414,0.1896551724137931,0.0,0.08620689655172414,0,2,1.0,1.0,1.0,1.0,0.045454545454545456,0.014492753623188406,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_9,0.26229508196721313,0.18032786885245902,0.0,0.08196721311475409,0,2,1.0,1.0,1.0,1.0,0.045454545454545456,0.014492753623188406,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_10,0.475,0.15,0.05,0.0,0,0,1.0,1.0,1.0,1.0,0.014492753623188406,0.014492753623188406,0.012987012987012988,0.012987012987012988,1
Äþ²¨¸Û_11,0.3157894736842105,0.08771929824561403,0.03508771929824561,0.12280701754385964,0,0,1.0,1.0,1.0,1.0,0.07692307692307693,0.045454545454545456,0.014492753623188406,0.012987012987012988,1
Äþ²¨¸Û_12,0.3103448275862069,0.08620689655172414,0.017241379310344827,0.1206896551724138,0,0,1.0,1.0,1.0,1.0,0.07692307692307693,0.045454545454545456,0.014492753623188406,0.012987012987012988,1
Äþ²¨¸Û_13,0.3157894736842105,0.08771929824561403,0.03508771929824561,0.12280701754385964,0,0,1.0,1.0,1.0,1.0,0.07692307692307693,0.045454545454545456,0.014492753623188406,0.012987012987012988,1
Äþ²¨¸Û_21,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.07142857142857142,0,0,0.987012987012987,0.987012987012987,0.9855072463768116,0.9545454545454546,1.0,1.0,1.0,1.0,0
