att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
山西汾酒_0,0.20408163265306123,0.12244897959183673,0.04081632653061224,0.32653061224489793,0,1,1.0,1.0,1.0,1.0,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.043010752688172046,1
山西汾酒_0,0.25,0.25,0.08333333333333333,0.08333333333333333,0,1,1.0,1.0,1.0,1.0,0.043010752688172046,0.005780346820809248,0.0,0.0,1
山西汾酒_1,0.46938775510204084,0.12244897959183673,0.02040816326530612,0.16326530612244897,0,1,1.0,1.0,1.0,1.0,0.02877697841726619,0.008064516129032258,0.005780346820809248,0.0,1
山西汾酒_1,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,1.0,1.0,1.0,1.0,0.02877697841726619,0.005780346820809248,0.0,0.0,1
山西汾酒_2,0.3375,0.1375,0.025,0.1875,0,3,1.0,1.0,1.0,1.0,0.02877697841726619,0.02877697841726619,0.02877697841726619,0.005780346820809248,1
山西汾酒_2,0.38461538461538464,0.3076923076923077,0.0,0.07692307692307693,0,2,1.0,1.0,1.0,1.0,0.043010752688172046,0.005780346820809248,0.0,0.0,1
山西汾酒_3,0.3508771929824561,0.19298245614035087,0.017543859649122806,0.15789473684210525,0,3,1.0,1.0,1.0,1.0,0.043010752688172046,0.02877697841726619,0.02877697841726619,0.005780346820809248,1
山西汾酒_3,0.3,0.4,0.0,0.1,0,2,1.0,1.0,1.0,1.0,0.043010752688172046,0.005780346820809248,0.0,0.0,1
山西汾酒_5,0.36585365853658536,0.21951219512195122,0.0,0.0975609756097561,0,4,1.0,1.0,1.0,1.0,0.043010752688172046,0.005780346820809248,0.005780346820809248,0.0,1
山西汾酒_5,0.5833333333333334,0.4166666666666667,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.005780346820809248,0.0,0.0,0.0,1
山西汾酒_6,0.3076923076923077,0.2692307692307692,0.038461538461538464,0.19230769230769232,0,3,1.0,1.0,1.0,1.0,0.25,0.005780346820809248,0.0,0.0,1
山西汾酒_8,0.2647058823529412,0.2647058823529412,0.0,0.20588235294117646,0,2,1.0,1.0,1.0,1.0,0.005780346820809248,0.0,0.0,0.0,1
