att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
∂Î√º…Ω_7,0.10714285714285714,0.023809523809523808,0.0,0.2976190476190476,0,0,0.9537037037037037,0.9124087591240876,0.9124087591240876,0.9124087591240876,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_21,0.3157894736842105,0.2631578947368421,0.0,0.0,0,0,0.6738166349895918,0.6666666666666666,0.6,0.5920303605313093,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_29,0.45,0.15,0.0,0.15,0,0,0.7282608695652174,0.6738166349895918,0.5580194767100786,0.5362318840579711,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_45,0.09195402298850575,0.011494252873563218,0.011494252873563218,0.28735632183908044,0,0,0.9583333333333334,0.9565217391304348,0.9537037037037037,0.9124087591240876,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_58,0.5,0.3,0.0,0.0,0,0,0.9746835443037974,0.889153100420706,0.7969883288538714,0.7777777777777778,1.0,0.6666666666666666,0.56,0.4419805232899214,0
∂Î√º…Ω_63,0.25,0.10714285714285714,0.14285714285714285,0.14285714285714285,0,0,0.8891855807743658,0.8570451436388509,0.7142857142857143,0.6738166349895918,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_63,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0,0,0.8891855807743658,0.6738166349895918,0.6738166349895918,0.3333333333333333,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_63,0.4375,0.25,0.0,0.0,0,0,0.8891855807743658,0.6738166349895918,0.6738166349895918,0.6666666666666666,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_63,0.5,0.16666666666666666,0.1111111111111111,0.05555555555555555,0,0,0.8891855807743658,0.8717948717948718,0.86,0.8095238095238095,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_63,0.5,0.2857142857142857,0.0,0.07142857142857142,0,0,0.8891855807743658,0.6927536231884058,0.6738166349895918,0.6738166349895918,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_63,0.375,0.25,0.1875,0.0,0,0,0.8891855807743658,0.6927536231884058,0.6738166349895918,0.6738166349895918,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_70,1.0,0.0,0.0,0.0,0,0,0.6738166349895918,0.0625,0.0,0.0,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_71,1.0,0.0,0.0,0.0,0,0,0.6738166349895918,0.0625,0.0,0.0,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_90,0.3902439024390244,0.0,0.0,0.0975609756097561,0,0,0.9819004524886877,0.8976784178847808,0.8976784178847808,0.8976784178847808,1.0,0.9411764705882353,0.9375,0.8,0
∂Î√º…Ω_90,0.5263157894736842,0.05263157894736842,0.0,0.10526315789473684,0,0,0.8976784178847808,0.8976784178847808,0.8976784178847808,0.8684863523573201,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_90,0.3103448275862069,0.0,0.0,0.10344827586206896,0,0,0.9819004524886877,0.8976784178847808,0.8976784178847808,0.8976784178847808,1.0,0.9411764705882353,0.9375,0.8,0
∂Î√º…Ω_90,0.38095238095238093,0.0,0.0,0.09523809523809523,0,0,0.9819004524886877,0.8976784178847808,0.8976784178847808,0.8976784178847808,0.9411764705882353,0.9375,0.8,0.7472527472527473,0
∂Î√º…Ω_115,0.4431818181818182,0.011363636363636364,0.022727272727272728,0.13636363636363635,0,0,0.8684863523573201,0.8570451436388509,0.8570451436388509,0.8570451436388509,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_115,0.3465346534653465,0.09900990099009901,0.019801980198019802,0.10891089108910891,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_115,0.17543859649122806,0.10526315789473684,0.0,0.41228070175438597,0,0,0.8976784178847808,0.8684863523573201,0.8570451436388509,0.8570451436388509,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_115,0.4864864864864865,0.0,0.02702702702702703,0.16216216216216217,0,0,0.8570451436388509,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_143,0.52,0.1,0.0,0.02,0,0,0.9045226130653267,0.8976784178847808,0.8109090909090909,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_159,0.4418604651162791,0.13953488372093023,0.023255813953488372,0.06976744186046512,0,0,0.9696969696969697,0.9318181818181818,0.8441558441558441,0.8410596026490066,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_162,0.3684210526315789,0.21052631578947367,0.0,0.18421052631578946,0,0,0.875,0.8460575719649562,0.8460575719649562,0.8410596026490066,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_176,0.5333333333333333,0.2,0.0,0.0,0,0,0.995850622406639,0.9823008849557522,0.9707792207792207,0.9318181818181818,1.0,0.3261833650104082,0.20301167114612864,0.20301167114612864,0
∂Î√º…Ω_179,0.4642857142857143,0.011904761904761904,0.023809523809523808,0.09523809523809523,0,0,0.8684863523573201,0.8570451436388509,0.8570451436388509,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_179,0.3465346534653465,0.09900990099009901,0.019801980198019802,0.10891089108910891,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_179,0.17543859649122806,0.10526315789473684,0.0,0.41228070175438597,0,0,0.8976784178847808,0.8684863523573201,0.8570451436388509,0.8570451436388509,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_179,0.5294117647058824,0.0,0.029411764705882353,0.058823529411764705,0,0,0.7969883288538714,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_185,0.4576271186440678,0.0,0.01694915254237288,0.13559322033898305,0,0,0.8976784178847808,0.8976784178847808,0.8570451436388509,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_185,0.3466666666666667,0.09333333333333334,0.0,0.06666666666666667,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_185,0.11450381679389313,0.08396946564885496,0.0,0.32061068702290074,0,0,0.8164435946462715,0.8164435946462715,0.8164435946462715,0.8115942028985508,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_185,0.44,0.0,0.02,0.14,0,0,0.9523809523809523,0.8570451436388509,0.8346607199745142,0.8125,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_185,0.4864864864864865,0.0,0.02702702702702703,0.16216216216216217,0,0,0.8570451436388509,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_187,0.25,0.03125,0.010416666666666666,0.16666666666666666,0,0,0.8570451436388509,0.8570451436388509,0.8570451436388509,0.8570451436388509,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_187,0.3431372549019608,0.09803921568627451,0.0196078431372549,0.10784313725490197,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_187,0.10294117647058823,0.0661764705882353,0.0,0.29411764705882354,0,0,0.8346607199745142,0.8346607199745142,0.8346607199745142,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_187,0.47368421052631576,0.0,0.02631578947368421,0.15789473684210525,0,0,0.7969883288538714,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_195,0.3269230769230769,0.057692307692307696,0.0,0.09615384615384616,0,0,0.9707792207792207,0.9481132075471698,0.9390862944162437,0.9124087591240876,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_226,0.36,0.16,0.0,0.06,0,0,0.9836065573770492,0.9824561403508771,0.975,0.9583333333333334,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_238,0.37623762376237624,0.06930693069306931,0.0,0.06930693069306931,0,0,0.9821428571428571,0.9285714285714286,0.8570451436388509,0.8537549407114624,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_243,0.2857142857142857,0.4,0.0,0.14285714285714285,0,0,0.9393939393939394,0.9130434782608695,0.8928571428571429,0.889153100420706,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_250,0.45614035087719296,0.0,0.017543859649122806,0.14035087719298245,0,0,0.8976784178847808,0.8976784178847808,0.8570451436388509,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_250,0.3625,0.0875,0.0,0.075,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_250,0.11450381679389313,0.08396946564885496,0.0,0.32061068702290074,0,0,0.8164435946462715,0.8164435946462715,0.8164435946462715,0.8115942028985508,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_250,0.425531914893617,0.0,0.02127659574468085,0.1276595744680851,0,0,0.8570451436388509,0.8484848484848485,0.8346607199745142,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_250,0.4864864864864865,0.0,0.02702702702702703,0.16216216216216217,0,0,0.8570451436388509,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_257,0.45614035087719296,0.0,0.017543859649122806,0.14035087719298245,0,0,0.8976784178847808,0.8976784178847808,0.8570451436388509,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_257,0.3625,0.0875,0.0,0.075,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_257,0.11450381679389313,0.08396946564885496,0.0,0.32061068702290074,0,0,0.8164435946462715,0.8164435946462715,0.8164435946462715,0.8115942028985508,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_257,0.425531914893617,0.0,0.02127659574468085,0.1276595744680851,0,0,0.8570451436388509,0.8484848484848485,0.8346607199745142,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_257,0.4864864864864865,0.0,0.02702702702702703,0.16216216216216217,0,0,0.8570451436388509,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_287,0.391304347826087,0.08695652173913043,0.0,0.17391304347826086,0,0,0.9088213491475167,0.8536585365853658,0.8536585365853658,0.8333333333333334,1.0,1.0,0.8181818181818182,0.6666666666666666,0
∂Î√º…Ω_305,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.038461538461538464,0,0,0.8,0.7863247863247863,0.6738166349895918,0.6375838926174496,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_317,0.11428571428571428,0.2,0.02857142857142857,0.02857142857142857,0,0,0.6785714285714286,0.6738166349895918,0.6153846153846154,0.5920303605313093,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_319,0.3333333333333333,0.18181818181818182,0.030303030303030304,0.21212121212121213,0,0,0.893491124260355,0.8857142857142857,0.879746835443038,0.8544061302681992,1.0,0.8333333333333334,0.7864077669902912,0.6666666666666666,0
∂Î√º…Ω_321,0.45348837209302323,0.011627906976744186,0.023255813953488372,0.09302325581395349,0,0,0.8570451436388509,0.8570451436388509,0.8346607199745142,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_321,0.35353535353535354,0.10101010101010101,0.020202020202020204,0.1111111111111111,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_321,0.17543859649122806,0.10526315789473684,0.0,0.41228070175438597,0,0,0.8976784178847808,0.8684863523573201,0.8570451436388509,0.8570451436388509,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_321,0.5,0.0,0.027777777777777776,0.05555555555555555,0,0,0.8164435946462715,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_332,0.5652173913043478,0.13043478260869565,0.0,0.0,0,0,0.9056603773584906,0.889153100420706,0.8467741935483871,0.8064516129032258,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_334,0.3269230769230769,0.057692307692307696,0.0,0.09615384615384616,0,0,0.9707792207792207,0.9481132075471698,0.9390862944162437,0.9124087591240876,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_335,0.4576271186440678,0.0,0.01694915254237288,0.13559322033898305,0,0,0.8976784178847808,0.8976784178847808,0.8570451436388509,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_335,0.3466666666666667,0.09333333333333334,0.0,0.06666666666666667,0,0,0.879746835443038,0.879746835443038,0.8775510204081632,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_335,0.11450381679389313,0.08396946564885496,0.0,0.32061068702290074,0,0,0.8164435946462715,0.8164435946462715,0.8164435946462715,0.8115942028985508,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_335,0.39344262295081966,0.04918032786885246,0.01639344262295082,0.14754098360655737,0,0,0.8570451436388509,0.8570451436388509,0.8570451436388509,0.8460575719649562,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_335,0.4864864864864865,0.0,0.02702702702702703,0.16216216216216217,0,0,0.8570451436388509,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_367,0.425,0.075,0.0125,0.2,0,0,0.9285714285714286,0.9088213491475167,0.9010989010989011,0.8725490196078431,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_373,0.19230769230769232,0.2692307692307692,0.0,0.038461538461538464,0,0,0.8346607199745142,0.8346607199745142,0.8,0.7738693467336684,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_374,0.3333333333333333,0.0,0.0,0.15555555555555556,0,0,0.8460575719649562,0.8460575719649562,0.8460575719649562,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_375,0.3333333333333333,0.0,0.0,0.15555555555555556,0,0,0.8460575719649562,0.8460575719649562,0.8460575719649562,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_377,0.4406779661016949,0.1694915254237288,0.0,0.13559322033898305,0,0,0.965484180249281,0.965484180249281,0.9643211100099108,0.9643211100099108,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_377,0.6363636363636364,0.36363636363636365,0.09090909090909091,0.0,0,0,0.8441558441558441,0.6968325791855203,0.6738166349895918,0.5384615384615384,1.0,1.0,0.8,0.7777777777777778,0
∂Î√º…Ω_378,0.5714285714285714,0.07142857142857142,0.03571428571428571,0.17857142857142858,0,0,0.965484180249281,0.965484180249281,0.9643211100099108,0.9643211100099108,1.0,1.0,1.0,0.8214285714285714,0
∂Î√º…Ω_378,0.5833333333333334,0.16666666666666666,0.0,0.08333333333333333,0,0,0.8164435946462715,0.7930790960451978,0.7915194346289752,0.7668161434977578,1.0,0.8214285714285714,0.8,0.515527950310559,0
∂Î√º…Ω_379,0.3888888888888889,0.3888888888888889,0.0,0.05555555555555555,0,0,0.9959016393442623,0.9903846153846154,0.9900990099009901,0.9715909090909091,1.0,0.3333333333333333,0.3261833650104082,0.20270270270270271,0
∂Î√º…Ω_380,0.35294117647058826,0.17647058823529413,0.029411764705882353,0.11764705882352941,0,0,0.9,0.889153100420706,0.8,0.7777777777777778,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_380,0.3125,0.1875,0.0,0.375,0,0,0.8620689655172413,0.7738693467336684,0.7165354330708661,0.6738166349895918,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_380,0.2222222222222222,0.17777777777777778,0.044444444444444446,0.022222222222222223,0,0,0.9583333333333334,0.6790697674418604,0.6738166349895918,0.5580194767100786,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_380,0.4166666666666667,0.08333333333333333,0.0,0.0,0,0,0.9656862745098039,0.9493670886075949,0.6738166349895918,0.6738166349895918,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_380,0.3157894736842105,0.10526315789473684,0.0,0.10526315789473684,0,0,0.7165354330708661,0.6738166349895918,0.5588235294117647,0.4107806691449814,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_380,0.3333333333333333,0.23809523809523808,0.0,0.0,0,0,0.7857142857142857,0.7735849056603774,0.6738166349895918,0.6,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_380,0.42592592592592593,0.2222222222222222,0.018518518518518517,0.07407407407407407,0,0,0.9130434782608695,0.8888888888888888,0.8823529411764706,0.84,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_380,0.5,0.0,0.0,0.16666666666666666,0,0,0.8684863523573201,0.8256880733944955,0.6738166349895918,0.5939597315436241,1.0,1.0,1.0,0.8461538461538461,0
∂Î√º…Ω_383,0.4411764705882353,0.20588235294117646,0.0,0.058823529411764705,0,0,0.875,0.875,0.7352941176470589,0.7222222222222222,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_384,0.3103448275862069,0.06896551724137931,0.034482758620689655,0.20689655172413793,0,0,0.965484180249281,0.9643211100099108,0.8109090909090909,0.7282608695652174,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_385,0.3877551020408163,0.22448979591836735,0.0,0.08163265306122448,0,0,0.8974358974358975,0.7969883288538714,0.7969883288538714,0.7969883288538714,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_390,0.4888888888888889,0.08888888888888889,0.06666666666666667,0.0,0,0,0.9090909090909091,0.9088213491475167,0.8536585365853658,0.8346607199745142,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_397,0.6666666666666666,0.4166666666666667,0.08333333333333333,0.0,0,0,0.9465648854961832,0.889153100420706,0.8333333333333334,0.7969883288538714,0.6666666666666666,0.5,0.3261833650104082,0.3103448275862069,0
∂Î√º…Ω_407,0.12903225806451613,0.22580645161290322,0.0,0.03225806451612903,0,0,0.6785714285714286,0.6738166349895918,0.6153846153846154,0.5920303605313093,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_417,0.5916666666666667,0.058333333333333334,0.025,0.008333333333333333,0,0,0.9830960854092526,0.9830960854092526,0.9830960854092526,0.9769585253456221,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_429,0.3684210526315789,0.23684210526315788,0.02631578947368421,0.13157894736842105,0,0,0.972972972972973,0.9705882352941176,0.9230769230769231,0.879746835443038,1.0,1.0,1.0,0.7864077669902912,0
∂Î√º…Ω_433,0.11428571428571428,0.2,0.02857142857142857,0.02857142857142857,0,0,0.6785714285714286,0.6738166349895918,0.6153846153846154,0.5920303605313093,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_434,0.11428571428571428,0.2,0.02857142857142857,0.02857142857142857,0,0,0.6785714285714286,0.6738166349895918,0.6153846153846154,0.5920303605313093,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_436,0.11428571428571428,0.2,0.02857142857142857,0.02857142857142857,0,0,0.6785714285714286,0.6738166349895918,0.6153846153846154,0.5920303605313093,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_446,0.296875,0.125,0.046875,0.109375,0,0,0.9704142011834319,0.9656862745098039,0.92,0.893491124260355,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_458,0.3142857142857143,0.17142857142857143,0.02857142857142857,0.17142857142857143,0,0,0.893491124260355,0.8857142857142857,0.879746835443038,0.8544061302681992,1.0,0.8333333333333334,0.7864077669902912,0.6666666666666666,0
∂Î√º…Ω_459,0.3333333333333333,0.18181818181818182,0.030303030303030304,0.21212121212121213,0,0,0.893491124260355,0.8857142857142857,0.879746835443038,0.8544061302681992,1.0,0.8333333333333334,0.7864077669902912,0.6666666666666666,0
∂Î√º…Ω_463,0.5714285714285714,0.11904761904761904,0.0,0.11904761904761904,0,0,0.9711307137129109,0.889153100420706,0.8544061302681992,0.8484848484848485,1.0,1.0,1.0,0.8888888888888888,0
∂Î√º…Ω_470,0.25,0.2875,0.0,0.2625,0,0,0.9124087591240876,0.9124087591240876,0.9044117647058824,0.9007633587786259,1.0,1.0,1.0,0.8181818181818182,0
∂Î√º…Ω_470,0.3,0.2,0.0,0.2,0,0,0.8870967741935484,0.8537549407114624,0.8460575719649562,0.8363636363636363,1.0,1.0,1.0,0.9655172413793104,0
∂Î√º…Ω_471,0.38235294117647056,0.14705882352941177,0.04411764705882353,0.08823529411764706,0,0,0.9465648854961832,0.9444444444444444,0.9285714285714286,0.9270833333333334,1.0,0.75,0.7,0.6235294117647059,0
∂Î√º…Ω_471,0.45652173913043476,0.17391304347826086,0.06521739130434782,0.17391304347826086,0,0,0.9707792207792207,0.8955223880597015,0.8891855807743658,0.889153100420706,1.0,1.0,0.9032258064516129,0.6451612903225806,0
∂Î√º…Ω_475,0.5185185185185185,0.14814814814814814,0.0,0.07407407407407407,0,0,0.7903225806451613,0.7403225806451613,0.7403225806451613,0.6738166349895918,1.0,1.0,1.0,0.9090909090909091,0
∂Î√º…Ω_475,0.6842105263157895,0.05263157894736842,0.10526315789473684,0.05263157894736842,0,0,0.8918918918918919,0.6738166349895918,0.631578947368421,0.6024096385542169,1.0,1.0,1.0,0.8461538461538461,0
∂Î√º…Ω_475,0.6060606060606061,0.12121212121212122,0.06060606060606061,0.06060606060606061,0,0,0.875,0.8346607199745142,0.7969883288538714,0.7903225806451613,1.0,1.0,1.0,0.8333333333333334,0
∂Î√º…Ω_475,0.4444444444444444,0.16666666666666666,0.05555555555555555,0.05555555555555555,0,0,0.7117117117117117,0.6738166349895918,0.6024096385542169,0.5920303605313093,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_475,0.4375,0.1875,0.25,0.0,0,0,0.7668161434977578,0.6738166349895918,0.5580194767100786,0.5,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_475,0.45,0.175,0.125,0.0,0,0,0.889153100420706,0.7668161434977578,0.75,0.7403225806451613,1.0,1.0,1.0,1.0,0
∂Î√º…Ω_475,0.5,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,0,0.6738166349895918,0.5842696629213483,0.5580194767100786,0.36666666666666664,1.0,1.0,0.9,0.8181818181818182,0
∂Î√º…Ω_478,0.3269230769230769,0.057692307692307696,0.0,0.09615384615384616,0,0,0.9707792207792207,0.9481132075471698,0.9390862944162437,0.9124087591240876,1.0,1.0,1.0,1.0,0
