att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
帝王洁具_1,0.2857142857142857,0.2,0.0,0.2857142857142857,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_1,0.375,0.125,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_2,0.2903225806451613,0.1935483870967742,0.0,0.2903225806451613,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_2,0.4411764705882353,0.2647058823529412,0.029411764705882353,0.058823529411764705,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_2,0.375,0.125,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_3,0.36363636363636365,0.13636363636363635,0.0,0.22727272727272727,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_3,0.29411764705882354,0.17647058823529413,0.0,0.23529411764705882,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.5384615384615384,0.1282051282051282,0.0,0.05128205128205128,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.225,0.125,0.0,0.35,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.4634146341463415,0.21951219512195122,0.024390243902439025,0.024390243902439025,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.3157894736842105,0.3157894736842105,0.02631578947368421,0.02631578947368421,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.4426229508196721,0.2459016393442623,0.01639344262295082,0.11475409836065574,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.22727272727272727,0.22727272727272727,0.0,0.45454545454545453,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.4838709677419355,0.16129032258064516,0.0,0.0967741935483871,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.5,0.13636363636363635,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.36363636363636365,0.2727272727272727,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.3076923076923077,0.3076923076923077,0.0,0.10256410256410256,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.2692307692307692,0.3076923076923077,0.07692307692307693,0.07692307692307693,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.28125,0.1875,0.03125,0.25,0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.23076923076923078,0.0,0.0,0.46153846153846156,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.26666666666666666,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.25,0.1,0.0,0.35,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.2631578947368421,0.0,0.0,0.47368421052631576,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.5555555555555556,0.25925925925925924,0.07407407407407407,0.037037037037037035,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.3717948717948718,0.28205128205128205,0.0,0.19230769230769232,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.4444444444444444,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.509090909090909,0.16363636363636364,0.01818181818181818,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.42857142857142855,0.21428571428571427,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.3103448275862069,0.2413793103448276,0.0,0.41379310344827586,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.2777777777777778,0.2222222222222222,0.05555555555555555,0.3333333333333333,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.37254901960784315,0.3137254901960784,0.0392156862745098,0.0196078431372549,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.5087719298245614,0.15789473684210525,0.03508771929824561,0.08771929824561403,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_4,0.45454545454545453,0.36363636363636365,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.5294117647058824,0.11764705882352941,0.08823529411764706,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.46938775510204084,0.32653061224489793,0.02040816326530612,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.39285714285714285,0.17857142857142858,0.07142857142857142,0.07142857142857142,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.5483870967741935,0.22580645161290322,0.03225806451612903,0.06451612903225806,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.6428571428571429,0.21428571428571427,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.7142857142857143,0.21428571428571427,0.0,0.03571428571428571,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.13513513513513514,0.08108108108108109,0.0,0.3783783783783784,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.27419354838709675,0.1935483870967742,0.0,0.3387096774193548,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_5,0.38461538461538464,0.38461538461538464,0.07692307692307693,0.0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_6,0.42424242424242425,0.16666666666666666,0.0,0.15151515151515152,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_6,0.42424242424242425,0.21212121212121213,0.06060606060606061,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
帝王洁具_6,0.4074074074074074,0.18518518518518517,0.0,0.1111111111111111,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
