att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
广汽集团_0,0.5833333333333334,0.16666666666666666,0.0,0.08333333333333333,0,1,1.0,1.0,1.0,1.0,0.5,0.0626865671641791,0.010491441192711209,0.01007423117709438,1
广汽集团_2,0.4852941176470588,0.04411764705882353,0.0,0.11764705882352941,0,2,1.0,1.0,1.0,1.0,0.10851808634772463,0.010491441192711209,0.01007423117709438,0.01007423117709438,1
广汽集团_2,0.6666666666666666,0.08333333333333333,0.0,0.16666666666666666,0,1,1.0,1.0,1.0,1.0,0.010491441192711209,0.01007423117709438,0.01007423117709438,0.0,1
广汽集团_3,0.421875,0.0625,0.015625,0.171875,0,2,1.0,1.0,1.0,1.0,0.10851808634772463,0.011811023622047244,0.010491441192711209,0.01007423117709438,1
广汽集团_3,0.7142857142857143,0.14285714285714285,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0626865671641791,0.010491441192711209,0.01007423117709438,0.0,1
广汽集团_4,0.5373134328358209,0.1044776119402985,0.0,0.1044776119402985,0,1,1.0,1.0,1.0,1.0,0.10851808634772463,0.010491441192711209,0.010491441192711209,0.01007423117709438,1
广汽集团_4,0.42857142857142855,0.35714285714285715,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.010491441192711209,0.01007423117709438,0.0,0.0,1
广汽集团_5,0.3333333333333333,0.1,0.0,0.3333333333333333,0,0,1.0,1.0,1.0,1.0,0.1875,0.010491441192711209,0.01007423117709438,0.0,1
广汽集团_5,0.46153846153846156,0.15384615384615385,0.0,0.15384615384615385,0,1,1.0,1.0,1.0,1.0,0.10851808634772463,0.0626865671641791,0.010491441192711209,0.01007423117709438,1
广汽集团_6,0.13157894736842105,0.07894736842105263,0.0,0.5,0,1,1.0,1.0,1.0,1.0,0.011811023622047244,0.010491441192711209,0.01007423117709438,0.0,1
广汽集团_6,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0,1,1.0,1.0,1.0,1.0,0.010491441192711209,0.01007423117709438,0.0,0.0,1
广汽集团_7,0.29411764705882354,0.058823529411764705,0.0,0.3235294117647059,0,1,1.0,1.0,1.0,1.0,0.011811023622047244,0.010491441192711209,0.01007423117709438,0.0,1
广汽集团_7,0.25,0.08333333333333333,0.0,0.4166666666666667,0,0,1.0,1.0,1.0,1.0,0.010491441192711209,0.01007423117709438,0.0,0.0,1
广汽集团_8,0.75,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.010491441192711209,0.01007423117709438,0.0,0.0,1
广汽集团_8,0.75,0.25,0.0,0.0,0,0,1.0,1.0,0.9899257688229056,0.9895085588072888,0.010491441192711209,0.01007423117709438,0.0,0.0,1
广汽集团_9,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.0,0,0,1.0,1.0,1.0,1.0,0.010491441192711209,0.01007423117709438,0.0,0.0,1
广汽集团_9,0.5,0.25,0.0,0.0,0,0,1.0,1.0,0.9899257688229056,0.9895085588072888,0.010491441192711209,0.01007423117709438,0.0,0.0,1
广汽集团_11,0.22857142857142856,0.17142857142857143,0.02857142857142857,0.3142857142857143,0,1,1.0,1.0,1.0,1.0,0.011811023622047244,0.010491441192711209,0.01007423117709438,0.0,1
