att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
得利斯_0,0.2,0.34285714285714286,0.05714285714285714,0.14285714285714285,0,3,1.0,1.0,1.0,1.0,0.033783783783783786,0.030303030303030304,0.00819672131147541,0.00819672131147541,1
得利斯_0,0.25,0.5,0.0,0.08333333333333333,0,2,1.0,1.0,1.0,1.0,0.033783783783783786,0.00819672131147541,0.00819672131147541,0.006578947368421052,1
得利斯_1,0.31746031746031744,0.20634920634920634,0.015873015873015872,0.09523809523809523,0,2,1.0,1.0,1.0,1.0,0.14285714285714285,0.033783783783783786,0.033783783783783786,0.033783783783783786,1
得利斯_1,0.34210526315789475,0.3157894736842105,0.02631578947368421,0.07894736842105263,0,1,1.0,1.0,1.0,1.0,0.3076923076923077,0.033783783783783786,0.033783783783783786,0.033783783783783786,1
得利斯_1,0.20588235294117646,0.14705882352941177,0.0,0.2647058823529412,0,1,1.0,1.0,1.0,1.0,0.033783783783783786,0.033783783783783786,0.033783783783783786,0.033783783783783786,1
得利斯_1,0.3333333333333333,0.48148148148148145,0.0,0.037037037037037035,0,0,1.0,1.0,1.0,1.0,0.00819672131147541,0.006578947368421052,0.0,0.0,1
得利斯_1,0.45454545454545453,0.18181818181818182,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.033783783783783786,0.00819672131147541,0.006578947368421052,1
得利斯_1,0.30434782608695654,0.22826086956521738,0.010869565217391304,0.15217391304347827,0,2,1.0,1.0,1.0,1.0,0.3076923076923077,0.0625,0.033783783783783786,0.033783783783783786,1
得利斯_1,0.32,0.3,0.02,0.08,0,1,1.0,1.0,1.0,1.0,0.3076923076923077,0.033783783783783786,0.033783783783783786,0.033783783783783786,1
得利斯_1,0.2857142857142857,0.42857142857142855,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.006578947368421052,0.0,0.0,0.0,1
得利斯_2,0.4,0.06,0.0,0.2,0,1,1.0,1.0,1.0,1.0,0.25,0.033783783783783786,0.033783783783783786,0.00819672131147541,1
得利斯_2,0.29411764705882354,0.19117647058823528,0.058823529411764705,0.19117647058823528,0,5,1.0,1.0,1.0,1.0,0.35714285714285715,0.033783783783783786,0.00819672131147541,0.00819672131147541,1
得利斯_2,0.35294117647058826,0.17647058823529413,0.029411764705882353,0.17647058823529413,0,4,1.0,1.0,1.0,1.0,0.030303030303030304,0.00819672131147541,0.006578947368421052,0.0,1
得利斯_2,0.3125,0.3125,0.0,0.1875,0,2,1.0,1.0,1.0,1.0,0.00819672131147541,0.006578947368421052,0.0,0.0,1
得利斯_2,0.1794871794871795,0.1794871794871795,0.0,0.2564102564102564,0,1,1.0,1.0,1.0,1.0,0.006578947368421052,0.0,0.0,0.0,1
得利斯_2,0.2,0.2,0.0,0.35,0,0,1.0,1.0,1.0,1.0,0.00819672131147541,0.006578947368421052,0.0,0.0,1
得利斯_2,0.4,0.44,0.08,0.0,0,0,1.0,1.0,1.0,1.0,0.00819672131147541,0.006578947368421052,0.0,0.0,1
得利斯_2,0.18181818181818182,0.4090909090909091,0.045454545454545456,0.2727272727272727,0,1,1.0,1.0,1.0,1.0,0.00819672131147541,0.006578947368421052,0.0,0.0,1
得利斯_2,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0,1,1.0,1.0,1.0,1.0,0.006578947368421052,0.0,0.0,0.0,1
得利斯_2,0.3,0.4,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.00819672131147541,0.006578947368421052,0.0,0.0,1
得利斯_2,0.30303030303030304,0.3333333333333333,0.0,0.12121212121212122,0,0,1.0,1.0,1.0,1.0,0.25,0.00819672131147541,0.006578947368421052,0.006578947368421052,1
得利斯_2,0.4,0.3,0.0,0.1,0,1,1.0,1.0,1.0,1.0,0.033783783783783786,0.00819672131147541,0.006578947368421052,0.0,1
得利斯_3,0.3333333333333333,0.21212121212121213,0.0,0.21212121212121213,0,2,1.0,1.0,1.0,1.0,0.033783783783783786,0.00819672131147541,0.006578947368421052,0.0,1
得利斯_3,0.2857142857142857,0.38095238095238093,0.047619047619047616,0.19047619047619047,0,0,1.0,1.0,1.0,1.0,0.35714285714285715,0.006578947368421052,0.0,0.0,1
得利斯_3,0.4,0.2,0.1,0.1,0,0,1.0,1.0,1.0,1.0,0.35714285714285715,0.033783783783783786,0.00819672131147541,0.006578947368421052,1
得利斯_4,0.36363636363636365,0.18181818181818182,0.015151515151515152,0.12121212121212122,0,5,1.0,1.0,1.0,1.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.00819672131147541,1
得利斯_4,0.46153846153846156,0.3076923076923077,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.033783783783783786,0.00819672131147541,0.006578947368421052,0.0,1
