att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
新文化_4,0.4090909090909091,0.18181818181818182,0.045454545454545456,0.045454545454545456,0,0,0.9285714285714286,0.7222222222222222,0.7222222222222222,0.6666666666666666,1.0,1.0,1.0,1.0,0
新文化_0,0.27906976744186046,0.13953488372093023,0.046511627906976744,0.23255813953488372,0,2,1.0,1.0,1.0,1.0,0.4166666666666667,0.2777777777777778,0.2777777777777778,0.2222222222222222,1
新文化_1,0.2553191489361702,0.0851063829787234,0.02127659574468085,0.14893617021276595,0,1,1.0,1.0,1.0,1.0,0.4166666666666667,0.2777777777777778,0.2777777777777778,0.2222222222222222,1
新文化_2,0.3333333333333333,0.23333333333333334,0.0,0.13333333333333333,0,0,1.0,1.0,1.0,1.0,0.07142857142857142,0.0,0.0,0.0,1
新文化_2,0.4782608695652174,0.08695652173913043,0.043478260869565216,0.0,0,1,1.0,1.0,1.0,1.0,0.2777777777777778,0.2777777777777778,0.2222222222222222,0.2222222222222222,1
新文化_2,0.25925925925925924,0.1111111111111111,0.0,0.2222222222222222,0,4,1.0,1.0,1.0,1.0,0.4166666666666667,0.2777777777777778,0.2777777777777778,0.07142857142857142,1
新文化_2,0.4358974358974359,0.20512820512820512,0.05128205128205128,0.02564102564102564,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.07142857142857142,0.07142857142857142,1
新文化_2,0.3333333333333333,0.2727272727272727,0.06060606060606061,0.06060606060606061,0,0,1.0,1.0,1.0,1.0,0.07142857142857142,0.0,0.0,0.0,1
新文化_2,0.4,0.2,0.05,0.05,0,0,1.0,1.0,1.0,1.0,0.5,0.14285714285714285,0.07142857142857142,0.0,1
新文化_2,0.2857142857142857,0.14285714285714285,0.05714285714285714,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,0.0,0.0,1
新文化_2,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.07142857142857142,0.0,0.0,0.0,1
新文化_2,0.37037037037037035,0.25925925925925924,0.037037037037037035,0.14814814814814814,0,3,1.0,1.0,1.0,1.0,0.14285714285714285,0.07142857142857142,0.0,0.0,1
新文化_2,0.22448979591836735,0.14285714285714285,0.0,0.40816326530612246,0,2,1.0,1.0,1.0,1.0,0.2777777777777778,0.2777777777777778,0.07142857142857142,0.0,1
新文化_2,0.2631578947368421,0.15789473684210525,0.0,0.23684210526315788,0,1,1.0,1.0,1.0,1.0,0.07142857142857142,0.0,0.0,0.0,1
新文化_2,0.4186046511627907,0.2558139534883721,0.046511627906976744,0.06976744186046512,0,0,1.0,1.0,1.0,1.0,0.5,0.07142857142857142,0.0,0.0,1
新文化_2,0.3684210526315789,0.27631578947368424,0.02631578947368421,0.07894736842105263,0,0,1.0,1.0,1.0,1.0,0.5,0.4,0.3333333333333333,0.2222222222222222,1
新文化_2,0.4782608695652174,0.391304347826087,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.07142857142857142,0.0,0.0,0.0,1
新文化_2,0.3392857142857143,0.07142857142857142,0.0,0.08928571428571429,0,0,1.0,1.0,1.0,1.0,0.2222222222222222,0.2222222222222222,0.07142857142857142,0.0,1
新文化_2,0.3448275862068966,0.3103448275862069,0.034482758620689655,0.0,0,0,1.0,1.0,1.0,1.0,0.2222222222222222,0.07142857142857142,0.0,0.0,1
新文化_2,0.46875,0.28125,0.0,0.0625,0,0,1.0,1.0,1.0,1.0,0.25,0.07142857142857142,0.0,0.0,1
新文化_2,0.5555555555555556,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.25,0.07142857142857142,0.0,0.0,1
