att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
杭州高新_0,0.4444444444444444,0.16666666666666666,0.0,0.05555555555555555,0,1,1.0,1.0,1.0,1.0,0.08695652173913043,0.08695652173913043,0.03164556962025317,0.03164556962025317,1
杭州高新_0,0.30434782608695654,0.17391304347826086,0.0,0.34782608695652173,0,0,1.0,1.0,1.0,1.0,0.0392156862745098,0.03164556962025317,0.03164556962025317,0.03125,1
杭州高新_0,0.16666666666666666,0.21428571428571427,0.0,0.2857142857142857,0,0,1.0,1.0,1.0,1.0,0.09523809523809523,0.03164556962025317,0.03164556962025317,0.0,1
杭州高新_0,0.4827586206896552,0.13793103448275862,0.06896551724137931,0.034482758620689655,0,1,1.0,1.0,1.0,1.0,0.03164556962025317,0.03164556962025317,0.0,0.0,1
杭州高新_0,0.3103448275862069,0.13793103448275862,0.0,0.034482758620689655,0,2,1.0,1.0,1.0,1.0,0.5,0.08695652173913043,0.08695652173913043,0.03164556962025317,1
杭州高新_0,0.42857142857142855,0.32142857142857145,0.0,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,0.03164556962025317,0.03164556962025317,0.03125,0.0,1
杭州高新_0,0.35,0.1,0.05,0.2,0,0,1.0,1.0,1.0,1.0,0.03164556962025317,0.03164556962025317,0.0,0.0,1
杭州高新_0,0.16129032258064516,0.1935483870967742,0.03225806451612903,0.3870967741935484,0,0,1.0,1.0,1.0,1.0,0.03164556962025317,0.03164556962025317,0.0,0.0,1
杭州高新_0,0.47058823529411764,0.29411764705882354,0.058823529411764705,0.0,0,0,1.0,1.0,1.0,1.0,0.03164556962025317,0.03164556962025317,0.0,0.0,1
杭州高新_0,0.38461538461538464,0.23076923076923078,0.0,0.15384615384615385,0,0,1.0,1.0,1.0,1.0,0.28169014084507044,0.28169014084507044,0.03164556962025317,0.03164556962025317,1
杭州高新_1,0.1568627450980392,0.13725490196078433,0.058823529411764705,0.3333333333333333,0,4,1.0,1.0,1.0,1.0,0.28169014084507044,0.0392156862745098,0.03164556962025317,0.03164556962025317,1
杭州高新_1,0.390625,0.078125,0.03125,0.109375,0,4,1.0,1.0,1.0,1.0,0.03164556962025317,0.03164556962025317,0.03164556962025317,0.03164556962025317,1
杭州高新_1,0.1875,0.125,0.0625,0.3125,0,1,1.0,1.0,1.0,1.0,0.28169014084507044,0.03164556962025317,0.03164556962025317,0.03125,1
杭州高新_2,0.32608695652173914,0.1956521739130435,0.10869565217391304,0.021739130434782608,0,2,1.0,1.0,1.0,1.0,0.03164556962025317,0.03164556962025317,0.03164556962025317,0.03164556962025317,1
杭州高新_2,0.14285714285714285,0.17857142857142858,0.0,0.25,0,1,1.0,1.0,1.0,1.0,0.09523809523809523,0.0392156862745098,0.03164556962025317,0.03164556962025317,1
杭州高新_2,0.40384615384615385,0.17307692307692307,0.019230769230769232,0.1346153846153846,0,2,1.0,1.0,1.0,1.0,0.08695652173913043,0.08695652173913043,0.0392156862745098,0.03164556962025317,1
杭州高新_2,0.26153846153846155,0.15384615384615385,0.046153846153846156,0.23076923076923078,0,1,1.0,1.0,1.0,1.0,0.08695652173913043,0.08695652173913043,0.0392156862745098,0.0392156862745098,1
杭州高新_2,0.2765957446808511,0.1702127659574468,0.0,0.2127659574468085,0,1,1.0,1.0,1.0,1.0,0.28169014084507044,0.28169014084507044,0.08695652173913043,0.08695652173913043,1
