att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
格力电器_543,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0,0,0.9871794871794872,0.9622641509433962,0.7894736842105263,0.75,1.0,1.0,1.0,1.0,0
格力电器_544,0.3,0.15,0.15,0.05,0,1,0.9871794871794872,0.9302325581395349,0.9251668255481411,0.9251668255481411,1.0,1.0,1.0,1.0,0
格力电器_544,0.375,0.1875,0.1875,0.0625,0,1,0.9871794871794872,0.9302325581395349,0.9138187221396731,0.9,1.0,1.0,1.0,1.0,0
格力电器_545,0.3783783783783784,0.16216216216216217,0.08108108108108109,0.02702702702702703,0,2,0.9966996699669967,0.9871794871794872,0.9302325581395349,0.9251668255481411,1.0,1.0,1.0,1.0,0
格力电器_545,0.5,0.15,0.15,0.0,0,2,0.9871794871794872,0.9302325581395349,0.9138187221396731,0.8536585365853658,1.0,1.0,1.0,1.0,0
格力电器_546,0.10344827586206896,0.2413793103448276,0.034482758620689655,0.06896551724137931,0,2,0.988795518207283,0.9871794871794872,0.96875,0.9629629629629629,1.0,1.0,1.0,1.0,0
格力电器_546,0.17647058823529413,0.29411764705882354,0.0,0.11764705882352941,0,2,0.988795518207283,0.9871794871794872,0.96875,0.9629629629629629,1.0,1.0,1.0,0.6666666666666666,0
格力电器_547,0.47368421052631576,0.21052631578947367,0.05263157894736842,0.0,0,4,0.9871794871794872,0.9251668255481411,0.9251668255481411,0.9251668255481411,1.0,1.0,1.0,1.0,0
格力电器_547,0.625,0.1875,0.0625,0.0,0,4,0.9871794871794872,0.9138187221396731,0.9069767441860465,0.8571428571428571,1.0,1.0,1.0,1.0,0
格力电器_548,0.4,0.1,0.05,0.1,0,1,0.9954198473282443,0.9871794871794872,0.9714285714285714,0.9251668255481411,1.0,1.0,1.0,1.0,0
格力电器_548,0.47058823529411764,0.11764705882352941,0.058823529411764705,0.11764705882352941,0,1,0.9954198473282443,0.9871794871794872,0.9714285714285714,0.9138187221396731,1.0,1.0,1.0,1.0,0
格力电器_549,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.0,0,0,0.9871794871794872,0.9811320754716981,0.9251668255481411,0.9251668255481411,1.0,1.0,1.0,0.8,0
格力电器_549,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.0,0,0,0.9871794871794872,0.9811320754716981,0.92,0.9138187221396731,1.0,1.0,1.0,0.8,0
格力电器_550,0.30434782608695654,0.17391304347826086,0.08695652173913043,0.0,0,2,0.988795518207283,0.988795518207283,0.988795518207283,0.988795518207283,1.0,1.0,1.0,1.0,0
格力电器_550,0.30434782608695654,0.17391304347826086,0.08695652173913043,0.0,0,2,0.988795518207283,0.988795518207283,0.988795518207283,0.988795518207283,1.0,1.0,1.0,1.0,0
格力电器_551,0.36538461538461536,0.19230769230769232,0.07692307692307693,0.038461538461538464,0,2,0.9941176470588236,0.9876543209876543,0.9871794871794872,0.9789473684210527,1.0,1.0,1.0,1.0,0
格力电器_551,0.36363636363636365,0.09090909090909091,0.13636363636363635,0.045454545454545456,0,1,0.9871794871794872,0.9789473684210527,0.9782608695652174,0.9661016949152542,1.0,1.0,1.0,1.0,0
格力电器_553,0.2777777777777778,0.19444444444444445,0.027777777777777776,0.027777777777777776,0,1,0.9871794871794872,0.9454545454545454,0.9454545454545454,0.9454545454545454,1.0,1.0,1.0,1.0,0
格力电器_553,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,0.9871794871794872,0.9454545454545454,0.9454545454545454,0.9454545454545454,0.6666666666666666,0.6666666666666666,0.5,0.5,0
格力电器_0,0.40540540540540543,0.1891891891891892,0.05405405405405406,0.08108108108108109,0,1,1.0,1.0,1.0,1.0,0.2608695652173913,0.01282051282051282,0.004580152671755725,0.0,1
格力电器_0,0.358974358974359,0.15384615384615385,0.02564102564102564,0.1794871794871795,0,2,1.0,1.0,1.0,1.0,0.0861812778603269,0.0861812778603269,0.01282051282051282,0.0058823529411764705,1
格力电器_0,0.5416666666666666,0.041666666666666664,0.0,0.16666666666666666,0,2,1.0,1.0,1.0,1.0,0.01282051282051282,0.0,0.0,0.0,1
格力电器_0,0.3584905660377358,0.20754716981132076,0.0,0.018867924528301886,0,3,1.0,1.0,1.0,1.0,0.0861812778603269,0.058823529411764705,0.01282051282051282,0.01282051282051282,1
格力电器_1,0.68,0.12,0.0,0.04,0,2,1.0,1.0,1.0,1.0,0.018867924528301886,0.018867924528301886,0.01282051282051282,0.012048192771084338,1
格力电器_1,0.6363636363636364,0.18181818181818182,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.07483317445185891,0.01282051282051282,0.0,0.0,1
格力电器_3,0.42857142857142855,0.19047619047619047,0.047619047619047616,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,0.01282051282051282,0.011204481792717087,0.004580152671755725,0.0,1
格力电器_3,0.48484848484848486,0.18181818181818182,0.09090909090909091,0.06060606060606061,0,2,1.0,1.0,1.0,1.0,0.14634146341463414,0.06666666666666667,0.018867924528301886,0.01282051282051282,1
格力电器_3,0.4375,0.1875,0.0,0.15625,0,2,1.0,1.0,1.0,1.0,0.01282051282051282,0.01282051282051282,0.011204481792717087,0.011204481792717087,1
格力电器_7,0.4074074074074074,0.09259259259259259,0.0,0.2037037037037037,0,0,1.0,1.0,1.0,1.0,0.07483317445185891,0.07483317445185891,0.01282051282051282,0.004580152671755725,1
格力电器_7,0.46153846153846156,0.38461538461538464,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.01282051282051282,0.004580152671755725,0.0,0.0,1
格力电器_7,0.55,0.25,0.0,0.15,0,2,1.0,1.0,1.0,1.0,0.01282051282051282,0.0058823529411764705,0.0033003300330033004,0.0,1
格力电器_8,0.42857142857142855,0.19047619047619047,0.047619047619047616,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,0.01282051282051282,0.011204481792717087,0.004580152671755725,0.0,1
格力电器_8,0.48484848484848486,0.18181818181818182,0.09090909090909091,0.06060606060606061,0,2,1.0,1.0,1.0,1.0,0.14634146341463414,0.06666666666666667,0.018867924528301886,0.01282051282051282,1
格力电器_8,0.4375,0.1875,0.0,0.15625,0,2,1.0,1.0,1.0,1.0,0.01282051282051282,0.01282051282051282,0.011204481792717087,0.011204481792717087,1
格力电器_8,0.5,0.15384615384615385,0.0,0.19230769230769232,0,1,1.0,1.0,1.0,1.0,0.01282051282051282,0.011204481792717087,0.0,0.0,1
格力电器_9,0.3877551020408163,0.10204081632653061,0.0,0.1836734693877551,0,0,1.0,1.0,1.0,1.0,0.07483317445185891,0.07483317445185891,0.01282051282051282,0.004580152671755725,1
格力电器_9,0.46153846153846156,0.38461538461538464,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.01282051282051282,0.004580152671755725,0.0,0.0,1
格力电器_9,0.24489795918367346,0.08163265306122448,0.0,0.22448979591836735,0,3,1.0,1.0,1.0,1.0,0.1,0.07483317445185891,0.07483317445185891,0.01282051282051282,1
格力电器_9,0.23076923076923078,0.1346153846153846,0.0,0.23076923076923078,0,2,1.0,1.0,1.0,1.0,0.07483317445185891,0.07483317445185891,0.01282051282051282,0.01282051282051282,1
格力电器_9,0.22727272727272727,0.18181818181818182,0.045454545454545456,0.2727272727272727,0,1,1.0,1.0,1.0,1.0,0.01282051282051282,0.0,0.0,0.0,1
格力电器_9,0.4,0.0,0.0,0.3,0,0,1.0,1.0,1.0,1.0,0.01282051282051282,0.0,0.0,0.0,1
格力电器_9,0.4166666666666667,0.16666666666666666,0.0,0.16666666666666666,0,0,1.0,1.0,1.0,1.0,0.01282051282051282,0.0,0.0,0.0,1
格力电器_9,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.17647058823529413,0,0,1.0,1.0,1.0,1.0,0.01282051282051282,0.01282051282051282,0.004580152671755725,0.0,1
格力电器_11,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.3076923076923077,0,2,1.0,1.0,1.0,1.0,0.0861812778603269,0.01282051282051282,0.011204481792717087,0.011204481792717087,1
格力电器_12,0.45454545454545453,0.18181818181818182,0.0,0.12121212121212122,0,2,1.0,1.0,1.0,1.0,0.01282051282051282,0.01282051282051282,0.011204481792717087,0.0033003300330033004,1
格力电器_12,0.5263157894736842,0.3684210526315789,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.01282051282051282,0.011204481792717087,0.0,0.0,1
格力电器_12,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.2,0,1,1.0,1.0,1.0,1.0,0.03389830508474576,0.01282051282051282,0.0,0.0,1
格力电器_12,0.23076923076923078,0.15384615384615385,0.0,0.46153846153846156,0,2,1.0,1.0,1.0,1.0,0.01282051282051282,0.0,0.0,0.0,1
格力电器_12,0.42857142857142855,0.21428571428571427,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.06976744186046512,0.01282051282051282,0.0,0.0,1
