att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
海量数据_1,0.45323741007194246,0.14388489208633093,0.007194244604316547,0.1510791366906475,0,0,0.875,0.8333333333333334,0.8,0.75,1.0,1.0,1.0,1.0,0
海量数据_1,0.5925925925925926,0.18518518518518517,0.0,0.037037037037037035,0,1,0.7611940298507462,0.4782608695652174,0.41825095057034223,0.41825095057034223,0.90625,0.8888888888888888,0.8,0.8,0
海量数据_1,0.5384615384615384,0.3076923076923077,0.0,0.0,0,0,0.5680473372781065,0.5680473372781065,0.41825095057034223,0.3605769230769231,1.0,1.0,1.0,1.0,0
海量数据_2,0.5925925925925926,0.18518518518518517,0.0,0.037037037037037035,0,1,0.7611940298507462,0.4782608695652174,0.41825095057034223,0.41825095057034223,0.90625,0.8888888888888888,0.8,0.8,0
海量数据_2,0.5833333333333334,0.3333333333333333,0.0,0.0,0,0,0.5680473372781065,0.41825095057034223,0.3605769230769231,0.09375,1.0,1.0,1.0,1.0,0
海量数据_3,0.5217391304347826,0.30434782608695654,0.08695652173913043,0.0,0,0,0.6666666666666666,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0
海量数据_4,0.375,0.375,0.0,0.125,0,0,0.41825095057034223,0.3605769230769231,0.2558139534883721,0.22580645161290322,1.0,1.0,1.0,1.0,0
海量数据_5,0.375,0.375,0.0,0.125,0,0,0.41825095057034223,0.3605769230769231,0.2558139534883721,0.22580645161290322,1.0,1.0,1.0,1.0,0
海量数据_6,0.375,0.375,0.0,0.125,0,0,0.41825095057034223,0.3605769230769231,0.2558139534883721,0.22580645161290322,1.0,1.0,1.0,1.0,0
海量数据_7,0.375,0.375,0.0,0.125,0,0,0.41825095057034223,0.3605769230769231,0.2558139534883721,0.22580645161290322,1.0,1.0,1.0,1.0,0
海量数据_8,0.5,0.16666666666666666,0.0,0.16666666666666666,0,0,0.6666666666666666,0.5680473372781065,0.5,0.5,1.0,1.0,1.0,1.0,0
海量数据_9,0.5714285714285714,0.047619047619047616,0.0,0.0,0,0,0.41825095057034223,0.41825095057034223,0.41825095057034223,0.41825095057034223,1.0,1.0,1.0,1.0,0
海量数据_9,0.5714285714285714,0.047619047619047616,0.0,0.0,0,0,0.41825095057034223,0.41825095057034223,0.3605769230769231,0.3076923076923077,1.0,1.0,1.0,1.0,0
海量数据_10,0.5,0.5,0.0,0.0,0,0,0.5,0.5,0.41825095057034223,0.41825095057034223,1.0,1.0,0.6394230769230769,0.6394230769230769,0
