att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
漫步者_1,0.5454545454545454,0.36363636363636365,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.5,0.21739130434782608,0.0,0.0,1
漫步者_1,0.3076923076923077,0.19230769230769232,0.038461538461538464,0.11538461538461539,0,1,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.21739130434782608,0.2,1
漫步者_1,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.0,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.09375,0.0,0.0,1
漫步者_1,0.5,0.25,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.09375,0.0,0.0,1
漫步者_1,0.39215686274509803,0.0392156862745098,0.0196078431372549,0.1568627450980392,0,0,1.0,1.0,1.0,1.0,0.8536585365853658,0.8536585365853658,0.5,0.5,1
漫步者_1,0.35,0.3,0.0,0.05,0,0,1.0,1.0,1.0,1.0,0.4,0.21739130434782608,0.09375,0.0,1
漫步者_1,0.5,0.11538461538461539,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.21739130434782608,0.2,1
漫步者_1,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.21739130434782608,0.0,0.0,1
漫步者_1,0.21739130434782608,0.2608695652173913,0.0,0.2608695652173913,0,1,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.21739130434782608,1
漫步者_1,0.2,0.4,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.0,0.0,0.0,1
漫步者_1,0.3548387096774194,0.25806451612903225,0.03225806451612903,0.0,0,1,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.23076923076923078,1
漫步者_1,0.41935483870967744,0.25806451612903225,0.03225806451612903,0.0,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.21739130434782608,0.09375,0.09375,1
漫步者_1,0.3125,0.3125,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.16666666666666666,0.09375,0.09375,1
漫步者_1,0.2222222222222222,0.2777777777777778,0.05555555555555555,0.1111111111111111,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.2,0.0,0.0,1
漫步者_1,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.0,0,2,1.0,1.0,1.0,1.0,0.3333333333333333,0.21739130434782608,0.09375,0.09375,1
漫步者_1,0.5517241379310345,0.27586206896551724,0.0,0.06896551724137931,0,2,1.0,1.0,1.0,1.0,0.75,0.5,0.23076923076923078,0.21739130434782608,1
漫步者_1,0.10526315789473684,0.3157894736842105,0.05263157894736842,0.10526315789473684,0,1,1.0,1.0,1.0,1.0,0.8536585365853658,0.21739130434782608,0.09375,0.0,1
漫步者_1,0.21739130434782608,0.5652173913043478,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.8536585365853658,0.21739130434782608,0.0,0.0,1
漫步者_1,0.5454545454545454,0.12121212121212122,0.030303030303030304,0.06060606060606061,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.21739130434782608,1
漫步者_1,0.391304347826087,0.043478260869565216,0.08695652173913043,0.043478260869565216,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.2,0.125,0.09375,1
漫步者_1,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.0,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.0,0.0,0.0,1
漫步者_1,0.45454545454545453,0.045454545454545456,0.045454545454545456,0.18181818181818182,0,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.21739130434782608,0.09375,1
漫步者_1,0.42857142857142855,0.2857142857142857,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.09375,0.0,0.0,1
漫步者_1,0.4666666666666667,0.13333333333333333,0.0,0.3333333333333333,0,2,1.0,1.0,1.0,1.0,0.5,0.21739130434782608,0.16666666666666666,0.0,1
漫步者_1,0.6,0.3,0.1,0.0,0,1,1.0,1.0,1.0,1.0,0.21739130434782608,0.14285714285714285,0.0,0.0,1
漫步者_1,0.6363636363636364,0.09090909090909091,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.09375,0.0,0.0,1
漫步者_1,0.2857142857142857,0.35714285714285715,0.03571428571428571,0.0,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.21739130434782608,0.125,0.09375,1
漫步者_1,0.3333333333333333,0.14285714285714285,0.0,0.047619047619047616,0,1,1.0,1.0,1.0,1.0,0.21739130434782608,0.09375,0.0,0.0,1
漫步者_1,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0,0,1.0,1.0,1.0,1.0,0.21739130434782608,0.0,0.0,0.0,1
漫步者_1,0.5,0.3,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.8536585365853658,0.5,0.21739130434782608,0.0,1
漫步者_2,0.38235294117647056,0.17647058823529413,0.029411764705882353,0.20588235294117646,0,2,1.0,1.0,1.0,1.0,0.8536585365853658,0.5,0.375,0.25,1
漫步者_2,0.4,0.3,0.0,0.1,0,1,1.0,1.0,1.0,1.0,0.8536585365853658,0.25,0.21739130434782608,0.0,1
漫步者_3,0.3114754098360656,0.09836065573770492,0.0,0.13114754098360656,0,2,1.0,1.0,1.0,1.0,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,1
漫步者_3,0.75,0.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.21739130434782608,0.0,0.0,1
漫步者_3,0.4166666666666667,0.16666666666666666,0.0,0.3333333333333333,0,1,1.0,1.0,1.0,1.0,0.8536585365853658,0.375,0.3333333333333333,0.25,1
漫步者_5,0.47619047619047616,0.14285714285714285,0.0,0.19047619047619047,0,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1
漫步者_5,0.358974358974359,0.20512820512820512,0.02564102564102564,0.05128205128205128,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.25,1
漫步者_5,0.45,0.05,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.8536585365853658,0.8536585365853658,0.5,0.23076923076923078,1
漫步者_5,0.6875,0.125,0.0625,0.0,0,0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.23076923076923078,0.21739130434782608,1
漫步者_5,0.3684210526315789,0.15789473684210525,0.017543859649122806,0.10526315789473684,0,0,1.0,1.0,1.0,1.0,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.5,1
漫步者_5,0.4225352112676056,0.11267605633802817,0.0,0.07042253521126761,0,0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8536585365853658,0.8536585365853658,0.5,1
漫步者_5,0.46153846153846156,0.2692307692307692,0.0,0.038461538461538464,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.4,1
漫步者_5,0.7142857142857143,0.0,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.8536585365853658,0.21739130434782608,0.0,0.0,1
漫步者_6,0.3220338983050847,0.0847457627118644,0.0,0.1864406779661017,0,1,1.0,1.0,1.0,1.0,0.8536585365853658,0.8536585365853658,0.375,0.21739130434782608,1
漫步者_7,0.35185185185185186,0.07407407407407407,0.0,0.12962962962962962,0,1,1.0,1.0,1.0,1.0,0.21739130434782608,0.16666666666666666,0.14285714285714285,0.09090909090909091,1
漫步者_8,0.3023255813953488,0.11627906976744186,0.09302325581395349,0.09302325581395349,0,3,1.0,1.0,1.0,1.0,0.5,0.21739130434782608,0.2,0.14285714285714285,1
漫步者_8,0.35714285714285715,0.10714285714285714,0.03571428571428571,0.17857142857142858,0,2,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.25,0.21739130434782608,1
漫步者_8,0.16666666666666666,0.23333333333333334,0.03333333333333333,0.26666666666666666,0,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.21739130434782608,1
漫步者_8,0.5925925925925926,0.1111111111111111,0.0,0.037037037037037035,0,3,1.0,1.0,1.0,1.0,0.21739130434782608,0.041666666666666664,0.0,0.0,1
