att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
现代投资_0,0.42857142857142855,0.16666666666666666,0.0,0.11904761904761904,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.12048192771084337,0.10344827586206896,0.06666666666666667,1
现代投资_0,0.25,0.1875,0.0625,0.25,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.04794520547945205,0.0,0.0,1
现代投资_0,0.5625,0.3125,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.18181818181818182,0.12048192771084337,0.04794520547945205,0.0,1
现代投资_0,0.40540540540540543,0.1891891891891892,0.02702702702702703,0.10810810810810811,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.12048192771084337,0.12048192771084337,0.04794520547945205,1
现代投资_0,0.41025641025641024,0.15384615384615385,0.0,0.2564102564102564,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.06666666666666667,0.04794520547945205,0.04054054054054054,1
现代投资_0,0.5454545454545454,0.2727272727272727,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.12048192771084337,0.04794520547945205,0.0,1
现代投资_0,0.3333333333333333,0.4,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.06666666666666667,0.04794520547945205,0.0,1
现代投资_0,0.5625,0.25,0.0,0.0625,0,2,1.0,1.0,1.0,1.0,0.25,0.12048192771084337,0.12048192771084337,0.1,1
现代投资_0,0.4,0.26666666666666666,0.022222222222222223,0.06666666666666667,0,1,1.0,1.0,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,0.1891891891891892,1
现代投资_0,0.42857142857142855,0.42857142857142855,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.5,0.12048192771084337,0.04794520547945205,0.0,1
现代投资_0,0.4,0.23333333333333334,0.03333333333333333,0.13333333333333333,0,1,1.0,1.0,1.0,1.0,0.25,0.12048192771084337,0.04794520547945205,0.0,1
现代投资_0,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.07692307692307693,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.1,0.06666666666666667,0.04794520547945205,1
现代投资_1,0.4444444444444444,0.4444444444444444,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.04794520547945205,0.045454545454545456,0.0,1
现代投资_2,0.4,0.25,0.0,0.05,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.12048192771084337,0.10344827586206896,0.06666666666666667,1
现代投资_2,0.5,0.4,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.04794520547945205,0.045454545454545456,0.0,1
现代投资_3,0.42592592592592593,0.12962962962962962,0.018518518518518517,0.07407407407407407,0,2,1.0,1.0,1.0,1.0,0.12048192771084337,0.12048192771084337,0.10344827586206896,0.04794520547945205,1
现代投资_3,0.42857142857142855,0.11904761904761904,0.0,0.2857142857142857,0,2,1.0,1.0,1.0,1.0,0.12048192771084337,0.12048192771084337,0.04794520547945205,0.04054054054054054,1
现代投资_3,0.625,0.5,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.04794520547945205,0.045454545454545456,0.0,1
现代投资_4,0.5,0.06756756756756757,0.04054054054054054,0.06756756756756757,0,1,1.0,1.0,1.0,1.0,0.5,0.5,0.1891891891891892,0.1891891891891892,1
现代投资_5,0.3118279569892473,0.043010752688172046,0.010752688172043012,0.16129032258064516,0,1,1.0,1.0,1.0,1.0,0.1891891891891892,0.12048192771084337,0.10344827586206896,0.04794520547945205,1
现代投资_6,0.609375,0.390625,0.0,0.015625,0,1,1.0,1.0,1.0,1.0,0.5,0.5,0.25,0.12048192771084337,1
现代投资_7,0.19,0.13,0.0,0.24,0,5,1.0,1.0,1.0,1.0,0.12048192771084337,0.04794520547945205,0.043478260869565216,0.043478260869565216,1
现代投资_8,0.4,0.16363636363636364,0.0,0.21818181818181817,0,4,1.0,1.0,1.0,1.0,0.1891891891891892,0.12048192771084337,0.04794520547945205,0.04054054054054054,1
现代投资_9,0.42105263157894735,0.15789473684210525,0.0,0.21052631578947367,0,4,1.0,1.0,1.0,1.0,0.1891891891891892,0.12048192771084337,0.04794520547945205,0.04054054054054054,1
现代投资_10,0.2823529411764706,0.10588235294117647,0.0,0.11764705882352941,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.1891891891891892,0.12048192771084337,0.10344827586206896,1
现代投资_11,0.35185185185185186,0.18518518518518517,0.0,0.09259259259259259,0,4,1.0,1.0,1.0,1.0,0.1891891891891892,0.12048192771084337,0.10344827586206896,0.04794520547945205,1
现代投资_12,0.4,0.1076923076923077,0.0,0.09230769230769231,0,3,1.0,1.0,1.0,1.0,0.1891891891891892,0.12048192771084337,0.04794520547945205,0.043478260869565216,1
现代投资_18,0.46153846153846156,0.1346153846153846,0.019230769230769232,0.07692307692307693,0,4,1.0,1.0,1.0,1.0,0.16666666666666666,0.12048192771084337,0.12048192771084337,0.1,1
现代投资_18,0.4186046511627907,0.16279069767441862,0.0,0.11627906976744186,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.12048192771084337,0.10344827586206896,0.06666666666666667,1
现代投资_18,0.25,0.1875,0.0625,0.25,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.04794520547945205,0.0,0.0,1
现代投资_18,0.5625,0.3125,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.18181818181818182,0.12048192771084337,0.04794520547945205,0.0,1
现代投资_18,0.40540540540540543,0.1891891891891892,0.02702702702702703,0.10810810810810811,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.12048192771084337,0.12048192771084337,0.04794520547945205,1
现代投资_18,0.41025641025641024,0.15384615384615385,0.0,0.2564102564102564,0,1,1.0,1.0,1.0,1.0,0.12048192771084337,0.06666666666666667,0.04794520547945205,0.04054054054054054,1
