att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
珠海港_0,0.21428571428571427,0.21428571428571427,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_0,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.2777777777777778,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_1,0.2727272727272727,0.15151515151515152,0.030303030303030304,0.12121212121212122,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_1,0.42857142857142855,0.21428571428571427,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_2,0.3170731707317073,0.17073170731707318,0.024390243902439025,0.17073170731707318,0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_2,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.0,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_3,0.24561403508771928,0.22807017543859648,0.0,0.15789473684210525,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_4,0.44155844155844154,0.05194805194805195,0.012987012987012988,0.14285714285714285,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_4,0.37662337662337664,0.03896103896103896,0.0,0.38961038961038963,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_4,0.6363636363636364,0.09090909090909091,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_5,0.3013698630136986,0.2054794520547945,0.0547945205479452,0.0821917808219178,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_5,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_6,0.5087719298245614,0.12280701754385964,0.03508771929824561,0.12280701754385964,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_7,0.1917808219178082,0.1643835616438356,0.0410958904109589,0.136986301369863,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_7,0.25,0.25,0.025,0.1,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_7,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_8,0.5,0.19642857142857142,0.07142857142857142,0.07142857142857142,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_8,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_9,0.5111111111111111,0.17777777777777778,0.06666666666666667,0.08888888888888889,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_9,0.5625,0.3125,0.0,0.0625,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_10,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_10,0.41935483870967744,0.1774193548387097,0.016129032258064516,0.11290322580645161,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
珠海港_10,0.7,0.2,0.0,0.1,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
