att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
电科院_2,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0,0,1.0,1.0,1.0,1.0,0.31496062992125984,0.0,0.0,0.0,1
电科院_3,0.35,0.15,0.0,0.2,0,0,1.0,1.0,1.0,1.0,0.7311320754716981,0.3181818181818182,0.31496062992125984,0.25,1
电科院_3,0.4666666666666667,0.23333333333333334,0.03333333333333333,0.06666666666666667,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.31496062992125984,0.2727272727272727,1
电科院_3,0.30434782608695654,0.17391304347826086,0.0,0.13043478260869565,0,0,1.0,1.0,1.0,1.0,0.5714285714285714,0.42857142857142855,0.4,0.35294117647058826,1
电科院_3,0.2,0.1,0.0,0.2,0,0,1.0,1.0,1.0,1.0,0.5,0.31496062992125984,0.3,0.0,1
电科院_4,0.14705882352941177,0.08823529411764706,0.0,0.3382352941176471,0,4,1.0,1.0,1.0,1.0,0.8571428571428571,0.7311320754716981,0.7311320754716981,0.7311320754716981,1
电科院_4,0.18181818181818182,0.09090909090909091,0.0,0.36363636363636365,0,0,1.0,1.0,1.0,1.0,0.31496062992125984,0.25,0.18181818181818182,0.0,1
电科院_5,0.2647058823529412,0.058823529411764705,0.0,0.20588235294117646,0,0,1.0,1.0,1.0,1.0,0.7311320754716981,0.7311320754716981,0.3181818181818182,0.31496062992125984,1
电科院_5,0.4666666666666667,0.23333333333333334,0.03333333333333333,0.06666666666666667,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.31496062992125984,0.2727272727272727,1
电科院_5,0.30434782608695654,0.17391304347826086,0.0,0.13043478260869565,0,0,1.0,1.0,1.0,1.0,0.5714285714285714,0.42857142857142855,0.4,0.35294117647058826,1
电科院_5,0.2,0.1,0.0,0.2,0,0,1.0,1.0,1.0,1.0,0.5,0.31496062992125984,0.3,0.0,1
电科院_6,0.6091954022988506,0.13793103448275862,0.011494252873563218,0.06896551724137931,0,0,1.0,1.0,1.0,1.0,0.8823529411764706,0.7959183673469388,0.7959183673469388,0.6,1
电科院_6,0.6792452830188679,0.2641509433962264,0.0,0.07547169811320754,0,1,1.0,1.0,1.0,1.0,0.7959183673469388,0.7959183673469388,0.6923076923076923,0.5,1
电科院_6,0.6,0.08571428571428572,0.0,0.02857142857142857,0,1,1.0,1.0,1.0,1.0,0.8823529411764706,0.7959183673469388,0.7311320754716981,0.7311320754716981,1
电科院_6,0.43137254901960786,0.1568627450980392,0.0,0.0392156862745098,0,0,1.0,1.0,1.0,1.0,0.8,0.75,0.7311320754716981,0.7311320754716981,1
电科院_6,0.4888888888888889,0.3111111111111111,0.022222222222222223,0.022222222222222223,0,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.625,0.5454545454545454,0.5,1
电科院_6,0.5555555555555556,0.1388888888888889,0.027777777777777776,0.027777777777777776,0,0,1.0,1.0,1.0,1.0,0.8,0.75,0.6666666666666666,0.6363636363636364,1
