att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
百合花_14,0.3157894736842105,0.05263157894736842,0.02631578947368421,0.18421052631578946,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.003015075376884422,0.0012004801920768306,1
百合花_15,0.0625,0.125,0.0,0.25,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0015113350125944584,0.0015113350125944584,0.0015113350125944584,1
百合花_16,0.0625,0.125,0.0,0.25,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0015113350125944584,0.0015113350125944584,0.0015113350125944584,1
百合花_17,0.5416666666666666,0.041666666666666664,0.08333333333333333,0.3333333333333333,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.003134796238244514,0.0008843687817820031,0.0008843687817820031,1
百合花_18,0.38235294117647056,0.0,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.002280501710376283,0.0011402508551881414,1
百合花_19,0.38235294117647056,0.0,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.002280501710376283,0.0011402508551881414,1
百合花_20,0.38235294117647056,0.029411764705882353,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,0.0011402508551881414,1
百合花_21,0.38235294117647056,0.029411764705882353,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,0.0011402508551881414,1
百合花_22,0.38235294117647056,0.029411764705882353,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,0.0011402508551881414,1
百合花_23,0.43478260869565216,0.021739130434782608,0.021739130434782608,0.2826086956521739,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_24,0.43478260869565216,0.021739130434782608,0.021739130434782608,0.2826086956521739,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_25,0.43478260869565216,0.021739130434782608,0.021739130434782608,0.2826086956521739,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_26,0.43478260869565216,0.021739130434782608,0.021739130434782608,0.2826086956521739,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_27,0.43478260869565216,0.021739130434782608,0.021739130434782608,0.2826086956521739,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_28,0.3684210526315789,0.02631578947368421,0.0,0.3684210526315789,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.002280501710376283,0.0011402508551881414,1
百合花_29,0.3684210526315789,0.02631578947368421,0.0,0.3684210526315789,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.002280501710376283,0.0011402508551881414,1
百合花_30,0.46153846153846156,0.05128205128205128,0.0,0.358974358974359,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_31,0.46153846153846156,0.05128205128205128,0.0,0.358974358974359,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_32,0.4117647058823529,0.0,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0037174721189591076,0.0033444816053511705,0.0011402508551881414,1
百合花_33,0.4117647058823529,0.0,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0037174721189591076,0.0033444816053511705,0.0011402508551881414,1
百合花_34,0.4117647058823529,0.0,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0037174721189591076,0.0033444816053511705,0.0011402508551881414,1
百合花_35,0.36585365853658536,0.0975609756097561,0.0,0.34146341463414637,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_36,0.36585365853658536,0.0975609756097561,0.0,0.34146341463414637,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_37,0.36585365853658536,0.0975609756097561,0.0,0.34146341463414637,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.0033444816053511705,0.0011402508551881414,1
百合花_38,0.38235294117647056,0.0,0.0,0.4411764705882353,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0033444816053511705,0.002280501710376283,0.0011402508551881414,1
百合花_39,0.1728395061728395,0.012345679012345678,0.0,0.2345679012345679,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.004545454545454545,0.0037174721189591076,0.0024410089503661514,1
百合花_40,0.1232876712328767,0.0,0.0,0.3287671232876712,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.004545454545454545,0.0037174721189591076,0.0033444816053511705,1
百合花_41,0.125,0.0,0.0,0.3611111111111111,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.004545454545454545,0.0037174721189591076,0.0033444816053511705,1
百合花_42,0.28378378378378377,0.08108108108108109,0.0,0.21621621621621623,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0014705882352941176,0.0014705882352941176,0.0012004801920768306,1
百合花_43,0.8,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.005650224215246637,0.0,0.0,0.0,1
百合花_44,0.3870967741935484,0.0,0.0,0.3548387096774194,0,0,1.0,1.0,1.0,1.0,0.02127659574468085,0.005650224215246637,0.001563721657544957,0.0015113350125944584,1
百合花_45,0.5384615384615384,0.11538461538461539,0.0,0.038461538461538464,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.018518518518518517,1
百合花_46,0.45454545454545453,0.15151515151515152,0.030303030303030304,0.15151515151515152,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.01910828025477707,0.010380622837370242,0.008450704225352112,1
百合花_46,0.3157894736842105,0.05263157894736842,0.02631578947368421,0.18421052631578946,0,0,1.0,1.0,1.0,1.0,0.01937802781684638,0.005650224215246637,0.003015075376884422,0.0012004801920768306,1
百合花_47,0.0784313725490196,0.13725490196078433,0.0,0.13725490196078433,0,0,1.0,1.0,1.0,1.0,0.04,0.021875,0.021875,0.01937802781684638,1
百合花_47,0.18,0.16,0.02,0.04,0,0,1.0,1.0,1.0,1.0,0.07692307692307693,0.023809523809523808,0.021875,0.01937802781684638,1
