att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
祁连山_0,0.2916666666666667,0.25,0.0,0.2916666666666667,0,1,1.0,1.0,1.0,1.0,0.9375,0.9187396351575456,0.9136690647482014,0.9,1
祁连山_0,0.1724137931034483,0.20689655172413793,0.0,0.3793103448275862,0,0,1.0,1.0,1.0,1.0,0.92,0.9187396351575456,0.9136690647482014,0.9136690647482014,1
祁连山_0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.9187396351575456,0.8846153846153846,0.8,0.7420814479638009,1
祁连山_1,0.4,0.24444444444444444,0.0,0.1111111111111111,0,3,1.0,1.0,1.0,1.0,0.9187396351575456,0.9,0.84375,0.8181818181818182,1
祁连山_1,0.26262626262626265,0.35353535353535354,0.050505050505050504,0.020202020202020204,0,8,1.0,1.0,1.0,1.0,0.9411764705882353,0.9310344827586207,0.92,0.9187396351575456,1
祁连山_1,0.25,0.25,0.0,0.0,0,0,1.0,1.0,0.08450704225352113,0.0812603648424544,0.9187396351575456,0.9154929577464789,0.0,0.0,1
祁连山_2,0.32098765432098764,0.16049382716049382,0.0,0.2716049382716049,0,2,1.0,1.0,1.0,1.0,0.9333333333333333,0.9187396351575456,0.9187396351575456,0.9187396351575456,1
祁连山_3,0.19047619047619047,0.23809523809523808,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.9187396351575456,0.8235294117647058,0.8021978021978022,0.7692307692307693,1
祁连山_3,0.1891891891891892,0.1891891891891892,0.0,0.32432432432432434,0,1,1.0,1.0,1.0,1.0,0.92,0.9187396351575456,0.8571428571428571,0.825,1
祁连山_3,0.36,0.28,0.04,0.08,0,2,1.0,1.0,1.0,1.0,0.9310344827586207,0.92,0.9187396351575456,0.8021978021978022,1
祁连山_3,0.358974358974359,0.1282051282051282,0.0,0.2564102564102564,0,2,1.0,1.0,1.0,1.0,0.9230769230769231,0.9187396351575456,0.9187396351575456,0.875,1
祁连山_3,0.4166666666666667,0.25,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9187396351575456,0.9136690647482014,0.8333333333333334,1
祁连山_3,0.4166666666666667,0.2777777777777778,0.0,0.05555555555555555,0,2,1.0,1.0,1.0,1.0,0.9187396351575456,0.9136690647482014,0.8333333333333334,0.8235294117647058,1
祁连山_3,0.32608695652173914,0.08695652173913043,0.021739130434782608,0.17391304347826086,0,4,1.0,1.0,1.0,1.0,0.9787234042553191,0.9627329192546584,0.9333333333333333,0.9187396351575456,1
祁连山_3,0.3225806451612903,0.25806451612903225,0.03225806451612903,0.0,0,2,1.0,1.0,1.0,1.0,0.9187396351575456,0.9090909090909091,0.9,0.9,1
祁连山_3,0.5625,0.375,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.9878048780487805,0.9411764705882353,0.9187396351575456,0.9,1
祁连山_3,0.16666666666666666,0.25,0.0,0.5,0,0,1.0,1.0,1.0,1.0,0.9187396351575456,0.825,0.7532467532467533,0.42857142857142855,1
祁连山_3,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.0,0,1,1.0,1.0,1.0,1.0,0.9187396351575456,0.9,0.8333333333333334,0.7692307692307693,1
祁连山_4,0.36585365853658536,0.1951219512195122,0.0,0.21951219512195122,0,4,1.0,1.0,1.0,1.0,0.9187396351575456,0.9187396351575456,0.8372093023255814,0.825,1
祁连山_4,0.36363636363636365,0.2727272727272727,0.0,0.18181818181818182,0,1,1.0,1.0,1.0,1.0,0.9187396351575456,0.9187396351575456,0.8235294117647058,0.7420814479638009,1
祁连山_5,0.2711864406779661,0.22033898305084745,0.01694915254237288,0.13559322033898305,0,5,1.0,1.0,1.0,1.0,0.9473684210526315,0.92,0.9187396351575456,0.9166666666666666,1
祁连山_5,0.3333333333333333,0.3333333333333333,0.0,0.0,0,2,1.0,1.0,1.0,0.8,0.9187396351575456,0.7420814479638009,0.2,0.0,1
祁连山_6,0.3548387096774194,0.1935483870967742,0.0,0.3225806451612903,0,3,1.0,1.0,1.0,1.0,0.9187396351575456,0.8372093023255814,0.825,0.7692307692307693,1
祁连山_6,0.4,0.2,0.0,0.2,0,0,1.0,1.0,1.0,0.08450704225352113,0.9187396351575456,0.9154929577464789,0.0,0.0,1
祁连山_7,0.35714285714285715,0.16666666666666666,0.0,0.3333333333333333,0,3,1.0,1.0,1.0,1.0,0.9807692307692307,0.9803921568627451,0.92,0.9187396351575456,1
祁连山_7,0.5238095238095238,0.16666666666666666,0.0,0.11904761904761904,0,0,1.0,1.0,1.0,1.0,0.9819819819819819,0.9187396351575456,0.9136690647482014,0.8888888888888888,1
祁连山_7,0.4444444444444444,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,0.9,0.9187396351575456,0.9154929577464789,0.7692307692307693,0.6363636363636364,1
祁连山_8,0.18269230769230768,0.1346153846153846,0.0,0.18269230769230768,0,2,1.0,1.0,1.0,1.0,0.9187396351575456,0.9171974522292994,0.9171974522292994,0.9171974522292994,1
祁连山_9,0.30985915492957744,0.14084507042253522,0.014084507042253521,0.19718309859154928,0,7,1.0,1.0,1.0,1.0,0.9473684210526315,0.9187396351575456,0.9166666666666666,0.8838095238095238,1
祁连山_10,0.46511627906976744,0.09302325581395349,0.011627906976744186,0.046511627906976744,0,2,1.0,1.0,1.0,1.0,0.9411764705882353,0.9187396351575456,0.9136690647482014,0.8838095238095238,1
祁连山_11,0.3670886075949367,0.189873417721519,0.02531645569620253,0.26582278481012656,0,2,1.0,1.0,1.0,1.0,0.9627329192546584,0.9627329192546584,0.9627329192546584,0.9444444444444444,1
祁连山_12,0.425531914893617,0.10638297872340426,0.031914893617021274,0.05319148936170213,0,4,1.0,1.0,1.0,1.0,0.9705882352941176,0.9230769230769231,0.9187396351575456,0.9154929577464789,1
祁连山_13,0.35526315789473684,0.25,0.02631578947368421,0.15789473684210525,0,3,1.0,1.0,1.0,1.0,0.9627329192546584,0.9627329192546584,0.96,0.9523809523809523,1
祁连山_14,0.15730337078651685,0.19101123595505617,0.0,0.3258426966292135,0,4,1.0,1.0,1.0,1.0,0.9187396351575456,0.9136690647482014,0.89,0.875,1
祁连山_14,0.16,0.16,0.013333333333333334,0.4266666666666667,0,3,1.0,1.0,1.0,1.0,0.9187396351575456,0.9136690647482014,0.9090909090909091,0.896551724137931,1
祁连山_15,0.43478260869565216,0.13043478260869565,0.0,0.17391304347826086,0,1,1.0,1.0,1.0,1.0,0.9187396351575456,0.9,0.8838095238095238,0.8838095238095238,1
祁连山_16,0.43478260869565216,0.13043478260869565,0.0,0.17391304347826086,0,1,1.0,1.0,1.0,1.0,0.9187396351575456,0.9,0.8838095238095238,0.8838095238095238,1
祁连山_56,0.2602739726027397,0.0684931506849315,0.0,0.0684931506849315,0,1,1.0,1.0,1.0,1.0,0.9187396351575456,0.9171974522292994,0.9171974522292994,0.8838095238095238,1
祁连山_56,0.27586206896551724,0.27586206896551724,0.0,0.034482758620689655,0,0,1.0,1.0,1.0,1.0,0.9444444444444444,0.9411764705882353,0.9187396351575456,0.9154929577464789,1
祁连山_56,0.7692307692307693,0.07692307692307693,0.0,0.07692307692307693,0,1,1.0,1.0,1.0,1.0,0.9819819819819819,0.9187396351575456,0.89,0.8571428571428571,1
祁连山_56,0.35714285714285715,0.07142857142857142,0.0,0.07142857142857142,0,0,1.0,1.0,1.0,1.0,0.9187396351575456,0.8838095238095238,0.84375,0.8076923076923077,1
