att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
第一医药_0,0.4375,0.25,0.0,0.0625,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.4166666666666667,0.3333333333333333,0.0,0.125,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.30303030303030304,0.2727272727272727,0.0,0.21212121212121213,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.4878048780487805,0.17073170731707318,0.024390243902439025,0.17073170731707318,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.6428571428571429,0.14285714285714285,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.38095238095238093,0.23809523809523808,0.0,0.09523809523809523,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.391304347826087,0.2608695652173913,0.0,0.21739130434782608,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.4444444444444444,0.2222222222222222,0.0,0.18518518518518517,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.47619047619047616,0.23809523809523808,0.0,0.14285714285714285,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_0,0.5,0.3333333333333333,0.0,0.16666666666666666,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_1,0.4,0.21428571428571427,0.014285714285714285,0.1,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_1,0.8333333333333334,0.0,0.0,0.16666666666666666,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_1,0.29411764705882354,0.11764705882352941,0.0,0.29411764705882354,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.5925925925925926,0.18518518518518517,0.037037037037037035,0.037037037037037035,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.5306122448979592,0.16326530612244897,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.6666666666666666,0.15151515151515152,0.0,0.09090909090909091,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.4411764705882353,0.17647058823529413,0.0,0.17647058823529413,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.3333333333333333,0.2777777777777778,0.0,0.16666666666666666,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.35,0.2,0.05,0.05,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.20689655172413793,0.10344827586206896,0.0,0.3448275862068966,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.6944444444444444,0.1111111111111111,0.027777777777777776,0.05555555555555555,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.2777777777777778,0.16666666666666666,0.0,0.3333333333333333,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.46153846153846156,0.38461538461538464,0.0,0.11538461538461539,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.5769230769230769,0.23076923076923078,0.038461538461538464,0.07692307692307693,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_2,0.5,0.16666666666666666,0.0,0.16666666666666666,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_3,0.4098360655737705,0.19672131147540983,0.03278688524590164,0.19672131147540983,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_3,0.37142857142857144,0.1,0.02857142857142857,0.2,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_3,0.4666666666666667,0.3333333333333333,0.0,0.06666666666666667,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_4,0.48148148148148145,0.14814814814814814,0.0,0.2222222222222222,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_4,0.16666666666666666,0.3333333333333333,0.05555555555555555,0.1111111111111111,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_4,0.3939393939393939,0.21212121212121213,0.12121212121212122,0.09090909090909091,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_4,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_4,0.4489795918367347,0.1836734693877551,0.02040816326530612,0.1836734693877551,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
第一医药_4,0.4117647058823529,0.23529411764705882,0.029411764705882353,0.14705882352941177,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
