att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
∫Ï∆Ï¡¨À¯_0,0.42105263157894735,0.21052631578947367,0.0,0.10526315789473684,0,0,1.0,1.0,1.0,1.0,0.2706766917293233,0.2706766917293233,0.16393442622950818,0.04040404040404041,1
∫Ï∆Ï¡¨À¯_1,0.42857142857142855,0.1836734693877551,0.02040816326530612,0.14285714285714285,0,2,1.0,1.0,1.0,1.0,0.2706766917293233,0.2706766917293233,0.2706766917293233,0.04040404040404041,1
∫Ï∆Ï¡¨À¯_1,0.2962962962962963,0.18518518518518517,0.0,0.37037037037037035,0,0,1.0,1.0,1.0,1.0,0.04040404040404041,0.03864734299516908,0.0,0.0,1
∫Ï∆Ï¡¨À¯_1,0.3783783783783784,0.16216216216216217,0.0,0.10810810810810811,0,0,1.0,1.0,1.0,1.0,0.6842105263157895,0.1416184971098266,0.04040404040404041,0.04,1
∫Ï∆Ï¡¨À¯_1,0.4166666666666667,0.25,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.6842105263157895,0.04040404040404041,0.04,0.03864734299516908,1
∫Ï∆Ï¡¨À¯_2,0.6923076923076923,0.38461538461538464,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.04040404040404041,0.03864734299516908,0.0,0.0,1
∫Ï∆Ï¡¨À¯_2,0.5384615384615384,0.3076923076923077,0.0,0.038461538461538464,0,0,1.0,1.0,1.0,1.0,0.06557377049180328,0.04040404040404041,0.03864734299516908,0.03864734299516908,1
∫Ï∆Ï¡¨À¯_2,0.5405405405405406,0.32432432432432434,0.0,0.08108108108108109,0,1,1.0,1.0,1.0,1.0,0.2706766917293233,0.06557377049180328,0.04040404040404041,0.03864734299516908,1
∫Ï∆Ï¡¨À¯_2,0.5223880597014925,0.29850746268656714,0.0,0.014925373134328358,0,1,1.0,1.0,1.0,1.0,0.1416184971098266,0.06557377049180328,0.06557377049180328,0.06557377049180328,1
∫Ï∆Ï¡¨À¯_2,0.5789473684210527,0.42105263157894735,0.02631578947368421,0.0,0,0,1.0,1.0,1.0,1.0,0.04040404040404041,0.04040404040404041,0.03864734299516908,0.0,1
∫Ï∆Ï¡¨À¯_2,0.45652173913043476,0.21739130434782608,0.0,0.021739130434782608,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2706766917293233,0.2706766917293233,0.2706766917293233,1
