att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
美的集团_1,0.47368421052631576,0.08771929824561403,0.0,0.017543859649122806,0,0,1.0,1.0,1.0,1.0,0.0017513134851138354,0.0007722007722007722,0.0007702747313208378,0.0007702747313208378,1
美的集团_2,0.34285714285714286,0.2,0.05714285714285714,0.12857142857142856,0,0,1.0,1.0,1.0,1.0,0.004267425320056899,0.0019193857965451055,0.0007942811755361397,0.0007942811755361397,1
美的集团_3,0.34177215189873417,0.13924050632911392,0.012658227848101266,0.1518987341772152,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007702747313208378,0.0002453385672227674,0.00019805902158843335,1
美的集团_4,0.29411764705882354,0.058823529411764705,0.0,0.35294117647058826,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007702747313208378,2.3194860019019784e-05,0.0,1
美的集团_5,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.17647058823529413,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007702747313208378,0.00031645569620253165,0.0002453385672227674,1
美的集团_5,0.2765957446808511,0.14893617021276595,0.0,0.3404255319148936,0,0,1.0,1.0,1.0,1.0,0.03571428571428571,0.0007722007722007722,0.0007702747313208378,0.00031645569620253165,1
美的集团_6,0.35294117647058826,0.3235294117647059,0.029411764705882353,0.0,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007702747313208378,0.0005089058524173028,0.0002453385672227674,1
美的集团_7,0.4647887323943662,0.19718309859154928,0.04225352112676056,0.014084507042253521,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007702747313208378,0.0007702747313208378,0.0002453385672227674,1
美的集团_8,0.75,0.1111111111111111,0.0,0.05555555555555555,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007702747313208378,0.0007702747313208378,0.0007702747313208378,1
美的集团_9,0.40625,0.15625,0.03125,0.0,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007702747313208378,0.0002453385672227674,0.0002453385672227674,1
美的集团_10,0.46875,0.15625,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.01195219123505976,0.004267425320056899,0.0007722007722007722,0.0007702747313208378,1
美的集团_10,0.4375,0.28125,0.03125,0.0,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007722007722007722,0.0007702747313208378,0.0002453385672227674,1
美的集团_10,0.42857142857142855,0.09523809523809523,0.047619047619047616,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.0017513134851138354,0.0007722007722007722,0.0007702747313208378,0.0005089058524173028,1
美的集团_10,0.425,0.175,0.0,0.15,0,0,1.0,1.0,1.0,1.0,0.0007722007722007722,0.0007722007722007722,0.0007702747313208378,0.0007702747313208378,1
