att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
老百姓_1,0.35294117647058826,0.29411764705882354,0.0196078431372549,0.0784313725490196,0,0,1.0,1.0,1.0,1.0,0.4782608695652174,0.35714285714285715,0.30776092774308655,0.300314465408805,1
老百姓_2,0.35294117647058826,0.29411764705882354,0.0196078431372549,0.0784313725490196,0,0,1.0,1.0,1.0,1.0,0.4782608695652174,0.35714285714285715,0.30776092774308655,0.300314465408805,1
老百姓_3,0.3728813559322034,0.1864406779661017,0.01694915254237288,0.11864406779661017,0,0,1.0,1.0,1.0,1.0,0.9523809523809523,0.5,0.48484848484848486,0.48484848484848486,1
老百姓_4,0.16666666666666666,0.2222222222222222,0.0,0.05555555555555555,0,0,1.0,1.0,0.9970321516900247,0.9965881397238018,0.28313253012048195,0.28313253012048195,0.28313253012048195,0.28313253012048195,1
老百姓_5,0.3157894736842105,0.23684210526315788,0.02631578947368421,0.13157894736842105,0,0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.31118731247321046,0.3096446700507614,1
老百姓_6,0.3076923076923077,0.3333333333333333,0.02564102564102564,0.02564102564102564,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.41025641025641024,0.37209302325581395,1
老百姓_7,0.3157894736842105,0.23684210526315788,0.02631578947368421,0.13157894736842105,0,0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.31118731247321046,0.3096446700507614,1
老百姓_8,0.27586206896551724,0.3103448275862069,0.0,0.10344827586206896,0,0,1.0,1.0,1.0,1.0,0.4666666666666667,0.4482758620689655,0.3345724907063197,0.3275862068965517,1
老百姓_8,0.275,0.1,0.0,0.15,0,0,1.0,1.0,1.0,1.0,0.5,0.45454545454545453,0.45,0.42857142857142855,1
老百姓_9,0.3614457831325301,0.10843373493975904,0.060240963855421686,0.060240963855421686,0,0,1.0,1.0,1.0,1.0,0.42857142857142855,0.36363636363636365,0.36,0.2977941176470588,1
老百姓_10,0.3877551020408163,0.22448979591836735,0.04081632653061224,0.02040816326530612,0,0,1.0,1.0,1.0,1.0,0.40625,0.3333333333333333,0.3333333333333333,0.32142857142857145,1
老百姓_11,0.3333333333333333,0.30303030303030304,0.030303030303030304,0.06060606060606061,0,0,1.0,1.0,1.0,1.0,0.3446327683615819,0.32413793103448274,0.3026315789473684,0.2908704883227176,1
老百姓_12,0.30952380952380953,0.21428571428571427,0.047619047619047616,0.023809523809523808,0,0,1.0,1.0,1.0,1.0,0.4583333333333333,0.3645833333333333,0.33170731707317075,0.300314465408805,1
老百姓_13,0.30952380952380953,0.21428571428571427,0.047619047619047616,0.023809523809523808,0,0,1.0,1.0,1.0,1.0,0.4583333333333333,0.3645833333333333,0.33170731707317075,0.300314465408805,1
老百姓_14,0.2857142857142857,0.14285714285714285,0.0,0.07142857142857142,0,0,1.0,1.0,0.9926980649872216,0.9908256880733946,0.27231976092641014,0.26812749003984065,0.2672760274860625,0.2577777777777778,1
老百姓_15,0.4482758620689655,0.1724137931034483,0.0,0.034482758620689655,0,0,1.0,1.0,1.0,0.9926980649872216,0.5,0.41379310344827586,0.352112676056338,0.34615384615384615,1
老百姓_16,0.35,0.21666666666666667,0.0,0.05,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.42857142857142855,1
老百姓_17,0.4878048780487805,0.1951219512195122,0.024390243902439025,0.14634146341463414,0,0,1.0,1.0,1.0,1.0,0.4583333333333333,0.45,0.3333333333333333,0.3333333333333333,1
老百姓_18,0.1956521739130435,0.21739130434782608,0.021739130434782608,0.10869565217391304,0,0,1.0,1.0,1.0,1.0,0.7777777777777778,0.5263157894736842,0.44285714285714284,0.42105263157894735,1
老百姓_19,0.1956521739130435,0.21739130434782608,0.021739130434782608,0.10869565217391304,0,0,1.0,1.0,1.0,1.0,0.7777777777777778,0.5263157894736842,0.44285714285714284,0.42105263157894735,1
老百姓_20,0.28,0.28,0.0,0.08,0,0,1.0,1.0,1.0,1.0,0.7777777777777778,0.4117647058823529,0.3176470588235294,0.273224043715847,1
老百姓_21,0.48717948717948717,0.1794871794871795,0.02564102564102564,0.15384615384615385,0,0,1.0,1.0,1.0,1.0,0.4583333333333333,0.45,0.3333333333333333,0.3333333333333333,1
老百姓_22,0.417910447761194,0.22388059701492538,0.05970149253731343,0.029850746268656716,0,0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.5,0.4444444444444444,1
老百姓_23,0.417910447761194,0.22388059701492538,0.05970149253731343,0.029850746268656716,0,0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.5,0.4444444444444444,1
老百姓_24,0.2962962962962963,0.25925925925925924,0.037037037037037035,0.05555555555555555,0,0,1.0,1.0,1.0,1.0,0.39344262295081966,0.38613861386138615,0.38613861386138615,0.34782608695652173,1
老百姓_25,0.17391304347826086,0.1956521739130435,0.021739130434782608,0.10869565217391304,0,0,1.0,1.0,1.0,1.0,0.7777777777777778,0.5263157894736842,0.44285714285714284,0.42105263157894735,1
老百姓_26,0.34285714285714286,0.3142857142857143,0.02857142857142857,0.05714285714285714,0,0,1.0,1.0,1.0,1.0,0.3446327683615819,0.32413793103448274,0.3026315789473684,0.2908704883227176,1
老百姓_27,0.26153846153846155,0.2153846153846154,0.046153846153846156,0.03076923076923077,0,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.45454545454545453,0.42857142857142855,0.42857142857142855,1
老百姓_28,0.12,0.32,0.04,0.04,0,0,1.0,1.0,0.9926980649872216,0.9908256880733946,0.5,0.5,0.35023041474654376,0.32142857142857145,1
老百姓_29,0.225,0.25,0.05,0.025,0,0,1.0,1.0,1.0,1.0,0.4,0.38202247191011235,0.3709677419354839,0.35714285714285715,1
老百姓_30,0.3157894736842105,0.15789473684210525,0.0,0.05263157894736842,0,0,1.0,1.0,1.0,1.0,0.5333333333333333,0.5,0.26812749003984065,0.2672760274860625,1
老百姓_31,0.43636363636363634,0.12727272727272726,0.10909090909090909,0.01818181818181818,0,0,1.0,1.0,1.0,1.0,0.5882352941176471,0.38613861386138615,0.375,0.3645833333333333,1
老百姓_32,0.22727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.5555555555555556,0.48484848484848486,0.36,0.32558139534883723,1
老百姓_33,0.22727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.5555555555555556,0.48484848484848486,0.36,0.32558139534883723,1
老百姓_34,0.36,0.3,0.02,0.08,0,0,1.0,1.0,1.0,1.0,0.4782608695652174,0.35714285714285715,0.30776092774308655,0.300314465408805,1
老百姓_35,0.3333333333333333,0.3,0.0,0.03333333333333333,0,0,1.0,1.0,0.9926980649872216,0.9908256880733946,0.37209302325581395,0.3345724907063197,0.3333333333333333,0.3191489361702128,1
老百姓_35,0.24,0.28,0.04,0.0,0,0,1.0,1.0,1.0,1.0,0.5,0.38613861386138615,0.3191489361702128,0.26812749003984065,1
老百姓_36,0.3684210526315789,0.08771929824561403,0.0,0.017543859649122806,0,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.46153846153846156,0.42857142857142855,1
老百姓_38,0.37142857142857144,0.22857142857142856,0.02857142857142857,0.05714285714285714,0,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.3548387096774194,0.3333333333333333,1
老百姓_39,0.3,0.275,0.0,0.1,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.43529411764705883,0.4,1
老百姓_40,0.2857142857142857,0.17857142857142858,0.0,0.03571428571428571,0,0,1.0,1.0,1.0,1.0,0.3246753246753247,0.26812749003984065,0.26812749003984065,0.26812749003984065,1
老百姓_41,0.21428571428571427,0.25,0.0,0.03571428571428571,0,0,1.0,1.0,1.0,0.9970321516900247,0.4482758620689655,0.31118731247321046,0.30220356768100737,0.28751753155680226,1
老百姓_43,0.36363636363636365,0.2727272727272727,0.0,0.045454545454545456,0,0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.2797427652733119,0.26812749003984065,1
老百姓_44,0.3698630136986301,0.1643835616438356,0.0821917808219178,0.0136986301369863,0,0,1.0,1.0,1.0,1.0,0.375,0.36363636363636365,0.30120481927710846,0.30120481927710846,1
老百姓_45,0.225,0.25,0.05,0.025,0,0,1.0,1.0,1.0,1.0,0.4,0.38202247191011235,0.3709677419354839,0.35714285714285715,1
老百姓_46,0.28,0.2,0.08,0.08,0,0,1.0,1.0,1.0,0.9926980649872216,0.3103448275862069,0.3023255813953488,0.2823529411764706,0.2817955112219451,1
老百姓_47,0.25925925925925924,0.14814814814814814,0.037037037037037035,0.07407407407407407,0,0,1.0,1.0,1.0,1.0,0.68,0.6666666666666666,0.5098039215686274,0.5098039215686274,1
老百姓_48,0.25925925925925924,0.2962962962962963,0.0,0.037037037037037035,0,0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.33852140077821014,0.2797427652733119,1
老百姓_49,0.36363636363636365,0.2727272727272727,0.0,0.045454545454545456,0,0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.2797427652733119,0.26812749003984065,1
