att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
劼眼嫌_38,0.5,0.16666666666666666,0.16666666666666666,0.0,0,0,0.9670542635658915,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0
劼眼嫌_38,0.5,0.16666666666666666,0.16666666666666666,0.0,0,0,0.9670542635658915,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0
劼眼嫌_39,0.34615384615384615,0.057692307692307696,0.019230769230769232,0.11538461538461539,0,0,0.9670542635658915,0.9670542635658915,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,0
劼眼嫌_39,0.8,0.2,0.0,0.0,0,0,0.9670542635658915,0.4,0.25,0.0,1.0,1.0,0.75,0.6,0
劼眼嫌_0,0.375,0.125,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.03294573643410853,0.0,1
劼眼嫌_0,0.4375,0.5,0.0,0.0625,0,1,1.0,1.0,1.0,1.0,0.05714285714285714,0.03294573643410853,0.0,0.0,1
劼眼嫌_0,0.4473684210526316,0.2631578947368421,0.0,0.21052631578947367,0,1,1.0,1.0,1.0,1.0,0.05714285714285714,0.03294573643410853,0.03294573643410853,0.0,1
劼眼嫌_0,0.6,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.03294573643410853,0.0,0.0,0.0,1
劼眼嫌_0,0.3333333333333333,0.02564102564102564,0.0,0.15384615384615385,0,1,1.0,1.0,1.0,1.0,0.2247191011235955,0.2247191011235955,0.2247191011235955,0.04878048780487805,1
劼眼嫌_0,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0,1,1.0,1.0,1.0,1.0,0.03294573643410853,0.0,0.0,0.0,1
劼眼嫌_1,0.5172413793103449,0.1206896551724138,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.2247191011235955,0.2247191011235955,0.2247191011235955,0.08333333333333333,1
劼眼嫌_1,0.3448275862068966,0.3448275862068966,0.0,0.13793103448275862,0,0,1.0,1.0,1.0,1.0,0.6,0.03294573643410853,0.0,0.0,1
劼眼嫌_1,0.3333333333333333,0.25,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.03294573643410853,0.008583690987124463,0.0,0.0,1
劼眼嫌_1,0.38235294117647056,0.35294117647058826,0.058823529411764705,0.0,0,2,1.0,1.0,1.0,1.0,0.03294573643410853,0.008583690987124463,0.008583690987124463,0.0,1
劼眼嫌_1,0.6428571428571429,0.2857142857142857,0.07142857142857142,0.0,0,0,1.0,1.0,1.0,1.0,0.1111111111111111,0.03294573643410853,0.0,0.0,1
劼眼嫌_1,0.45454545454545453,0.24242424242424243,0.030303030303030304,0.15151515151515152,0,3,1.0,1.0,1.0,1.0,0.03294573643410853,0.0,0.0,0.0,1
劼眼嫌_1,0.40425531914893614,0.19148936170212766,0.0425531914893617,0.19148936170212766,0,1,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.09734513274336283,0.03294573643410853,1
劼眼嫌_1,0.2727272727272727,0.09090909090909091,0.0,0.45454545454545453,0,0,1.0,1.0,1.0,1.0,0.4,0.03294573643410853,0.0,0.0,1
劼眼嫌_1,0.5555555555555556,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.09734513274336283,0.03294573643410853,0.03294573643410853,0.0,1
劼眼嫌_1,0.35,0.1,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.2247191011235955,0.03294573643410853,0.008583690987124463,0.008583690987124463,1
劼眼嫌_1,0.5454545454545454,0.18181818181818182,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.03294573643410853,0.008583690987124463,0.008583690987124463,0.0,1
劼眼嫌_2,0.3684210526315789,0.19298245614035087,0.017543859649122806,0.07017543859649122,0,0,1.0,1.0,1.0,1.0,0.2247191011235955,0.08333333333333333,0.06666666666666667,0.03294573643410853,1
劼眼嫌_2,0.3181818181818182,0.4090909090909091,0.045454545454545456,0.0,0,0,1.0,1.0,1.0,1.0,0.08333333333333333,0.06666666666666667,0.03294573643410853,0.0,1
劼眼嫌_3,0.42105263157894735,0.3684210526315789,0.0,0.05263157894736842,0,0,1.0,1.0,1.0,1.0,0.08333333333333333,0.03294573643410853,0.0,0.0,1
劼眼嫌_3,0.42105263157894735,0.3684210526315789,0.0,0.05263157894736842,0,0,1.0,1.0,1.0,1.0,0.08333333333333333,0.03294573643410853,0.0,0.0,1
劼眼嫌_4,0.30434782608695654,0.21739130434782608,0.0,0.2391304347826087,0,0,1.0,1.0,1.0,1.0,0.06666666666666667,0.05714285714285714,0.04878048780487805,0.04878048780487805,1
劼眼嫌_4,0.46153846153846156,0.11538461538461539,0.0,0.19230769230769232,0,0,1.0,1.0,1.0,1.0,0.06666666666666667,0.05714285714285714,0.03294573643410853,0.0,1
劼眼嫌_4,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.05714285714285714,0.03294573643410853,0.0,0.0,1
劼眼嫌_4,0.5,0.3,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.03294573643410853,0.0,0.0,0.0,1
劼眼嫌_4,0.4,0.025,0.0,0.05,0,0,1.0,1.0,1.0,1.0,0.2247191011235955,0.2247191011235955,0.04878048780487805,0.03294573643410853,1
劼眼嫌_4,0.2222222222222222,0.5555555555555556,0.0,0.1111111111111111,0,0,1.0,1.0,1.0,1.0,0.03294573643410853,0.0,0.0,0.0,1
劼眼嫌_5,0.46153846153846156,0.19230769230769232,0.0,0.19230769230769232,0,2,1.0,1.0,1.0,1.0,0.03294573643410853,0.008583690987124463,0.0,0.0,1
