att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
西藏发展_0,0.42857142857142855,0.21428571428571427,0.0,0.21428571428571427,0,1,1.0,1.0,1.0,1.0,0.8224852071005917,0.7058823529411765,0.5454545454545454,0.5454545454545454,1
西藏发展_1,0.5113636363636364,0.125,0.0,0.125,0,3,1.0,1.0,1.0,1.0,0.8224852071005917,0.8224852071005917,0.6666666666666666,0.5714285714285714,1
西藏发展_1,0.3953488372093023,0.16279069767441862,0.0,0.18604651162790697,0,2,1.0,1.0,1.0,1.0,0.8224852071005917,0.8224852071005917,0.8224852071005917,0.8224852071005917,1
西藏发展_1,0.4782608695652174,0.17391304347826086,0.0,0.17391304347826086,0,0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5327102803738317,0.4845360824742268,0.46153846153846156,1
西藏发展_1,0.6153846153846154,0.23076923076923078,0.07692307692307693,0.0,0,1,1.0,1.0,1.0,1.0,0.8224852071005917,0.5327102803738317,0.4845360824742268,0.0,1
西藏发展_2,0.42857142857142855,0.17142857142857143,0.0,0.11428571428571428,0,3,1.0,1.0,1.0,1.0,0.85,0.5327102803738317,0.4845360824742268,0.3103448275862069,1
西藏发展_2,0.2222222222222222,0.14814814814814814,0.0,0.2962962962962963,0,4,1.0,1.0,1.0,1.0,0.8235294117647058,0.8,0.5327102803738317,0.5161290322580645,1
西藏发展_2,0.44,0.24,0.0,0.04,0,4,1.0,1.0,1.0,1.0,0.5327102803738317,0.4845360824742268,0.18181818181818182,0.0,1
西藏发展_2,0.375,0.25,0.0,0.1875,0,2,1.0,1.0,1.0,1.0,0.5327102803738317,0.4845360824742268,0.18181818181818182,0.0,1
西藏发展_2,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.058823529411764705,0,1,1.0,1.0,1.0,1.0,0.5327102803738317,0.4845360824742268,0.34782608695652173,0.25,1
西藏发展_3,0.2682926829268293,0.34146341463414637,0.07317073170731707,0.07317073170731707,0,4,1.0,1.0,1.0,1.0,0.85,0.8224852071005917,0.5327102803738317,0.4845360824742268,1
西藏发展_9,0.3076923076923077,0.23076923076923078,0.0,0.15384615384615385,0,0,1.0,1.0,1.0,1.0,0.5327102803738317,0.4845360824742268,0.4444444444444444,0.4444444444444444,1
西藏发展_9,0.2631578947368421,0.3684210526315789,0.05263157894736842,0.15789473684210525,0,2,1.0,1.0,1.0,1.0,0.5327102803738317,0.4845360824742268,0.4444444444444444,0.4444444444444444,1
西藏发展_9,0.2631578947368421,0.3684210526315789,0.05263157894736842,0.15789473684210525,0,2,1.0,1.0,1.0,1.0,0.5327102803738317,0.4845360824742268,0.4444444444444444,0.4444444444444444,1
西藏发展_4,0.4567901234567901,0.1728395061728395,0.06172839506172839,0.037037037037037035,0,1,0.9230769230769231,0.8181818181818182,0.8181818181818182,0.75,1.0,1.0,1.0,1.0,0
西藏发展_4,0.4857142857142857,0.2,0.0,0.02857142857142857,0,1,0.6896551724137931,0.6521739130434783,0.5154639175257731,0.4838709677419355,1.0,1.0,1.0,1.0,0
西藏发展_4,0.6666666666666666,0.3333333333333333,0.0,0.0,0,1,0.6521739130434783,0.5154639175257731,0.4838709677419355,0.4672897196261682,1.0,1.0,1.0,0.8235294117647058,0
西藏发展_5,0.5833333333333334,0.25,0.0,0.16666666666666666,0,0,0.5154639175257731,0.4672897196261682,0.2,0.15,1.0,1.0,1.0,1.0,0
西藏发展_6,0.4117647058823529,0.29411764705882354,0.0,0.058823529411764705,0,0,0.6896551724137931,0.5384615384615384,0.5154639175257731,0.4672897196261682,1.0,1.0,1.0,1.0,0
西藏发展_7,0.5833333333333334,0.4583333333333333,0.0,0.08333333333333333,0,0,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.4672897196261682,1.0,1.0,1.0,1.0,0
西藏发展_8,0.5833333333333334,0.4583333333333333,0.0,0.08333333333333333,0,0,0.5154639175257731,0.5154639175257731,0.5154639175257731,0.4672897196261682,1.0,1.0,1.0,1.0,0
西藏发展_10,0.41346153846153844,0.1346153846153846,0.0,0.11538461538461539,0,1,0.6896551724137931,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0
西藏发展_10,0.4473684210526316,0.14473684210526316,0.0,0.14473684210526316,0,1,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0
西藏发展_10,0.45,0.15,0.0,0.1,0,0,0.5154639175257731,0.4672897196261682,0.2,0.17751479289940827,1.0,1.0,1.0,1.0,0
