att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
¹óÈËÄñ_28,0.34545454545454546,0.2,0.01818181818181818,0.16363636363636364,0,0,0.9876543209876543,0.9869281045751634,0.95260663507109,0.8734177215189873,1.0,1.0,1.0,1.0,0
¹óÈËÄñ_28,0.2631578947368421,0.15789473684210525,0.0,0.12280701754385964,0,1,0.9876543209876543,0.9869281045751634,0.9642857142857143,0.9629629629629629,1.0,1.0,1.0,1.0,0
¹óÈËÄñ_28,0.25,0.16666666666666666,0.0,0.2916666666666667,0,0,0.9876543209876543,0.9869281045751634,0.95260663507109,0.8734177215189873,1.0,1.0,1.0,1.0,0
¹óÈËÄñ_0,0.6,0.4,0.0,0.0,0,0,1.0,1.0,1.0,0.9876543209876543,0.013071895424836602,0.012345679012345678,0.0,0.0,1
¹óÈËÄñ_0,0.25,0.1,0.016666666666666666,0.016666666666666666,0,0,1.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.1724137931034483,1
¹óÈËÄñ_0,0.32653061224489793,0.04081632653061224,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.13157894736842105,1
¹óÈËÄñ_0,0.6,0.4,0.0,0.0,0,0,1.0,1.0,1.0,0.9876543209876543,0.013071895424836602,0.012345679012345678,0.0,0.0,1
¹óÈËÄñ_1,0.40425531914893614,0.0425531914893617,0.0,0.10638297872340426,0,1,1.0,1.0,1.0,1.0,0.21428571428571427,0.037037037037037035,0.03571428571428571,0.013071895424836602,1
¹óÈËÄñ_1,0.48,0.24,0.08,0.0,0,3,1.0,1.0,1.0,1.0,0.21428571428571427,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_1,0.3269230769230769,0.07692307692307693,0.0,0.21153846153846154,0,0,1.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.12658227848101267,0.012345679012345678,1
¹óÈËÄñ_1,0.4888888888888889,0.24444444444444444,0.0,0.044444444444444446,0,2,1.0,1.0,1.0,1.0,0.19230769230769232,0.04739336492890995,0.013071895424836602,0.012345679012345678,1
¹óÈËÄñ_1,0.4375,0.28125,0.0,0.09375,0,1,1.0,1.0,1.0,1.0,0.19230769230769232,0.013071895424836602,0.013071895424836602,0.012345679012345678,1
¹óÈËÄñ_1,0.3,0.2,0.1,0.2,0,0,1.0,1.0,1.0,1.0,0.04739336492890995,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_1,0.375,0.20833333333333334,0.0,0.041666666666666664,0,1,1.0,1.0,1.0,1.0,0.35135135135135137,0.19230769230769232,0.19230769230769232,0.013071895424836602,1
¹óÈËÄñ_1,0.45454545454545453,0.22727272727272727,0.0,0.13636363636363635,0,0,1.0,1.0,1.0,1.0,0.04739336492890995,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_1,0.30303030303030304,0.18181818181818182,0.0,0.2878787878787879,0,4,1.0,1.0,1.0,1.0,0.21428571428571427,0.12658227848101267,0.12658227848101267,0.04739336492890995,1
¹óÈËÄñ_1,0.5,0.125,0.0625,0.0625,0,1,1.0,1.0,1.0,1.0,0.013071895424836602,0.012345679012345678,0.0,0.0,1
¹óÈËÄñ_1,0.3333333333333333,0.30303030303030304,0.06060606060606061,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.4,0.14285714285714285,0.013071895424836602,0.013071895424836602,1
¹óÈËÄñ_1,0.37681159420289856,0.14492753623188406,0.014492753623188406,0.043478260869565216,0,2,1.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,1
¹óÈËÄñ_1,0.5,0.3181818181818182,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.25,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_1,0.2903225806451613,0.06451612903225806,0.0,0.12903225806451613,0,1,1.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.037037037037037035,0.03571428571428571,1
¹óÈËÄñ_1,0.29411764705882354,0.11764705882352941,0.0,0.17647058823529413,0,1,1.0,1.0,1.0,1.0,0.037037037037037035,0.03571428571428571,0.013071895424836602,0.012345679012345678,1
¹óÈËÄñ_2,0.5,0.09375,0.03125,0.1875,0,3,1.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.13157894736842105,0.013071895424836602,1
¹óÈËÄñ_2,0.22727272727272727,0.22727272727272727,0.0,0.3181818181818182,0,3,1.0,1.0,1.0,1.0,0.14285714285714285,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_2,0.25,0.3333333333333333,0.08333333333333333,0.0,0,1,1.0,1.0,1.0,1.0,0.013071895424836602,0.012345679012345678,0.0,0.0,1
¹óÈËÄñ_2,0.5161290322580645,0.1935483870967742,0.0,0.06451612903225806,0,1,1.0,1.0,1.0,1.0,0.12658227848101267,0.013071895424836602,0.012345679012345678,0.012345679012345678,1
¹óÈËÄñ_2,0.2916666666666667,0.25,0.0,0.041666666666666664,0,3,1.0,1.0,1.0,1.0,0.013071895424836602,0.012345679012345678,0.0,0.0,1
¹óÈËÄñ_2,0.2413793103448276,0.10344827586206896,0.0,0.10344827586206896,0,1,1.0,1.0,1.0,1.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,1
¹óÈËÄñ_2,0.6,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.013071895424836602,0.012345679012345678,0.0,0.0,1
¹óÈËÄñ_2,0.40625,0.1875,0.0,0.28125,0,0,1.0,1.0,1.0,1.0,0.013071895424836602,0.012345679012345678,0.01,0.0,1
¹óÈËÄñ_2,0.3,0.2,0.0,0.1,0,1,1.0,1.0,1.0,1.0,0.04739336492890995,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_2,0.39285714285714285,0.32142857142857145,0.017857142857142856,0.017857142857142856,0,3,1.0,1.0,1.0,1.0,0.5,0.21428571428571427,0.21428571428571427,0.21428571428571427,1
¹óÈËÄñ_2,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0,2,1.0,1.0,1.0,1.0,0.21428571428571427,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_3,0.3939393939393939,0.09090909090909091,0.0,0.09090909090909091,0,1,1.0,1.0,1.0,1.0,0.21428571428571427,0.013071895424836602,0.012345679012345678,0.01,1
¹óÈËÄñ_3,0.5882352941176471,0.11764705882352941,0.0,0.14705882352941177,0,1,1.0,1.0,1.0,1.0,0.013071895424836602,0.012345679012345678,0.0,0.0,1
¹óÈËÄñ_3,0.48,0.16,0.0,0.12,0,2,1.0,1.0,1.0,1.0,0.04739336492890995,0.013071895424836602,0.012345679012345678,0.01,1
¹óÈËÄñ_3,0.4642857142857143,0.32142857142857145,0.03571428571428571,0.0,0,0,1.0,1.0,1.0,1.0,0.04739336492890995,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_3,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.35135135135135137,0.013071895424836602,0.012345679012345678,0.0,1
¹óÈËÄñ_3,0.26666666666666666,0.2222222222222222,0.0,0.022222222222222223,0,1,1.0,1.0,1.0,1.0,0.21428571428571427,0.037037037037037035,0.03571428571428571,0.013071895424836602,1
¹óÈËÄñ_3,0.3404255319148936,0.2765957446808511,0.06382978723404255,0.14893617021276595,0,2,1.0,1.0,1.0,1.0,0.12658227848101267,0.013071895424836602,0.013071895424836602,0.013071895424836602,1
