att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
连云港_1,0.5454545454545454,0.16363636363636364,0.05454545454545454,0.05454545454545454,0,3,1.0,1.0,1.0,1.0,0.5,0.5,0.3,0.25,1
连云港_1,0.44680851063829785,0.1276595744680851,0.02127659574468085,0.1702127659574468,0,0,1.0,1.0,1.0,1.0,0.5555555555555556,0.3,0.1643835616438356,0.09523809523809523,1
连云港_1,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.6923076923076923,0.1643835616438356,0.125,0.0,1
连云港_2,0.2692307692307692,0.15384615384615385,0.019230769230769232,0.057692307692307696,0,1,1.0,1.0,1.0,1.0,0.2,0.1643835616438356,0.09259259259259259,0.02702702702702703,1
连云港_3,0.2638888888888889,0.16666666666666666,0.0,0.125,0,4,1.0,1.0,1.0,1.0,0.46153846153846156,0.4166666666666667,0.1643835616438356,0.09523809523809523,1
连云港_4,0.32,0.08,0.0,0.14,0,0,1.0,1.0,1.0,1.0,0.47058823529411764,0.25,0.1643835616438356,0.09523809523809523,1
连云港_5,0.3137254901960784,0.0784313725490196,0.0,0.13725490196078433,0,0,1.0,1.0,1.0,1.0,0.25,0.1643835616438356,0.09523809523809523,0.09523809523809523,1
连云港_5,0.6,0.15,0.0,0.05,0,0,1.0,1.0,1.0,1.0,0.7,0.1643835616438356,0.0,0.0,1
连云港_6,0.3076923076923077,0.1282051282051282,0.02564102564102564,0.14102564102564102,0,2,1.0,1.0,1.0,1.0,0.4166666666666667,0.3,0.1643835616438356,0.125,1
连云港_7,0.32,0.08,0.0,0.14,0,0,1.0,1.0,1.0,1.0,0.47058823529411764,0.25,0.1643835616438356,0.09523809523809523,1
连云港_8,0.23728813559322035,0.0847457627118644,0.06779661016949153,0.09322033898305085,0,2,1.0,1.0,1.0,1.0,0.46153846153846156,0.3333333333333333,0.1643835616438356,0.09259259259259259,1
连云港_9,0.17857142857142858,0.14285714285714285,0.07142857142857142,0.21428571428571427,0,1,1.0,1.0,1.0,1.0,0.1643835616438356,0.09523809523809523,0.09259259259259259,0.02702702702702703,1
连云港_10,0.4146341463414634,0.17073170731707318,0.024390243902439025,0.04878048780487805,0,2,1.0,1.0,1.0,1.0,0.25,0.1643835616438356,0.09259259259259259,0.02702702702702703,1
连云港_11,0.36363636363636365,0.13636363636363635,0.045454545454545456,0.1590909090909091,0,4,1.0,1.0,1.0,1.0,0.2,0.1643835616438356,0.09523809523809523,0.09259259259259259,1
连云港_12,0.2987012987012987,0.12987012987012986,0.03896103896103896,0.1038961038961039,0,2,1.0,1.0,1.0,1.0,0.47058823529411764,0.1643835616438356,0.125,0.09523809523809523,1
连云港_13,0.2988505747126437,0.034482758620689655,0.0,0.12643678160919541,0,0,1.0,1.0,1.0,1.0,0.1643835616438356,0.09259259259259259,0.09259259259259259,0.02702702702702703,1
连云港_13,0.16,0.28,0.04,0.24,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3,0.2,0.1643835616438356,1
连云港_14,0.3780487804878049,0.2073170731707317,0.07317073170731707,0.06097560975609756,0,6,1.0,1.0,1.0,1.0,0.5,0.1643835616438356,0.09523809523809523,0.09523809523809523,1
连云港_15,0.2777777777777778,0.19444444444444445,0.08333333333333333,0.16666666666666666,0,5,1.0,1.0,1.0,1.0,0.25,0.1643835616438356,0.125,0.125,1
连云港_17,0.5849056603773585,0.03773584905660377,0.0,0.018867924528301886,0,2,0.9583333333333334,0.9487179487179487,0.9074074074074074,0.9047619047619048,1.0,1.0,1.0,1.0,0
连云港_17,0.6,0.2,0.0,0.0,0,1,0.9761904761904762,0.8356164383561644,0.5,0.5,1.0,1.0,1.0,1.0,0
连云港_18,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111,0,0,0.9736842105263158,0.972972972972973,0.9074074074074074,0.8356164383561644,1.0,1.0,1.0,0.6923076923076923,0
连云港_18,0.6060606060606061,0.24242424242424243,0.030303030303030304,0.18181818181818182,0,1,0.875,0.8,0.75,0.75,1.0,1.0,1.0,1.0,0
