att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
金融街_0,0.38823529411764707,0.2,0.047058823529411764,0.047058823529411764,0,2,1.0,1.0,1.0,1.0,0.25,0.016,0.016,0.015748031496062992,1
金融街_0,0.5714285714285714,0.19047619047619047,0.047619047619047616,0.0,0,0,1.0,1.0,1.0,1.0,0.015748031496062992,0.015748031496062992,0.0,0.0,1
金融街_0,0.6875,0.1875,0.0625,0.0,0,0,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_0,0.24324324324324326,0.21621621621621623,0.02702702702702703,0.21621621621621623,0,1,1.0,1.0,1.0,1.0,0.016,0.016,0.015748031496062992,0.0,1
金融街_0,0.5384615384615384,0.38461538461538464,0.07692307692307693,0.0,0,1,1.0,1.0,1.0,1.0,0.015748031496062992,0.015444015444015444,0.015444015444015444,0.015444015444015444,1
金融街_1,0.4166666666666667,0.1875,0.0,0.08333333333333333,0,2,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.015748031496062992,1
金融街_2,0.36363636363636365,0.22727272727272727,0.0,0.045454545454545456,0,1,1.0,1.0,1.0,1.0,0.03389830508474576,0.015748031496062992,0.0,0.0,1
金融街_3,0.32558139534883723,0.06976744186046512,0.023255813953488372,0.16279069767441862,0,2,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.016,1
金融街_3,0.4090909090909091,0.36363636363636365,0.022727272727272728,0.09090909090909091,0,2,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_4,0.2571428571428571,0.08571428571428572,0.02857142857142857,0.17142857142857143,0,2,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.016,1
金融街_4,0.4090909090909091,0.36363636363636365,0.022727272727272728,0.09090909090909091,0,2,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_5,0.2571428571428571,0.08571428571428572,0.02857142857142857,0.17142857142857143,0,2,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.016,1
金融街_5,0.4090909090909091,0.36363636363636365,0.022727272727272728,0.09090909090909091,0,2,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_6,0.3,0.25,0.0,0.05,0,0,1.0,1.0,1.0,1.0,0.25,0.03389830508474576,0.015748031496062992,0.015444015444015444,1
金融街_7,0.37333333333333335,0.13333333333333333,0.0,0.09333333333333334,0,2,1.0,1.0,1.0,1.0,0.4,0.03389830508474576,0.015748031496062992,0.015444015444015444,1
金融街_8,0.37254901960784315,0.0392156862745098,0.0,0.11764705882352941,0,1,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.016,1
金融街_9,0.23170731707317074,0.12195121951219512,0.0,0.15853658536585366,0,2,1.0,1.0,1.0,1.0,0.03389830508474576,0.03389830508474576,0.016,0.016,1
金融街_9,0.4772727272727273,0.07954545454545454,0.022727272727272728,0.022727272727272728,0,2,1.0,1.0,1.0,1.0,0.015748031496062992,0.015444015444015444,0.015444015444015444,0.015444015444015444,1
金融街_9,0.5,0.1,0.0,0.3,0,0,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_10,0.325,0.1,0.025,0.225,0,0,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.016,1
金融街_11,0.16129032258064516,0.12903225806451613,0.0,0.41935483870967744,0,2,1.0,1.0,1.0,1.0,0.18181818181818182,0.03389830508474576,0.016,0.016,1
金融街_12,0.29508196721311475,0.04918032786885246,0.0,0.14754098360655737,0,2,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.016,1
金融街_12,0.4772727272727273,0.07954545454545454,0.022727272727272728,0.022727272727272728,0,2,1.0,1.0,1.0,1.0,0.015748031496062992,0.015444015444015444,0.015444015444015444,0.015444015444015444,1
金融街_12,0.5,0.1,0.0,0.3,0,0,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_13,0.3125,0.22916666666666666,0.0,0.14583333333333334,0,1,1.0,1.0,1.0,1.0,0.03389830508474576,0.015748031496062992,0.015444015444015444,0.015444015444015444,1
金融街_14,0.45454545454545453,0.24242424242424243,0.030303030303030304,0.030303030303030304,0,0,1.0,1.0,1.0,1.0,0.015748031496062992,0.015748031496062992,0.0,0.0,1
金融街_14,0.5614035087719298,0.17543859649122806,0.017543859649122806,0.0,0,0,1.0,1.0,1.0,1.0,0.18181818181818182,0.015748031496062992,0.015444015444015444,0.015444015444015444,1
金融街_14,0.5,0.25,0.0,0.05,0,0,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_14,0.4883720930232558,0.3488372093023256,0.023255813953488372,0.0,0,0,1.0,1.0,1.0,1.0,0.4,0.015748031496062992,0.015444015444015444,0.0,1
金融街_14,0.5384615384615384,0.23076923076923078,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.015748031496062992,0.0,0.0,0.0,1
金融街_14,0.46153846153846156,0.21153846153846154,0.019230769230769232,0.07692307692307693,0,1,1.0,1.0,1.0,1.0,0.015748031496062992,0.015748031496062992,0.015748031496062992,0.015748031496062992,1
金融街_15,0.3148148148148148,0.1111111111111111,0.07407407407407407,0.1111111111111111,0,2,1.0,1.0,1.0,1.0,0.03389830508474576,0.016,0.016,0.016,1
金融街_16,0.3333333333333333,0.14583333333333334,0.0,0.16666666666666666,0,1,1.0,1.0,1.0,1.0,0.18181818181818182,0.03389830508474576,0.016,0.016,1
金融街_17,0.3333333333333333,0.15,0.06666666666666667,0.1,0,3,1.0,1.0,1.0,1.0,0.03389830508474576,0.015748031496062992,0.015444015444015444,0.015444015444015444,1
金融街_18,0.3918918918918919,0.16216216216216217,0.02702702702702703,0.13513513513513514,0,4,1.0,1.0,1.0,1.0,0.03389830508474576,0.015748031496062992,0.015444015444015444,0.015444015444015444,1
金融街_19,0.3114754098360656,0.16393442622950818,0.0,0.13114754098360656,0,1,1.0,1.0,1.0,1.0,0.03389830508474576,0.015748031496062992,0.015444015444015444,0.015444015444015444,1
金融街_25,0.3888888888888889,0.1111111111111111,0.0,0.05555555555555555,0,0,0.9845559845559846,0.9845559845559846,0.984251968503937,0.984,1.0,1.0,1.0,1.0,0
