att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
长城影视_45,0.4727272727272727,0.18181818181818182,0.03636363636363636,0.03636363636363636,0,0,0.9889967637540453,0.9811320754716981,0.9629629629629629,0.96,1.0,1.0,1.0,1.0,0
长城影视_45,0.5128205128205128,0.15384615384615385,0.0,0.02564102564102564,0,0,0.9925925925925926,0.9889967637540453,0.9615384615384616,0.9583333333333334,1.0,1.0,1.0,1.0,0
长城影视_45,0.3142857142857143,0.13333333333333333,0.009523809523809525,0.3142857142857143,0,0,0.9980066445182725,0.9889967637540453,0.9889967637540453,0.9734513274336283,1.0,1.0,1.0,1.0,0
长城影视_45,0.6,0.06666666666666667,0.0,0.06666666666666667,0,0,0.9889967637540453,0.9190751445086706,0.9166666666666666,0.7611940298507462,1.0,1.0,1.0,1.0,0
长城影视_0,0.4,0.13333333333333333,0.0,0.26666666666666666,0,2,1.0,1.0,1.0,1.0,0.13043478260869565,0.13043478260869565,0.08333333333333333,0.07317073170731707,1
长城影视_0,0.18181818181818182,0.045454545454545456,0.0,0.5,0,0,1.0,1.0,1.0,1.0,0.07627118644067797,0.07627118644067797,0.02654867256637168,0.011003236245954692,1
长城影视_0,0.6153846153846154,0.23076923076923078,0.038461538461538464,0.07692307692307693,0,1,1.0,1.0,1.0,1.0,0.011003236245954692,0.0019933554817275745,0.0,0.0,1
长城影视_0,0.4117647058823529,0.23529411764705882,0.0,0.17647058823529413,0,0,1.0,1.0,1.0,1.0,0.08333333333333333,0.06365503080082136,0.011003236245954692,0.0019933554817275745,1
长城影视_1,0.30434782608695654,0.043478260869565216,0.0,0.391304347826087,0,2,1.0,1.0,1.0,1.0,0.55,0.19047619047619047,0.12903225806451613,0.12903225806451613,1
长城影视_1,0.6666666666666666,0.25,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.06365503080082136,0.011003236245954692,0.0019933554817275745,0.0,1
长城影视_2,0.46774193548387094,0.16129032258064516,0.0,0.14516129032258066,0,2,1.0,1.0,1.0,1.0,0.5945945945945946,0.4375,0.19047619047619047,0.13043478260869565,1
长城影视_2,0.6428571428571429,0.14285714285714285,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.19047619047619047,0.06365503080082136,0.011003236245954692,0.0,1
长城影视_3,0.6,0.15,0.0,0.05,0,1,1.0,1.0,1.0,1.0,0.12903225806451613,0.12903225806451613,0.05185185185185185,0.011003236245954692,1
长城影视_3,0.4,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.08333333333333333,0.011003236245954692,0.0019933554817275745,0.0,1
长城影视_3,0.43243243243243246,0.32432432432432434,0.02702702702702703,0.05405405405405406,0,1,1.0,1.0,1.0,1.0,0.12195121951219512,0.08333333333333333,0.0625,0.05185185185185185,1
长城影视_3,0.6666666666666666,0.2222222222222222,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.011003236245954692,0.0019933554817275745,0.0,0.0,1
长城影视_4,0.45161290322580644,0.25806451612903225,0.0,0.0967741935483871,0,1,1.0,1.0,1.0,1.0,0.55,0.14285714285714285,0.05555555555555555,0.05555555555555555,1
长城影视_4,0.42,0.26,0.0,0.08,0,2,1.0,1.0,1.0,1.0,0.4,0.018867924528301886,0.011003236245954692,0.011003236245954692,1
长城影视_4,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0,0,1.0,1.0,1.0,1.0,0.2,0.045454545454545456,0.011003236245954692,0.0019933554817275745,1
长城影视_4,0.36538461538461536,0.23076923076923078,0.038461538461538464,0.17307692307692307,0,3,1.0,1.0,1.0,1.0,0.14285714285714285,0.09090909090909091,0.038461538461538464,0.011003236245954692,1
长城影视_4,0.32142857142857145,0.32142857142857145,0.0,0.14285714285714285,0,2,1.0,1.0,1.0,1.0,0.037037037037037035,0.018867924528301886,0.011003236245954692,0.0019933554817275745,1
长城影视_4,0.5178571428571429,0.3392857142857143,0.017857142857142856,0.07142857142857142,0,1,1.0,1.0,1.0,1.0,0.13333333333333333,0.08333333333333333,0.08333333333333333,0.058823529411764705,1
长城影视_4,0.49019607843137253,0.23529411764705882,0.0,0.11764705882352941,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.08333333333333333,0.011003236245954692,0.011003236245954692,1
长城影视_4,0.2857142857142857,0.08163265306122448,0.02040816326530612,0.24489795918367346,0,3,1.0,1.0,1.0,1.0,0.19047619047619047,0.08333333333333333,0.041666666666666664,0.041666666666666664,1
长城影视_4,0.4888888888888889,0.2,0.044444444444444446,0.0,0,2,1.0,1.0,1.0,1.0,0.058823529411764705,0.05555555555555555,0.011003236245954692,0.011003236245954692,1
长城影视_4,0.32051282051282054,0.2692307692307692,0.0,0.16666666666666666,0,4,1.0,1.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.0625,1
长城影视_4,0.19230769230769232,0.15384615384615385,0.0,0.23076923076923078,0,2,1.0,1.0,1.0,1.0,0.19047619047619047,0.08333333333333333,0.038461538461538464,0.02654867256637168,1
长城影视_4,0.34615384615384615,0.11538461538461539,0.038461538461538464,0.038461538461538464,0,0,1.0,1.0,1.0,1.0,0.08333333333333333,0.011003236245954692,0.0019933554817275745,0.0,1
长城影视_4,0.3953488372093023,0.27906976744186046,0.0,0.0,0,3,1.0,1.0,1.0,1.0,0.08333333333333333,0.0625,0.0625,0.05555555555555555,1
长城影视_4,0.4716981132075472,0.32075471698113206,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.30357142857142855,0.08333333333333333,0.0625,0.04,1
长城影视_4,0.35714285714285715,0.30357142857142855,0.017857142857142856,0.16071428571428573,0,0,1.0,1.0,1.0,1.0,0.5,0.23880597014925373,0.14285714285714285,0.13333333333333333,1
长城影视_4,0.35294117647058826,0.029411764705882353,0.0,0.14705882352941177,0,1,1.0,1.0,1.0,1.0,0.07627118644067797,0.07627118644067797,0.06365503080082136,0.06365503080082136,1
长城影视_4,0.5,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.011003236245954692,0.0019933554817275745,0.0,0.0,1
长城影视_5,0.48,0.10666666666666667,0.0,0.13333333333333333,0,2,1.0,1.0,1.0,1.0,0.55,0.4375,0.13043478260869565,0.07627118644067797,1
