att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
Â½¼Ò×ì_0,0.25,0.19444444444444445,0.027777777777777776,0.3472222222222222,0,5,1.0,1.0,1.0,1.0,0.2727272727272727,0.16666666666666666,0.14285714285714285,0.125,1
Â½¼Ò×ì_2,0.6065573770491803,0.21311475409836064,0.01639344262295082,0.04918032786885246,0,1,1.0,1.0,1.0,1.0,0.24,0.125,0.10320284697508897,0.07692307692307693,1
Â½¼Ò×ì_2,0.42857142857142855,0.17142857142857143,0.05714285714285714,0.22857142857142856,0,1,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.23076923076923078,0.125,1
Â½¼Ò×ì_2,0.5,0.10714285714285714,0.0,0.03571428571428571,0,0,1.0,1.0,1.0,1.0,0.11538461538461539,0.0722117202268431,0.0625,0.039014373716632446,1
Â½¼Ò×ì_2,0.5918367346938775,0.16326530612244897,0.061224489795918366,0.0,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.375,0.2222222222222222,0.20833333333333334,1
Â½¼Ò×ì_2,0.6363636363636364,0.18181818181818182,0.045454545454545456,0.0,0,1,1.0,1.0,1.0,1.0,0.24,0.2222222222222222,0.1875,0.10294117647058823,1
Â½¼Ò×ì_2,0.5714285714285714,0.09523809523809523,0.047619047619047616,0.023809523809523808,0,1,1.0,1.0,1.0,1.0,0.11538461538461539,0.07692307692307693,0.0722117202268431,0.039014373716632446,1
Â½¼Ò×ì_3,0.5113636363636364,0.20454545454545456,0.03409090909090909,0.011363636363636364,0,2,1.0,1.0,1.0,1.0,0.5,0.2537764350453172,0.20833333333333334,0.14285714285714285,1
Â½¼Ò×ì_3,0.3953488372093023,0.32558139534883723,0.06976744186046512,0.0,0,1,1.0,1.0,1.0,1.0,0.4,0.375,0.20833333333333334,0.20833333333333334,1
Â½¼Ò×ì_3,0.5,0.2857142857142857,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.14285714285714285,0.11764705882352941,0.07692307692307693,0.0722117202268431,1
Â½¼Ò×ì_3,0.64,0.16,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0722117202268431,0.0722117202268431,0.06666666666666667,0.039014373716632446,1
Â½¼Ò×ì_3,0.4166666666666667,0.25,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.20175438596491227,0.1111111111111111,0.07692307692307693,0.0722117202268431,1
Â½¼Ò×ì_3,0.46808510638297873,0.2765957446808511,0.031914893617021274,0.05319148936170213,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.4,1
Â½¼Ò×ì_3,0.5263157894736842,0.13157894736842105,0.02631578947368421,0.07894736842105263,0,1,1.0,1.0,1.0,1.0,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.0722117202268431,1
Â½¼Ò×ì_3,0.49206349206349204,0.2857142857142857,0.0,0.031746031746031744,0,1,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.20833333333333334,0.2,1
Â½¼Ò×ì_3,0.5131578947368421,0.2236842105263158,0.10526315789473684,0.02631578947368421,0,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.1111111111111111,0.10526315789473684,1
Â½¼Ò×ì_3,0.5714285714285714,0.2222222222222222,0.015873015873015872,0.0,0,1,1.0,1.0,1.0,1.0,0.20175438596491227,0.10526315789473684,0.08571428571428572,0.07692307692307693,1
Â½¼Ò×ì_3,0.4,0.1,0.0,0.2,0,0,1.0,1.0,1.0,1.0,0.0722117202268431,0.06474820143884892,0.041666666666666664,0.037037037037037035,1
Â½¼Ò×ì_3,0.5,0.275,0.125,0.0,0,1,1.0,1.0,1.0,1.0,0.10526315789473684,0.10320284697508897,0.09090909090909091,0.09090909090909091,1
Â½¼Ò×ì_3,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0722117202268431,0.03245192307692308,0.0,0.0,1
Â½¼Ò×ì_4,0.3125,0.125,0.0,0.125,0,0,1.0,1.0,1.0,1.0,0.5333333333333333,0.3333333333333333,0.2537764350453172,0.25,1
Â½¼Ò×ì_4,0.6363636363636364,0.22727272727272727,0.045454545454545456,0.0,0,0,1.0,1.0,1.0,1.0,0.1875,0.18181818181818182,0.125,0.09090909090909091,1
Â½¼Ò×ì_4,0.25,0.0625,0.0,0.375,0,0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.2,0.2,1
Â½¼Ò×ì_4,0.3333333333333333,0.125,0.08333333333333333,0.25,0,0,1.0,1.0,1.0,1.0,0.5,0.2153846153846154,0.2153846153846154,0.20833333333333334,1
Â½¼Ò×ì_4,0.6363636363636364,0.18181818181818182,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.4,0.2692307692307692,0.16666666666666666,0.11764705882352941,1
Â½¼Ò×ì_4,0.3684210526315789,0.21052631578947367,0.0,0.21052631578947367,0,0,1.0,1.0,1.0,1.0,0.6666666666666666,0.2,0.16666666666666666,0.1111111111111111,1
Â½¼Ò×ì_4,0.3,0.3,0.0,0.2,0,0,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.2692307692307692,0.10320284697508897,1
Â½¼Ò×ì_4,0.48148148148148145,0.07407407407407407,0.0,0.2962962962962963,0,2,1.0,1.0,1.0,1.0,0.11764705882352941,0.0722117202268431,0.06474820143884892,0.05555555555555555,1
Â½¼Ò×ì_4,0.59375,0.09375,0.03125,0.03125,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.4,0.4,0.4,1
Â½¼Ò×ì_4,0.47058823529411764,0.23529411764705882,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.20175438596491227,0.20175438596491227,0.18181818181818182,0.16666666666666666,1
Â½¼Ò×ì_4,0.5208333333333334,0.14583333333333334,0.020833333333333332,0.020833333333333332,0,1,1.0,1.0,1.0,1.0,0.5,0.2692307692307692,0.25,0.0722117202268431,1
Â½¼Ò×ì_4,0.5476190476190477,0.23809523809523808,0.011904761904761904,0.047619047619047616,0,2,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,1
Â½¼Ò×ì_4,0.5625,0.2708333333333333,0.020833333333333332,0.020833333333333332,0,1,1.0,1.0,1.0,1.0,0.26666666666666666,0.13043478260869565,0.125,0.10320284697508897,1
Â½¼Ò×ì_4,0.5,0.21428571428571427,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0722117202268431,0.0722117202268431,0.05803571428571429,0.037037037037037035,1
Â½¼Ò×ì_4,0.5384615384615384,0.3333333333333333,0.02564102564102564,0.0,0,1,1.0,1.0,1.0,1.0,0.19230769230769232,0.14285714285714285,0.1111111111111111,0.1111111111111111,1
Â½¼Ò×ì_4,0.4090909090909091,0.4090909090909091,0.0,0.045454545454545456,0,1,1.0,1.0,1.0,1.0,0.07692307692307693,0.0722117202268431,0.027777777777777776,0.01694915254237288,1
Â½¼Ò×ì_4,0.5217391304347826,0.13043478260869565,0.0,0.2608695652173913,0,0,1.0,1.0,1.0,1.0,0.1111111111111111,0.0722117202268431,0.06474820143884892,0.012048192771084338,1
Â½¼Ò×ì_4,0.375,0.25,0.0,0.25,0,0,1.0,1.0,1.0,1.0,0.4,0.0722117202268431,0.037383177570093455,0.0,1
Â½¼Ò×ì_5,0.4,0.27692307692307694,0.03076923076923077,0.0,0,1,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,0.2537764350453172,0.2537764350453172,1
Â½¼Ò×ì_5,0.6923076923076923,0.15384615384615385,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0722117202268431,0.06086956521739131,0.058577405857740586,0.05803571428571429,1
Â½¼Ò×ì_5,0.4,0.25,0.0,0.2,0,0,1.0,1.0,1.0,1.0,0.20175438596491227,0.2,0.1111111111111111,0.10320284697508897,1
Â½¼Ò×ì_5,0.5,0.15,0.0,0.05,0,0,1.0,1.0,1.0,1.0,0.07692307692307693,0.0722117202268431,0.0722117202268431,0.06086956521739131,1
Â½¼Ò×ì_5,0.6,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.10320284697508897,0.08333333333333333,0.0722117202268431,0.03245192307692308,1
Â½¼Ò×ì_5,0.55,0.2,0.05,0.05,0,1,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.25,1
Â½¼Ò×ì_5,0.4,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.0722117202268431,0.044444444444444446,0.012048192771084338,0.0,1
Â½¼Ò×ì_5,0.6842105263157895,0.23684210526315788,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.14285714285714285,0.0722117202268431,1
Â½¼Ò×ì_5,0.4444444444444444,0.37037037037037035,0.018518518518518517,0.037037037037037035,0,1,1.0,1.0,1.0,1.0,0.4,0.20833333333333334,0.20175438596491227,0.20175438596491227,1
Â½¼Ò×ì_5,0.6153846153846154,0.3076923076923077,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.0722117202268431,0.037383177570093455,0.012048192771084338,1
Â½¼Ò×ì_6,0.43636363636363634,0.18181818181818182,0.0,0.12727272727272726,0,1,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.2537764350453172,0.2537764350453172,1
Â½¼Ò×ì_6,0.2,0.2,0.0,0.4,0,0,1.0,1.0,1.0,1.0,0.1,0.07692307692307693,0.0722117202268431,0.041237113402061855,1
Â½¼Ò×ì_6,0.4318181818181818,0.29545454545454547,0.0,0.09090909090909091,0,0,1.0,1.0,1.0,1.0,0.5,0.4,0.3,0.2692307692307692,1
Â½¼Ò×ì_6,0.35714285714285715,0.25,0.0,0.07142857142857142,0,1,1.0,1.0,1.0,1.0,0.10320284697508897,0.1,0.0722117202268431,0.05263157894736842,1
Â½¼Ò×ì_6,0.5660377358490566,0.24528301886792453,0.07547169811320754,0.018867924528301886,0,2,1.0,1.0,1.0,1.0,0.5,0.14285714285714285,0.0722117202268431,0.0722117202268431,1
