att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
青岛海尔_31,0.2916666666666667,0.14583333333333334,0.0625,0.010416666666666666,0,0,0.9822784810126582,0.9562043795620438,0.9562043795620438,0.9251336898395722,1.0,1.0,1.0,1.0,0
青岛海尔_31,0.3333333333333333,0.26666666666666666,0.0,0.13333333333333333,0,0,0.9822784810126582,0.8888888888888888,0.8817204301075269,0.8809523809523809,1.0,1.0,1.0,1.0,0
青岛海尔_0,0.37349397590361444,0.0963855421686747,0.012048192771084338,0.1566265060240964,0,1,1.0,1.0,1.0,1.0,0.3397790055248619,0.11904761904761904,0.11904761904761904,0.11827956989247312,1
青岛海尔_0,0.4931506849315068,0.3287671232876712,0.0,0.0273972602739726,0,2,1.0,1.0,1.0,1.0,0.45454545454545453,0.3333333333333333,0.25,0.125,1
青岛海尔_0,0.375,0.15625,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.3397790055248619,0.3397790055248619,0.3397790055248619,0.3397790055248619,1
青岛海尔_0,0.5,0.4,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.14285714285714285,0.017721518987341773,0.0,0.0,1
青岛海尔_1,0.22580645161290322,0.12903225806451613,0.0,0.0967741935483871,0,1,1.0,1.0,1.0,1.0,0.2,0.125,0.11827956989247312,0.11827956989247312,1
青岛海尔_1,0.25806451612903225,0.12903225806451613,0.0,0.3548387096774194,0,3,1.0,1.0,1.0,1.0,0.11827956989247312,0.1111111111111111,0.017721518987341773,0.0,1
青岛海尔_1,0.5555555555555556,0.3333333333333333,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.125,0.017721518987341773,0.0,0.0,1
青岛海尔_1,0.5625,0.3125,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.125,0.125,0.017721518987341773,0.0,1
青岛海尔_2,0.3939393939393939,0.21212121212121213,0.06060606060606061,0.0,0,0,1.0,1.0,1.0,1.0,0.11538461538461539,0.0748663101604278,0.0748663101604278,0.043795620437956206,1
青岛海尔_2,0.3333333333333333,0.0784313725490196,0.0,0.058823529411764705,0,0,1.0,1.0,1.0,1.0,0.3397790055248619,0.3397790055248619,0.3397790055248619,0.11827956989247312,1
青岛海尔_2,0.3617021276595745,0.14893617021276595,0.0425531914893617,0.0,0,0,1.0,1.0,1.0,1.0,0.3397790055248619,0.3397790055248619,0.11538461538461539,0.0748663101604278,1
青岛海尔_2,0.3939393939393939,0.21212121212121213,0.06060606060606061,0.0,0,0,1.0,1.0,1.0,1.0,0.11538461538461539,0.0748663101604278,0.0748663101604278,0.043795620437956206,1
青岛海尔_3,0.37735849056603776,0.07547169811320754,0.0,0.11320754716981132,0,1,1.0,1.0,1.0,1.0,0.3397790055248619,0.3397790055248619,0.3397790055248619,0.3397790055248619,1
青岛海尔_3,0.3,0.2,0.0,0.1,0,0,1.0,1.0,1.0,1.0,0.11827956989247312,0.1111111111111111,0.043795620437956206,0.017721518987341773,1
青岛海尔_4,0.5294117647058824,0.058823529411764705,0.058823529411764705,0.11764705882352941,0,1,1.0,1.0,1.0,1.0,0.3397790055248619,0.3397790055248619,0.017721518987341773,0.0,1
青岛海尔_5,0.4117647058823529,0.11764705882352941,0.058823529411764705,0.058823529411764705,0,0,1.0,1.0,1.0,1.0,0.11827956989247312,0.1111111111111111,0.043795620437956206,0.017721518987341773,1
青岛海尔_5,0.4117647058823529,0.11764705882352941,0.058823529411764705,0.058823529411764705,0,0,1.0,1.0,1.0,1.0,0.11827956989247312,0.1111111111111111,0.043795620437956206,0.017721518987341773,1
