att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
³̩_0,0.4666666666666667,0.13333333333333333,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_0,0.45454545454545453,0.0,0.0,0.5454545454545454,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_0,0.5714285714285714,0.047619047619047616,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_1,0.46808510638297873,0.1595744680851064,0.010638297872340425,0.09574468085106383,0,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_1,0.4666666666666667,0.13333333333333333,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_1,0.45454545454545453,0.0,0.0,0.5454545454545454,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_1,0.5714285714285714,0.047619047619047616,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_2,0.4492753623188406,0.17391304347826086,0.014492753623188406,0.057971014492753624,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_2,0.574468085106383,0.0425531914893617,0.0,0.1702127659574468,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_2,0.45454545454545453,0.0,0.0,0.5454545454545454,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_2,0.5263157894736842,0.05263157894736842,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_3,0.5142857142857142,0.2571428571428571,0.0,0.014285714285714285,0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_3,0.45454545454545453,0.0,0.0,0.5454545454545454,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_3,0.5333333333333333,0.16666666666666666,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_4,0.4852941176470588,0.16176470588235295,0.014705882352941176,0.04411764705882353,0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_4,0.45454545454545453,0.0,0.0,0.5454545454545454,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_5,0.5416666666666666,0.10416666666666667,0.0,0.08333333333333333,0,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_5,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.0,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
³̩_6,0.2909090909090909,0.05454545454545454,0.07272727272727272,0.18181818181818182,0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1
