att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
≈Ù≤© ø_0,0.43333333333333335,0.36666666666666664,0.06666666666666667,0.03333333333333333,0,0,1.0,1.0,1.0,1.0,0.1,0.06979542719614922,0.03614457831325301,0.0,1
≈Ù≤© ø_0,0.43243243243243246,0.21621621621621623,0.0,0.1891891891891892,0,1,1.0,1.0,1.0,1.0,0.2,0.1111111111111111,0.06979542719614922,0.05555555555555555,1
≈Ù≤© ø_0,0.34615384615384615,0.4230769230769231,0.0,0.0,0,1,1.0,1.0,1.0,1.0,0.2,0.13043478260869565,0.06979542719614922,0.05714285714285714,1
≈Ù≤© ø_0,0.14814814814814814,0.18518518518518517,0.0,0.3333333333333333,0,2,1.0,1.0,1.0,1.0,0.06979542719614922,0.05714285714285714,0.05555555555555555,0.030303030303030304,1
≈Ù≤© ø_0,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.0,0,1,1.0,1.0,1.0,1.0,0.06979542719614922,0.05555555555555555,0.03614457831325301,0.03571428571428571,1
≈Ù≤© ø_0,0.3125,0.125,0.0625,0.375,0,1,1.0,1.0,1.0,1.0,0.09090909090909091,0.06979542719614922,0.030303030303030304,0.02,1
≈Ù≤© ø_0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0,1.0,1.0,0.9302045728038508,0.0,0.06979542719614922,0.0,0.0,0.0,1
≈Ù≤© ø_0,0.4074074074074074,0.2222222222222222,0.037037037037037035,0.2222222222222222,0,0,1.0,1.0,1.0,1.0,0.06979542719614922,0.0,0.0,0.0,1
≈Ù≤© ø_0,0.16666666666666666,0.16666666666666666,0.0,0.5,0,0,1.0,1.0,1.0,1.0,0.26666666666666666,0.10926365795724466,0.06979542719614922,0.030303030303030304,1
≈Ù≤© ø_0,0.5,0.2,0.1,0.0,0,1,1.0,1.0,1.0,1.0,0.06979542719614922,0.04081632653061224,0.0,0.0,1
≈Ù≤© ø_0,0.35714285714285715,0.35714285714285715,0.0,0.21428571428571427,0,0,1.0,1.0,1.0,1.0,0.16666666666666666,0.06979542719614922,0.05555555555555555,0.01818181818181818,1
≈Ù≤© ø_0,0.38461538461538464,0.3076923076923077,0.0,0.15384615384615385,0,1,1.0,1.0,1.0,1.0,0.1111111111111111,0.06979542719614922,0.05714285714285714,0.04081632653061224,1
≈Ù≤© ø_0,0.4,0.16,0.04,0.16,0,1,1.0,1.0,1.0,1.0,0.1111111111111111,0.06979542719614922,0.03571428571428571,0.01818181818181818,1
≈Ù≤© ø_0,0.7,0.2,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.3333333333333333,0.06979542719614922,0.0,0.0,1
≈Ù≤© ø_0,0.3684210526315789,0.3684210526315789,0.05263157894736842,0.0,0,1,1.0,1.0,1.0,1.0,0.13043478260869565,0.06979542719614922,0.05555555555555555,0.05555555555555555,1
≈Ù≤© ø_0,0.2857142857142857,0.42857142857142855,0.07142857142857142,0.14285714285714285,0,0,1.0,1.0,1.0,1.0,0.35772357723577236,0.06979542719614922,0.03614457831325301,0.0,1
≈Ù≤© ø_1,0.5,0.2,0.1,0.2,0,2,1.0,1.0,1.0,1.0,0.5,0.25,0.13043478260869565,0.1111111111111111,1
≈Ù≤© ø_1,0.5588235294117647,0.23529411764705882,0.0,0.0,0,2,1.0,1.0,1.0,1.0,0.14285714285714285,0.10926365795724466,0.10926365795724466,0.10926365795724466,1
