keywords,sentence,article_no,source,title or content
TCL集团,　　事件描述：TCL集团近日披露2017年中报业绩,0,媒体新闻,c,1
TCL集团,TCL集团中报一大亮点在于提出调整业务架构、优化资产结构的目标,0,媒体新闻,c,1
TCL集团,未来两年内，计划将TCL集团作为华星光电的融资平台，将终端产品业务逐步整合到香港上市公司平台；集团将逐渐剥离非核心业务，聚焦主导产业，加速重组提高资源配置效率,0,媒体新闻,c,1
TCL集团,此前TCL集团增持华星光电股权至85.71%，由于剩余股权由产业基金以优先股方式持有，本次重组结束后TCL集团实际将完全控股华星光电；集团除可享受华星光电带来的业绩增厚，亦有望在估值层面获得提升,0,媒体新闻,c,1
TCL集团,　　事件：TCL集团发布2017年半年度报告,1,媒体新闻,c,1
TCL集团,　　面板涨价提振业绩据记者了解，TCL集团(行情000100，诊股)自2014年销售额突破1000亿元以来，连续出现年销售收入规模徘徊，毛利空间不断收窄，营业利润持续下降的现象,2,媒体新闻,c,1
TCL集团,　　为了提升经营效率，2017年上半年TCL集团本部减员30%，管理费用同比减少34%；集团各产业整体减员约1万人，现有业务的固定费用同比下降3.87%；人均劳效同比提高23%,2,媒体新闻,c,1
TCL集团,　　TCL集团业绩的明显改善，很大程度上归功于液晶面板行业高景气度的延续,2,媒体新闻,c,1
TCL集团,据了解，华星光电是TCL集团子公司，主要从事显示面板的研发、生产和销售业务，净资产占集团净资产的比例很高,2,媒体新闻,c,1
TCL集团,TCL计划将TCL集团作为华星的融资平台，将终端产品业务逐步整合到港股上市公司平台,2,媒体新闻,c,1
TCL集团,”　　对于面板价格未来可能出现的降价，TCL集团董事长李东生在半年报致辞中称，“半导体显示产业是周期波动很大的产业，目前正处于行业的高周期，我们已经为低周期到来做充分的准备，开发新技术和高附加值产品，正在建设G11大屏幕产线和G6柔性AMOLED产线，通过技术升级迭代，提高规模及效率,2,媒体新闻,c,1
TCL集团,面板涨价助TCL集团上半年净利翻番  业界开始担忧产能过剩,2,媒体新闻,t,1
TCL集团,　　TCL集团(000100.SZ)发布中期业绩报告显示，今年上半年实现归属於上市公司股东的净利润为10.34亿元人民币(下同)，按年增长70.68%；基本每股收益为0.0846元,3,媒体新闻,c,1
TCL集团,TCL集团上半年净利润按年增71%至10.34亿人民币,3,媒体新闻,t,1
