keywords,sentence,article_no,source,title or content
万里马,　　中证网讯万里马(行情300591，诊股)8月4日晚间发布公告，2017 年 7 月 20 日，,0,媒体新闻,c,1
万里马,万里马签订6825万元被装物资采购合同,0,媒体新闻,t,1
万里马,"　　<IMAGE SRC=""http://chart.jrjimg.cn/pngdata/kpic/pic430/300591.png"" >79 位投资顾问已告知万里马(300591)后市如何操作立即查看　　金融界网站5月19日讯，万里马(行情300591，买入)午间公告称，公司于2017年5月18日收到中国国际航空股份有限公司发来的中标通知书，现将有关情况公",2,媒体新闻,c,1
万里马,万里马中标1353万元国航员工工服及装具采购项目,2,媒体新闻,t,1
万里马,　　中国证券网讯（记者 夏子航）万里马5月19日午间公告称，5月18日收到中国国际航空股份有限公司发来的中标通知书,3,媒体新闻,c,1
万里马,　　通知书显示，万里马中标2017-2019 年国航员工工服及装具采购项目中的第5 包男皮鞋项目，中标总金额1353.7万元左右,3,媒体新闻,c,1
万里马,　　万里马表示，本项目中标金额合计占公司2016 年度经审计营业总收入的2.25%，若项目顺利实施，将对公司2017年度经营业绩产生积极的影响,3,媒体新闻,c,1
万里马,万里马中标国航皮鞋采购1353万元合同,3,媒体新闻,t,1
万里马,　　中证网讯 万里马（300591）5月19日午间发布公告，公司于2017年5月18日收到中国国际航空股份有限公司发来的中标通知书,4,媒体新闻,c,1
万里马,万里马中标1354万元采购项目,4,媒体新闻,t,1
万里马,　　万里马“马失前蹄”、力盛赛车“车毁人亡”!这说的不是事故，而是今年刚上市的新股一季报“变脸”，万里马、力盛赛车是其中的两家，而思特奇、尚品宅配的“变脸”幅度更大，每股收益分别为-1.02元和-0.57元,5,媒体新闻,c,1
万里马,　　从个股角度看，今年的新股中业绩降幅前五大公司分别为天铁股份、华凯创意、高斯贝尔、万里马和上海天洋，降幅分别为172.45%、107.08%、84.24%、78.185%和71.35%,6,媒体新闻,c,1
万里马,　　万里马“马失前蹄”、力盛赛车“车毁人亡”,7,媒体新闻,c,1
万里马,这说的不是事故，而是今年刚上市的新股一季报“变脸”，万里马、力盛赛车是其中的两家，而思特奇、尚品宅配的“变脸”幅度更大，每股收益分别为-1.02元和-0.57元,7,媒体新闻,c,1
万里马,）万里马“马失前蹄”、力盛赛车“车毁人亡”,8,媒体新闻,c,1
万里马,这说的不是事故，而是今年刚上市的新股一季报“变脸”，万里马、力盛赛车是其中的两家，而思特奇、尚品宅配的“变脸”幅度更大，每股收益分别为-1.02元和-0.57元,8,媒体新闻,c,1
万里马,　　■厦门 陶丹　　万里马“马失前蹄”、力盛赛车“车毁人亡”,9,媒体新闻,c,1
万里马,这说的不是事故，而是今年刚上市的新股一季报“变脸”，万里马、力盛赛车是其中的两家，而思特奇、尚品宅配的“变脸”幅度更大，每股收益分别为-1.02元和-0.57元,9,媒体新闻,c,1
万里马,544万)　　丝路视觉（300556）(亏损-2334万)　　理工光科（300557）(亏损-495万)　　数字认证（300579）(亏损-196万)　　天铁股份（300587）(亏损-416万)　　万里马（300591）(亏损-237万)　　华凯创意（300592）(亏损-3万)　　思齐特(亏损-5730万)　　汇纳科技（300609）(亏损-263万)　　尚品宅配（300616）(亏损-465,10,媒体新闻,c,1
万里马,　　两公司上市第一季度就亏　　除思特奇和尚品宅配外，受到行业季节性影响而亏损的还有德创环保、正元智慧、力盛赛车、三晖电气、汇纳科技以及万里马,11,媒体新闻,c,1
万里马,　　两公司上市第一季度就亏　　除思特奇和尚品宅配外，受到行业季节性影响而亏损的还有德创环保（603177）、正元智慧（300645）、力盛赛车（002858）、三晖电气（002857）、汇纳科技（300609）以及万里马（300591）,12,媒体新闻,c,1
万里马,)、深冷股份(-484万)、先进数通(-487万)、新晨科技(-294万)、古鳌科技(-1544万)、丝路视觉(-2334万)、理工光科(-495万)、数字认证(-196万)、天铁股份(-416万)、万里马(-237万)、华凯创意(-3万)、思齐特(-5730万)、汇纳科技(-263万)、尚品宅配(-4657万)等16家,13,媒体新闻,c,1
万里马,科技（300551）(-1544万)、丝路视觉（300556）(-2334万)、理工光科（300557）(-495万)、数字认证（300579）(-196万)、天铁股份（300587）(-416万)、万里马（300591）(-237万)、华凯创意（300592）(-3万)、思齐特(-5730万)、汇纳科技（300609）(-263万)、尚品宅配（300616）(-4657万)等16家,14,媒体新闻,c,1
