keywords,sentence,article_no,source,title or content,
东方明珠,其中，2016年6月，华谊创星与上海东方明珠新媒体（集团）股份有限公司召开了“娱乐家3.0”战略合作发布会，宣布2016年双方将联手打造基于互联网的“跨屏互动 明星养成”的全新模式，双方的具体合作协议正在签署中,0,国内论坛,c,2
东方明珠,最终幻想15，三国志13，究极雷电5：三部游戏大作最近1个月，东方明珠在XBOX平台上连推3部游戏大作，尤其是上周刚出的雷电5，我的OneS居然下载速度仅在1M左右，明显大量客户购买，下载拥挤,1,国内论坛,c,2
东方明珠,传媒的本质就是娱乐为主，这些优质IP是东方明珠仅有的,1,国内论坛,c,2
东方明珠,大家参考一下  东方明珠会不会是信威集团下一个同样走势 同样zhengjin持仓 董事长同样姓王 大家觉得呢,2,国内论坛,c,1
东方明珠,大家参考一下  东方明珠会不会是信威集团下一个,2,国内论坛,t,1
东方明珠,除了著名的绿地申花足球俱乐部，绿地同时还是东方明珠（600637.SH）第六大股东，并投资了新华发行集团、奇虎360、蚂蚁金服等媒体及互联网项目,3,国内论坛,c,1
东方明珠,两颗星协同合作，幅宽更可达到约200千米，相当于上海东方明珠到杭州西湖的宽度,4,国内新闻_电子报,c,2
东方明珠,两颗星协同合作，幅宽更可达到约200千米，相当于上海东方明珠到杭州西湖的宽度,5,国内新闻_电子报,c,2
东方明珠,马鞍山商务局指导徽润超市调整布局，采取“农超对接”模式，新建生鲜门店9家；支持夏和餐饮对主食加工配送中心进行升级改造，新建6家直营门店，发展加盟门店10家；推进东方明珠、金福花园、南山、天泽水岸等9个菜市场完成标准化建设与改造,6,国内新闻_电子报,c,0
东方明珠,在内容方面，风行完整对接了东方明珠8大内容产品体系、超50万小时的海量内容库,7,国内新闻,c,2
东方明珠,电影板块，东方明珠与好莱坞7大顶级studio达成了战略合作，每年引进300多部,7,国内新闻,c,1
东方明珠,来个良心媒体曝光下东方明珠吧[大笑][大笑][大笑][大笑]13元在招手[大笑]来个良心媒体曝光下东方明珠吧13元在招手,8,国内论坛,c,1
东方明珠,来个良心媒体曝光下东方明珠吧[大笑][大笑][大笑][大笑]13元在招手[大笑],8,国内论坛,t,1
东方明珠,目前走势图一模一样[微笑]东方明珠下一个信威集团，不得不看,9,国内论坛,c,1
东方明珠,目前走势图一模一样东方明珠,9,国内论坛,c,1
东方明珠,下一个信威集团，不得不看！目前走势图一模一样[微笑]东方明珠,9,国内论坛,t,1
东方明珠,据去年11月国内媒体对主机游戏的报道，当时东方明珠（600637）对外透露的销售数字约在50万左右，考虑到新年、圣诞效应，2015年全年中国行货主机销量确实有可能达到70-80万台,10,国内新闻,c,1
东方明珠,6001001 600637东方明珠10991.02 2395.93 90781.94 -25245.722 002483润邦股份4200.00 1164.34 13424.84 256.153 160305 华夏大盘 1088,11,国内论坛,c,1
东方明珠,"<IMAGE SRC=""http://epaper.gmw.cn/gmrb/images/2016-12/26/08/res04_attpic_brief.jpg"" >    12月25日，“东方明珠8号”客滚轮靠泊在连云港港口新国际客运站69号泊位",12,国内新闻_电子报,c,0
东方明珠,东方明珠定向增发的股票什么时候能上市啊,13,国内论坛,c,1
东方明珠,东方明珠定向增发的股票什么时候能上市啊,13,国内论坛,c,1
东方明珠,东方明珠定向增发的股票什么时候能上市啊？请教高人。,13,国内论坛,t,1
东方明珠,Photo Video、Christie、COPPOI、MOG Technologies、数字电视国家工程研究中心(NERC-DTV)、NewTek、理光集团(RICOH)、上海文广新闻传媒集团、上海东方明珠新媒体股份有限公司、索尼以及塔塔通信等业内知名企业,14,国内新闻,c,2
东方明珠,Photo Video、Christie、COPPOI、MOG Technologies、数字电视国家工程研究中心(NERC-DTV)、NewTek、理光集团(RICOH)、上海文广新闻传媒集团、上海东方明珠新媒体股份有限公司、索尼以及塔塔通信等业内知名企业,15,国内新闻,c,2
东方明珠,股灾期间高溢价参与广电网络和东方明珠定向增发，投资巨额损失的宝贵资金，如果奖励给公司优秀员工，能有2016年三季报主营业季亏损3.8亿元的结果吗,16,国内论坛,c,2
东方明珠,　　迟到，是因为战略不同　　2013年，风行网加入上海SMG，在内容上获得了SMG的持续输血，去年年底，风行网又获得兆驰股份（002429）、东方明珠（600637）、海尔和国美等资本加持，其中，持股63%的兆驰股份成了风行网大股东，这一系列资本合作重新定义了风行网的发展战略，风行网受众用户从互联网视频用户拓展到家庭娱乐用户,17,国内新闻,c,1
