keywords,sentence,article_no,source,title or content
中关村,　　增资后马上消费金融的股东构成没变，股东、出资额和出资比例详情如下:　　(一)重庆百货出资金额4.1054亿元人民币，出资比例31.58%;　　(二)北京中关村（000931）科金技术有限公司出资金额3.9亿元人民币，出资比例30%;　　(三)物美控股集团有限公司出资金额2.2819亿元人民币，出资比例17.55%;　　(四)重庆银行(01963.HK,0,媒体新闻,c,1
中关村,　　以开放促发展——联动呈现全球治理大思路　　北京中关村(000931，股吧)，众多企业紧抓“一带一路”机遇抱团出海，“中国硅谷”正向“世界中关村”华丽转身,1,媒体新闻,c,1
中关村,　　与此同时，中关村发起的“藤蔓计划”积极为“一带一路”沿线国家在华留学生与区内企业搭建求职培训平台,1,媒体新闻,c,1
中关村,2016年11月，在海淀区政府的支持下，中关村(000931，股吧)核心区知识产权质押贷款风险处置资金池设立，资金池首期资金规模为4000万元，政府、国企都加入到了与科技企业共担风险的行列中,2,媒体新闻,c,1
中关村,"IMAGE SRC=""http://i.ce.cn/finance/rolling/201705/06/W020170506263421597517.jpg"" >　　互金问题平台曝光系列之四　　这家在中关村(行情000931，买入)互联网金融中心办公的钱猫吧，信披不透明、资金去向成谜、借款方股权关系嵌套、涉嫌违规开展私募业务　　互联网金融专项整治不断向纵深推进，理财平台跑路的消息不时传出，一些问题",3,媒体新闻,c,1
中关村,　　据坊间传闻，位于中关村的互联网金融中心并不是可以随便入驻的，平台在这里办公需要有实力公司的推荐，最早甚至传称要在北京监管部门备案才可以进驻,3,媒体新闻,c,1
中关村,此外，钱猫吧运营公司的地址为北京市昌平区，而据网站显示则为海淀区中关村互联网金融中心大厦中，于是本报记者去了中关村进行实地探访,3,媒体新闻,c,1
中关村,　　在北京，无论是从CBD到朝阳公园板块、太阳宫板块，还是中关村（000931）海淀到奥体公园板块，区域规划对城市板块价值推升显著，仅十年，房价就经历了六倍的增长,4,媒体新闻,c,1
中关村,　　这家在中关村(行情000931，买入)互联网金融中心办公的钱猫吧，信披不透明、资金去向成谜、借款方股权关系嵌套、涉嫌违规开展私募业务　　■本报互联网金融报道组　　互联网金融专项整治不断向纵深推进，理财平台跑路的消息不时传出，一些问题平台不断被曝光,5,媒体新闻,c,1
中关村,　　据坊间传闻，位于中关村的互联网金融中心并不是可以随便入驻的，平台在这里办公需要有实力公司的推荐，最早甚至传称要在北京监管部门备案才可以进驻,5,媒体新闻,c,1
中关村,此外，钱猫吧运营公司的地址为北京市昌平区，而据网站显示则为海淀区中关村互联网金融中心大厦中，于是本报记者去了中关村进行实地探访,5,媒体新闻,c,1
中关村,　　据北京房天下2017年1月的数据统计，北京市重点学区房最高价前10名中，有7所位于西城区，其中，宏庙小学、皇城根小学和奋斗小学学区房最高均价都突破17万元/平方米，排名第10的中关村(行情000931，买入)三小学区房最高均价达到14.8万元/平方米,6,媒体新闻,c,1
中关村,但它的活力甚至销售规模，可能会超过占了北京城很大一块，国家重点扶持，享有副省级级别的中关村（000931）,7,媒体新闻,c,1
中关村,中关村有国家的扶持，有中国最知名的高校，最初还有四通、联想等一大批品牌企业,7,媒体新闻,c,1
中关村,但现在基本上弄不清中关村能生产制造什么高科技产品,7,媒体新闻,c,1
中关村,中关村电子一条街上卖的产品，大多是从深圳华强（000062）北倒腾过去的,7,媒体新闻,c,1
中关村,　　从二级市场看，相关标的股有：千方科技(行情002373，买入)、中关村(行情000931，买入)、银江股份(行情300020，买入)、电广传媒(行情000917，买入)等,8,媒体新闻,c,1
中关村,　　在以百度、联想、京东、小米为代表的中关村（000931）民营企业中，东展科博显得默默无闻,9,媒体新闻,c,1
中关村,　　东展科博只是中关村企业“走出去”的众多案例之一,9,媒体新闻,c,1
中关村,如果说创新是中关村最抢眼的名片，国际化无疑正在成为第二张名片，而“一带一路”则是国际化名片上的“关键词”,9,媒体新闻,c,1
中关村,　　进军丝路“蓝海”　　翻开亿赞普、神州高铁（000008）等中关村企业的宣传资料，都能看到醒目的世界地图,9,媒体新闻,c,1
