keywords,sentence,article_no,source,title or content
中国电影,截至8月6日，《战狼2》票房已经达到30.72亿，破40亿元的呼声日渐高涨，不管这一目标能否实现，《战狼2》已经成为中国电影史上最赚钱的电影,0,媒体新闻,c,1
中国电影,    隐形赢家 《战狼2》背后浮现马云、王健林、王长田、邓超身影    除了北京文化，其它《战狼2》参与方股价亦出现不同程度的上涨， 7月27日至今，光线传媒涨幅达12.4%，捷成股份涨约10%，中国电影上涨约5%,0,媒体新闻,c,1
中国电影,中信建投证券股份有限公司    关于中国电影股份有限公司    首次公开发行部分限售股上市流通的核查意见    中信建投证券股份有限公司（以下简称“中信建投”或“保荐机构”）作为    中国电影股份有限公司（以下简称“中国电影”或“公司,1,媒体新闻,c,1
中国电影,    三、本次限售股上市流通的有关承诺         中视总公司、央广传媒、长影集团、江苏广电、歌华有线、电广传媒、中    国联通均承诺：自中国电影股票上市之日起十二个月内，不转让或者委托他人    管理已经直接和间接持有的中国电影的股份，也不由中国电影收购该部分股份,1,媒体新闻,c,1
中国电影,    保荐机构对中国电影本次限售股份解禁上市流通事项无异议,1,媒体新闻,c,1
中国电影,         （本页无正文，为《中信建投证券股份有限公司关于中国电影股份有限公司    首次公开发行部分限售股上市流通的核查意见》之签章页）    MX-M3108N_20170724_170741    保荐代表人： ________________ ________________    吴量 刘乃生    中信建投证券股份有限公司    年 月 日,1,媒体新闻,c,1
中国电影,[上市]中国电影:中信建投证券股份有限公司关于中国电影股份有限公司首次公开发行部分限售股上市流通的核查意见,1,媒体新闻,t,1
中国电影,    全景网8月1日讯 有投资者在上证E互动平台询问中国电影（600977）：请问战狼2公司投资多少钱,2,媒体新闻,c,1
中国电影,    中国电影回应，公司参与了电影《战狼2》的投资出品，具体投资收益涉及商业保密条款无法提供,2,媒体新闻,c,1
中国电影,[互动]中国电影：公司参与了电影《战狼2》的投资出品,2,媒体新闻,t,1
中国电影,这是《建军大业》在成都的一场路演，中国电影（股票代码：600977）董事长喇培康出现在演讲台上,3,媒体新闻,c,1
中国电影,时隔6年，中国电影市场发生了很大的变化,3,媒体新闻,c,1
中国电影,即跟美国电影公司、电影人合作，一定是要对发展中国电影产业有益，对推动中国电视走出去有益、有用的，这种合作才有意义，这种合作我们才做,3,媒体新闻,c,1
中国电影,   投资要点    事件：近期，中国电影今年的主要项目《建军大业》上映，且参投的《战狼2》也同时上线，从目前的情况来看，两款作品在暑期档或都有可能成为高票房的作品，为中国电影在第三季度保持较高的持续经营成绩奠定基础,4,媒体新闻,c,1
中国电影,2016年，中国电影的部分电影项目未能取得预期的成绩，导致电影投资业务出现了净亏损（根据2016年年报，公司影视制作业务实现收入6.69亿，成本为7.83亿）,4,媒体新闻,c,1
中国电影,中国电影是国内“唯二”的进口片发行公司，也是跟进口片关系最为直接的上市公司，其无疑将是进口片大年最直接的受益者,4,媒体新闻,c,1
中国电影,中国电影旗下三条主力院线合计占国内票房市场约三成左右，票房增速企稳回到健康轨道，有利于放映业务稳健增长,4,媒体新闻,c,1
中国电影,考虑到中国电影在第三季度将迎来多方面利好：1）中报业绩受益于上半年进口片的整体强势+投资的作品票房成绩较好，将会出现较好改善；2）第三季度《建军大业》的爆款预期；3）整体估值水平已经修复到25倍左右，估值泡沫已经消化，我们给予中国电影“买入”的投资评级,4,媒体新闻,c,1
中国电影, 金融界网站讯 26日尾盘半小时，中国电影(行情600977，诊股)被大单拉升上涨，收获6连阳,5,媒体新闻,c,1
中国电影,值得关注的是，有消息称，中国电影控股的子公司中影南方新干线印发了关于做好《建军大业》排映工作的通知，要求各影城给予大力支持，保证首映周末的排名率不低于45%，期待创造国产票房新高峰,5,媒体新闻,c,1
中国电影,    同时，伴随中国电影市场16年进入寒冬期，中国电影也难独善其身，无论是16的年报还是17年的一季报，业绩增速均有明显下滑,5,媒体新闻,c,1
中国电影,受此影响，中国电影股价在近一年时间里的跌幅已达54.35%，市值从750亿元腰斩到329亿元,5,媒体新闻,c,1
中国电影,所以，如果《建军大业》能够取得不错的票房，对中国电影无疑是好消息,5,媒体新闻,c,1
中国电影,    异动拉涨获6连阳    早盘波澜不惊，没想临近收盘，中国电影异动拉升,5,媒体新闻,c,1
中国电影,尾盘半小时，中国电影成交量为4.22万手，占全天成交量的比例为40%,5,媒体新闻,c,1
中国电影,    消息面上，为迎接中国建军90周年，中国电影等单位出品发行的电影《建军大业》将于本月27日公映,5,媒体新闻,c,1
中国电影,据了解，中国电影此前还推出过两部战争大片，分别是09年票房达4.16亿元的《建国大业》、11年票房为4.23亿元的《建党大业》,5,媒体新闻,c,1
中国电影,    同时，微博“TNABO北美票房榜吧”爆料，中国电影旗下的控股子公司（持股36%）中影南方新干线印发了关于做好《建军大业》排映工作的通知（如下图），通知要求各影城给予大力支持，并提出两点建议，一是保证该影片上映的首周末排片不低于45%，二是保持该影片的上映期间的排片的稳定性,5,媒体新闻,c,1
中国电影,        对于该消息的真实性，金融界网站分别致电了中影南方新干线、中国电影，中影南方新干线方面有工作人员开始称有下发过通知，但后改口说不清楚，而中国电影方面则表示有关注到这个新闻，但不知情,5,媒体新闻,c,1
中国电影,第一是“各影城”，这是单指中影南方新干线旗下的影院呢，还是说包括中国电影旗下的其他影院，《通知》里未讲明白,5,媒体新闻,c,1
中国电影,而中国电影16年的财报显示，公司拥有107家控股影院和13家参股影院,5,媒体新闻,c,1
中国电影,川财证券分析师欧阳宇剑在7月7日的调研纪要中表示，中国电影占目前放映市场1/3的市场份额,5,媒体新闻,c,1
中国电影,    金融界网站对近三年的年度票房前三甲做了一份统计，以万达和星美（中国电影控股）的排片为例，在9部影片中，有5部的排名率高于45%，其中国产电影只有两部，其余三部为国外超级IP承包,5,媒体新闻,c,1
中国电影,        综上可知，一旦《建军大业》得到包括中国电影在内的各大影院、院线的支持，加上有不低于45%的排片率和稳定性作保障，追赶《建国大业》和《建党大业》4亿元的票房成绩问题应该不大,5,媒体新闻,c,1
中国电影,    市值缩水420亿    回到中国电影的层面看，拿到一个好的票房是再美不过的了,5,媒体新闻,c,1
中国电影,    中国电影市场经过连续13年两位数的快速增长（均值35.49%），2016年遭遇寒冬，电影总票房降至个位数，增长率仅3.73%，而2015年的增幅还高达48.89%，这从多家影视类上市公司交出的财报可深切感受,5,媒体新闻,c,1
中国电影,    而就中国电影本身而言，其交出的成绩单也不理想,5,媒体新闻,c,1
中国电影,    更进一步看，根据中国电影在16年财报中披露的17年计划出品并投放市场的15部作品信息，目前已经上映的作品共有7部，进口片《速度与激情8》斩获26.94亿元的票房，排名第一，合计票房61.12亿元,5,媒体新闻,c,1
