keywords,sentence,article_no,source,title or content
中国软件,　　中国证券网讯（记者 朱先妮）记者从长亮科技(行情300348，诊股)获悉，公司近日入选“2017中国软件(行情600536，诊股)与信息技术服务综合竞争力百强企业”,0,媒体新闻,c,1
中国软件,　　据悉，该名单于近期由中国电子信息行业联合会和中国软件行业协会共同发布，获评企业经过一系列评选得出，是中国软件行业先锋代表团队,0,媒体新闻,c,1
中国软件,长亮科技入选中国软件与信息技术服务综合竞争力百强企业,0,媒体新闻,t,1
中国软件,　　中国软件国际（00354）发布公告，就有关增发9亿港元可换股票据，订购协议的所有条件已经达成，公司亦已于2017年7月3日向最终认购方发行本金总额为9亿港元可换股票据,2,媒体新闻,c,1
中国软件,中国软件国际完成增发9亿港元可换股票据,2,媒体新闻,t,1
中国软件,　　中国软件公司一百强，华为蝉联第一　　一年一度的中国一百强软件公司排名又已经揭晓，其中我们不乏看到熟悉的身影,3,媒体新闻,c,1
中国软件,中国软件公司一百强榜单公布 华为蝉联第一 TAB占据二、四、七（附榜单）,3,媒体新闻,t,1
中国软件,　　中国软件国际（00354-HK）公布，订购协议（已经由补充协议加以补充）的所有条件已经达成，而认购事项亦已经于2017年7月3日完成,4,媒体新闻,c,1
中国软件,中国软件国际(00354-HK)完成发行9亿港元可换股票据,4,媒体新闻,t,1
中国软件,昨日下午，2017软博会第二场峰会“2017中国软件(行情600536，诊股)和信息技术服务综合竞争力百强企业发布”召开，在会上正式公布了2017年中国软件企业百强榜单,5,媒体新闻,c,1
中国软件,                                                                 标签：                                中国软件                                百强企业榜                                华为                         ,5,媒体新闻,c,1
中国软件,2017年中国软件百强企业榜单发布：华为名列第一,5,媒体新闻,t,1
中国软件,6月29日，2017中国软件和信息技术服务综合竞争力百强企业发布会在京召开,6,媒体新闻,c,1
中国软件,　　中国证券网讯（记者 李小兵）6月29日，2017中国软件和信息技术服务综合竞争力百强企业发布会在京召开,6,媒体新闻,c,1
中国软件,2017年中国软件百强名单发布,6,媒体新闻,t,1
中国软件,　　中国证券网讯（记者 李小兵）6月29日，2017中国软件(行情600536，诊股)和信息技术服务综合竞争力百强企业发布会在京召开,7,媒体新闻,c,1
中国软件,2017年中国软件百强名单发布,7,媒体新闻,t,1
中国软件,　　2017年6月29日下午，第二十一届中国国际软件博览会（以下简称2017软博会）第二场全球软件产业发展高峰论坛暨“2017中国软件(行情600536，诊股)和信息技术服务综合竞争力百强企业发布”在北京展览馆举行,8,媒体新闻,c,1
中国软件,　　中国电子信息行业联合会执行秘书长高素梅主持该场高峰论坛，并公布2017中国软件和信息技术服务综合竞争力百强企业名单,8,媒体新闻,c,1
中国软件,600271，诊股)股份有限公司　　6 浪潮集团有限公司　　7 百度在线网络技术（北京）有限公司　　8 中软国际有限公司　　9东软集团(行情600718，诊股)股份有限公司　　10 京东集团　　11 中国软件与技术服务股份有限公司　　12 网易（杭州）网络有限公司　　13 南京南瑞集团公司　　14 杭州海康威视(行情002415，诊股)数字技术股份有限公司　　15 浙江大华技术股份有限公司　　16,8,媒体新闻,c,1
中国软件,2017中国软件和信息技术服务综合竞争力百强企业发布,8,媒体新闻,t,1
中国软件,"<IMAGE SRC=""http://i9.hexun.com/2017-06-23/189763651.png"" >中国软件高管列表　　和讯股票（微信号：istocknews）消息 中国软件6月23日晚间发布澄清公告，公司总经理周进军先生、高级副总经理徐洁女士、高级副总经理韩乃平先生、高级副总经理王定健先生于201",9,媒体新闻,c,1
中国软件,曾任中国软件与技术服务股份有限公司系统集成总部技术总监，2004年1月任中国软件与技术服务股份有限公司副总经理，2010年1月任中国软件与技术服务股份有限公司高级副总经理，2012年7月至今任中国软件与技术服务股份有限公司董事、总经理,9,媒体新闻,c,1
中国软件,1976年12月参加工作，曾在中国人民解放军某部、北京华网公司工作，2003年1月任中国软件与技术服务股份有限公司安全行业部总经理，2008年8月任中国软件与技术服务股份有限公司子公司北京中软信息系统工程有限公司(后更名为中软信息系统工程有限公司、简称“中软系统工程”)总经理，200,9,媒体新闻,c,1
中国软件,中国软件多为高管辞职 周进军辞去总经理职务谌志华接任,9,媒体新闻,t,1
中国软件,"<IMAGE SRC=""http://i5.hexun.com/2017-06-05/189492907.png"" >中国软件 杨军　　和讯股票（微信号：istocknews）消息 中国软件6月5日晚间公告，公司董事会收到董事长杨军先生的辞职报告，因工作原因，请求辞去公司董事、董事长、董事会战略委员会主任委员职务",10,媒体新闻,c,1
中国软件,现任中国电子信息产业集团有限公司党组成员、副总经理，兼任中国软件与技术服务股份有限公司董事长,10,媒体新闻,c,1
中国软件,中国软件董事长杨军辞职 现任中国电子副总,10,媒体新闻,t,1
中国软件,    看到软博会，看到中国软件行业协会，看到我们中国软件网自己主办的中国软件生态大会，我都会忍不住思考一个问题：在互联网、云计算、物联网、移动互联网等新技术新模式的推动下，中国的软件产业会走向何方?独立的软件产业还会存在吗?    1    21年以前，中国的软件产业是什么样呢?    我在网上查到一个统计数据,12,媒体新闻,c,0
中国软件,    根据工信部的统计数据：2016年，中国软件产业总收入达到4.85万亿元，通过双软认定的软件企业达到4.27万家，全国软件从业人员达到570多万人，超过万人的软件企业已有数十家,12,媒体新闻,c,0
中国软件,它是否能再续上次转型的辉煌，引领并带动中国软件产业的再一次升级?    2    从财务软件向ERP、向管理软件转型，其背后的根本原因是用户的需求推动,12,媒体新闻,c,0
中国软件,    再过20年，2037年，中国软件产业会变成什么样?    或许到那个时候，独立的软件产业只是很小的一部分，软件更多地变成了一个赋能工具，它嵌入到了社会生活、经济运行的方方面面，它更多地融合到了统一的企业服务之中,12,媒体新闻,c,0
中国软件,用友云能否引领中国软件行业转型升级？,12,媒体新闻,t,0
