keywords,sentence,article_no,source,title or content
乐视网,"”<IMAGE SRC=""http://img.mp.itc.cn/upload/20170807/8ad72f69998c4baa8cb1ca7b05439587_th.jpg"" >▲图自@贾跃亭 新浪微博上个月，中国建设北京光华支行以金融借款合同纠纷为由，向法院申请财产保全，请求查封、扣押或冻结乐视网、贾跃亭、乐视控股、贾跃民（贾跃亭之兄）2.5亿元的财产",1,媒体新闻,c,1
乐视网,今年6月份，贾跃亭夫妇及乐视系3家公司12.37亿资产被司法冻结，并且贾跃亭所持乐视网股份也遭冻结，价值159亿元,1,媒体新闻,c,1
乐视网,　　2016年，暴风集团与乐视网(行情300104，诊股)双双亏损，这也成为两家公司上市以来的首度亏损,2,媒体新闻,c,1
乐视网,"　　<IMAGE SRC=""http://getimg.jrj.com.cn/images/2017/08/weixin/one_20170807173539284.jpg"" >　　乐视网业务模式来源：同花顺　　同样在“大屏”业务上踩雷：　　乐视网净利润的下滑，主要归因于乐视致新净利润亏损6亿多元",2,媒体新闻,c,1
乐视网,　　负债率相似：　　截止到2016年年底，暴风集团和乐视网的总负债分别为17.33亿元、217.52亿元，负债率分别为67.69%、67.48%,2,媒体新闻,c,1
乐视网,　　虽然暴风集团较乐视网的负债总额少200亿元，但是还债压力依旧不轻松，数据显示，暴风集团上市以来募集的资金总额不超过4亿元，而乐视网则超过85亿元,2,媒体新闻,c,1
乐视网,　　现金流均为负值：　　2016年，暴风集团、乐视网由经营活动产生的现金流量净额分别为-1.75亿元、-10.68亿元；　　投资活动产生的现金流量净额分别为-4.7亿元、-96.75亿元；　　筹资活动所产生的现金流量净额分别为4.79亿元、94.77亿元,2,媒体新闻,c,1
乐视网,　　乐视，2015年5月12日，也同样创造“神话”，乐视网（300104）股价在当日以179.03元/股收盘，总市值达1505.98亿元，市盈率为402倍,5,媒体新闻,c,1
乐视网,乐视网在今年4月14日股价跌至30.68元/股，总市值为611.98亿元,5,媒体新闻,c,1
乐视网,"<IMAGE SRC=""http://u.thsi.cn/fileupload/data/Input/2017/8896711f5d71b1ff01c7651130b3b3d5.jpeg"" >　　乐视网　　与此前的最高股价相比，暴风的市值缩水了超过300亿元，乐视则缩水了近900亿元",5,媒体新闻,c,1
乐视网,　　数据对比一下就会发现，暴风集团与乐视网2016年双双首度亏损,5,媒体新闻,c,1
乐视网,"AGE SRC=""http://u.thsi.cn/fileupload/data/Input/2017/e1f2e20e978375cd2522ed7fa939a1b8.jpeg"" >　　暴风集团和乐视网双双亏损都是因为公司同一板块:电视!!!　　暴风集团公布了2017年半年度业绩预告，预计归属上市公司股东的净利润将比上年同期下降0%至30%;2016年下半年以来，上游电视面板等原材料价格大幅上",5,媒体新闻,c,1
乐视网,　　乐视网是因乐视致新公司(乐视超级电视)净利润亏损6亿多元，才直接导致了乐视网净利润的下滑,5,媒体新闻,c,1
乐视网,　　据《证券时报》报道，一名高管透露，“乐视非上市体系公司在经过一轮又一轮的裁员后，目前员工人数大幅减少，由于乐视旗下公司人员变化太大，整体数目无法确定，但一年整体员工薪酬应超过乐视网，加上此前乐视对部分员工的欠薪，此次乐视支付员工薪酬将达几千万元，资金压力还是很大的,6,媒体新闻,c,1
