keywords,sentence,article_no,source,title or content
全新好,　　7月17日，停牌半年之久的全新好(行情000007，诊股)终于正式复牌,0,媒体新闻,c,1
全新好,而这也是全新好针对港澳资讯进行的第二次收购,0,媒体新闻,c,1
全新好,　　公开资料显示：2015年年末，全新好即开始筹划以发行股份加支付现金的方式收购港澳资讯股权，但这一收购事项随着重组新规的改变戛然而止，并于2016年7月，公告披露终止这项重组,0,媒体新闻,c,1
全新好,而在2017年1月，全新好再度停牌筹划资产重组，拟收购标的依然为港澳资讯，与之前所不同的是，全新好这次将通过并购基金来购买港澳资讯股份,0,媒体新闻,c,1
全新好,全新好为何如此看好港澳资讯,0,媒体新闻,c,1
全新好,港澳资讯在全新好进一步推进产业转型升级的发展战略中又扮演着怎样的角色,0,媒体新闻,c,1
全新好,　　智能数据变革的来临　　根据资料显示：此前全新好主营业务为旅游饮食业、商品贸易业（矿产品）、物业管理和房屋租赁业及停车场经营等,0,媒体新闻,c,1
全新好,而如果全新新好与港澳资讯能顺利完成重组，可以实现能量的聚合，依靠双方的力量，形成全新好与港澳资讯相互促进的良好格局,0,媒体新闻,c,1
全新好,”　　因此，全新好之所以看好港澳资讯，不仅因为其业务和资源与公司战略布局高度吻合，能够推动公司在主营业务方面的全面转型，对公司业绩增长将起到积极促进作用，同时还有其技术和多年数据的积累，如进一步深加工和挖掘，未来发展潜力巨大，可为公司可持续发展创造便利条件,0,媒体新闻,c,1
全新好,全新好收购港澳资讯 布局智能数据领域,0,媒体新闻,t,1
全新好,　　7月17日，停牌半年之久的全新好（000007.SZ）终于正式复牌,1,媒体新闻,c,1
全新好,而这也是全新好针对港澳资讯进行的第二次收购,1,媒体新闻,c,1
全新好,　　公开资料显示：2015年年末，全新好即开始筹划以发行股份加支付现金的方式收购港澳资讯股权，但这一收购事项随着重组新规的改变戛然而止，并于2016年7月，公告披露终止这项重组,1,媒体新闻,c,1
全新好,而在2017年1月，全新好再度停牌筹划资产重组，拟收购标的依然为港澳资讯，与之前所不同的是，全新好这次将通过并购基金来购买港澳资讯股份,1,媒体新闻,c,1
全新好,全新好为何如此看好港澳资讯,1,媒体新闻,c,1
全新好,港澳资讯在全新好进一步推进产业转型升级的发展战略中又扮演着怎样的角色,1,媒体新闻,c,1
全新好,　　智能数据变革的来临　　根据资料显示：此前全新好主营业务为旅游饮食业、商品贸易业（矿产品）、物业管理和房屋租赁业及停车场经营等,1,媒体新闻,c,1
全新好,而如果全新新好与港澳资讯能顺利完成重组，可以实现能量的聚合，依靠双方的力量，形成全新好与港澳资讯相互促进的良好格局,1,媒体新闻,c,1
全新好,”　　因此，全新好之所以看好港澳资讯，不仅因为其业务和资源与公司战略布局高度吻合，能够推动公司在主营业务方面的全面转型，对公司业绩增长将起到积极促进作用，同时还有其技术和多年数据的积累，如进一步深加工和挖掘，未来发展潜力巨大，可为公司可持续发展创造便利条件,1,媒体新闻,c,1
全新好,　　7月17日，停牌半年之久的全新好（000007.SZ）终于正式复牌,1,媒体新闻,c,1
全新好,而这也是全新好针对港澳资讯进行的第二次收购,1,媒体新闻,c,1
全新好,　　公开资料显示：2015年年末，全新好即开始筹划以发行股份加支付现金的方式收购港澳资讯股权，但这一收购事项随着重组新规的改变戛然而止，并于2016年7月，公告披露终止这项重组,1,媒体新闻,c,1
全新好,而在2017年1月，全新好再度停牌筹划资产重组，拟收购标的依然为港澳资讯，与之前所不同的是，全新好这次将通过并购基金来购买港澳资讯股份,1,媒体新闻,c,1
全新好,全新好为何如此看好港澳资讯,1,媒体新闻,c,1
全新好,港澳资讯在全新好进一步推进产业转型升级的发展战略中又扮演着怎样的角色,1,媒体新闻,c,1
全新好,　　智能数据变革的来临　　根据资料显示：此前全新好主营业务为旅游饮食业、商品贸易业（矿产品）、物业管理和房屋租赁业及停车场经营等,1,媒体新闻,c,1
全新好,而如果全新新好与港澳资讯能顺利完成重组，可以实现能量的聚合，依靠双方的力量，形成全新好与港澳资讯相互促进的良好格局,1,媒体新闻,c,1
全新好,”　　因此，全新好之所以看好港澳资讯，不仅因为其业务和资源与公司战略布局高度吻合，能够推动公司在主营业务方面的全面转型，对公司业绩增长将起到积极促进作用，同时还有其技术和多年数据的积累，如进一步深加工和挖掘，未来发展潜力巨大，可为公司可持续发展创造便利条件,1,媒体新闻,c,1
全新好,揭秘：全新好为何如此看好港澳资讯,1,媒体新闻,t,1
全新好,    本报记者 韩一奇 北京报道    随着7月16日晚间的一纸公告，自今年1月13日起便停牌筹划重大资产重组事项的全新好（000007.SZ）的收购标的终于浮出水面,2,媒体新闻,c,1
全新好,    令市场稍感意外的是，此次全新好重大资产重组标的仍为海南港澳资讯产业股份有限公司（下称“港澳资讯”）,2,媒体新闻,c,1
全新好,    事实上，这是全新好针对港澳资讯进行的第二次收购，亦是港澳资讯第三次试图登陆A股,2,媒体新闻,c,1
全新好,在全新好第一次重组计划之前，港澳资讯就曾寄希望通过创新资源（600193.SH）实现证券化之路未果,2,媒体新闻,c,1
全新好,    2016年1月，全新好停牌，拟发行股份收购港澳资讯100%股权，并于同年6月发布了重组预案,2,媒体新闻,c,1
全新好,”全新好董秘陈伟彬7月17日接受21世纪经济报道记者采访时表示,2,媒体新闻,c,1
全新好,    据悉，全新好目前主营业务为物业管理和房屋租赁业，由于外部环境影响，经营持续出现下滑，确立了向金融信息服务业转型的战略,2,媒体新闻,c,1
全新好,    值得指出的是，针对全新好对于港澳资讯的收购，最引起市场关注的还有昔日“打工皇帝”唐骏在港澳资讯中扮演的角色,2,媒体新闻,c,1
全新好,但是全新好收购港澳资讯的脚步并没有停歇,2,媒体新闻,c,1
全新好,    2016年12月，全新好董事会审议决定，以公司自有资金出资，现金8840万元收购港澳资讯850万股，持股比例合计6.8%,2,媒体新闻,c,1
全新好,    在随后向深交所的回复函中，全新好亦表示，未来公司不排除进一步收购港澳资讯股权的可能性,2,媒体新闻,c,1
全新好,    直至7月16日，停牌半年的全新好披露重组标的仍为港澳资讯,2,媒体新闻,c,1
全新好,    但有了前车之鉴后，此次再度重启收购有关资产时，有一个细节颇值得注意，就在7月13日，全新好公告披露，为进一步推进战略转型，提升公司对外投资能力，拟通过公司全资子公司深圳德福联合金融控股有限公司与西藏厚元资本管理有限公司合作，共同发起设立“大数据”和国际数据中心产业并购基金，以投资和发展国际数据中心业务,2,媒体新闻,c,1
全新好,    值得指出的是，不同于第一次收购计划，此次全新好针对港澳资讯的收购不再通过发行股份的方式,2,媒体新闻,c,1
全新好,据全新好7月16日公司披露的信息显示，此次其拟通过并购基金以支付现金的方式购买港澳资讯的股权，不涉及发行股份和募集配套资金,2,媒体新闻,c,1
全新好,    结合拟设立基金的名称和港澳资讯的业务来看，该新设立的“大数据”并购基金或正是全新好为顺利推进收购港澳资讯事宜而所做的准备,2,媒体新闻,c,1
全新好,”全新好董秘陈伟彬对此表示,2,媒体新闻,c,1
全新好,但在全新好针对港澳资讯的第一次收购计划中，监管层亦曾就唐骏和港澳资讯关系向全新好发布问询函,2,媒体新闻,c,1
全新好,”全新好董秘陈伟彬表示,2,媒体新闻,c,1
全新好,全新好再购港澳资讯 “打工皇帝”唐骏角色待考,2,媒体新闻,t,1
