keywords,sentence,article_no,source,title or content,
北京城乡,王府井收购北京城乡才是唯一正确的选择,0,国内论坛,c,2
北京城乡,王府井收购北京城乡才是唯一正确的选择。,0,国内论坛,t,2
北京城乡,如徐家汇、杭州解百、中兴商业、北京城乡等；（c）实体B2B 市场类公司具有深厚的市场/仓储、商户&用户、交易额和交易场景资源，数据、金融、物流及衔接B2C 等的价值巨大,1,国内新闻,c,2
北京城乡,"0-2.85
002788鹭燕医药-2.091.8760.7260.96-0.4058.46-4.10
000632三木集团-4.321.038.338.36-0.397.98-4.56
600861北京城乡-1.650.3815.2815.34-0.3914.88-3.02
002141蓉胜超微-2.621.2910.5010.54-0.3910.04-4.77
600455博通股份-3.810",2,国内新闻,c,1
北京城乡,央企改革推进速度较快，飞亚达A 有望受益；北京出台《关于市属国有控股混合所有制企业开展员工持股试点的实施办法》，相关企业公司治理结构有望进一步完善，推荐首商股份、北京城乡、翠微股份,3,国内新闻,c,1
北京城乡,"4.33-4.05
000632三木集团-4.561.868.328.36-0.427.96-4.77
000739普洛药业-0.930.167.557.58-0.407.43-1.98
600861北京城乡-1.650.5615.2815.34-0.3914.88-3.02
603198迎驾贡酒-2.710.8521.7421.82-0.3921.22-2.76
600130波导股份-0.660",4,国内新闻,c,1
北京城乡,"王府井跌着跌着停牌重组了，北京城乡似乎要重蹈覆辙
主力暗中吸筹",5,国内论坛,c,1
北京城乡,王府井跌着跌着停牌重组了，北京城乡似乎要重蹈覆辙,5,国内论坛,t,1
北京城乡,"如徐家汇、杭州解百、中兴商业、北京城乡等；③实体B2B 市场类公司如小商品城、轻纺城、海宁皮城等
　　（3）传统百货零售股的机会
　　我们最近一两个季度一直在讲，并在年度策略报告中正式提出且明确表达了看好2017 年传统百货零售股",6,国内新闻,c,1
北京城乡,"
　　我们主要推荐鄂武商、天虹商场、欧亚集团，关注王府井（停牌中）、北京城乡、银座股份、合肥百货等",6,国内新闻,c,1
北京城乡,"
　　北京城乡：物业重估价值高，关注国改潜力
　　研究机构：海通证券
　　商业经营立足北京，地产贡献新增量",7,国内新闻,c,2
北京城乡,"1-2.11
300236上海新阳-1.701.4138.2938.38-0.2437.06-3.44
600810神马股份-5.885.429.859.88-0.239.28-6.03
600861北京城乡0.000.9515.3315.37-0.2315.13-1.56
300488恒锋工具1.554.0677.9778.14-0.2277.18-1.23
600628新 世 界0.070.6",8,国内新闻,c,1
北京城乡,"558大西洋、600618氯碱化工、600636三爱富、600644乐山电力、600758红阳能源、600819耀皮玻璃、600822上海物贸、600824益民集团、600843上工申贝、600861北京城乡、600894广日股份、601107四川成渝、601727上海电气、603167渤海轮渡
PPP再获顶层设计支持 8只概念股望受益
国家发展和改革委员会有关负责人表示，将积极推进符合条件的PP",9,国内博客,c,1
北京城乡,推荐鄂武商、天虹商场、欧亚集团，关注王府井（停牌中）、北京城乡、银座股份、合肥百货、津劝业等,10,国内微信,c,1
北京城乡,央企改革推进速度较快， 飞亚达 A 有望受益；北京出台《关于市属国有控股混合所有制企业开展员工持股试点的实施办法》，相关企业公司治理结构有望进一步完善，推荐首商股份、北京城乡、翠微股份,11,国内论坛,c,1
北京城乡,"903913.png"" >
　　王亚伟新进国改概念股，重仓布局国企改革
　　格上理财数据统计，王亚伟旗下的昀沣系列产品三季度新进天威视讯(行情002238，买入)、第一医药(行情600833，买入)、北京城乡(行情600861，买入)和国机通用(行情600444，买入)4只个股，分别持有341万股、292万股、160万股和95万股，歌华有线(行情600037，买入)三季度加仓60万股",12,国内新闻,c,1
北京城乡,王亚伟三季度新进个股大多为国企改革概念，其中，第一医药是上海国企改革概念股，北京城乡是北京国企改革概念股，天威视讯为深圳国企改革概念股,12,国内新闻,c,1
北京城乡,"
　　北京城乡为北京区域第五大百货零售企业，公司业务涵盖百货、超市、物业租赁、酒店、购物中心等多种商业业态",12,国内新闻,c,2
北京城乡,截至2016年12月23日，第一医药自三季度以来上涨23.02%，国机通用上涨14.61%，北京城乡上涨12.99%，国企改革概念股整体表现较好,12,国内新闻,c,1
北京城乡,"903913.png"" >
　　王亚伟新进国改概念股，重仓布局国企改革
　　格上理财数据统计，王亚伟旗下的昀沣系列产品三季度新进天威视讯(行情002238，买入)、第一医药(行情600833，买入)、北京城乡(行情600861，买入)和国机通用(行情600444，买入)4只个股，分别持有341万股、292万股、160万股和95万股，歌华有线(行情600037，买入)三季度加仓60万股",13,国内新闻,c,1
北京城乡,王亚伟三季度新进个股大多为国企改革概念，其中，第一医药是上海国企改革概念股，北京城乡是北京国企改革概念股，天威视讯为深圳国企改革概念股,13,国内新闻,c,1
