keywords,sentence,article_no,source,title or content
北京文化,　　顶尖财经网(www.58188.com)2017-8-7 21:17:14讯：　　市值飙升50亿后，北京文化（000802）的高管们打算减持了,0,媒体新闻,c,1
北京文化,　　8月7日，北京京西文化旅游股份有限公司（000802，北京文化）发布了关于董事、高级管理人员减持预披露公告,0,媒体新闻,c,1
北京文化,　　公告显示，北京文化董事丁江勇、副总裁邓勇、副总裁杜扬、副总裁兼董事会秘书陈晨、财务总监于晓萍于2017年8月7日向公司提交《股份减持计划告知函》，计划在本公告披露之日起15个交易日后的6个月内（窗口期不得减持），通过证券交易所集中竞价或者大宗交易等方式，减持公司股份合计不超过1，436，525股（占公司总股本比例为0.1978%）,0,媒体新闻,c,1
北京文化,<IMG alt=战狼2票房冲破30亿后 发行方北京文化公布高管减持计划 src=http://img1.gtimg.com/stock/pics/hv1/56/83/2230/145026971.jpg>　　北京文化遭高管减持　　根据公告介绍，丁,0,媒体新闻,c,1
北京文化,　　按照北京文化8月7日收盘股价21.14元/股计算，五位高管共可减持套现约3036.8万元,0,媒体新闻,c,1
北京文化,　　北京文化全称北京京西文化旅游股份有限公司，该公司的主营业务已由原有的旅游，逐渐转型到涵盖电影、电视剧、艺人经纪、综艺、新媒体及旅游文化的全产业链,0,媒体新闻,c,1
北京文化,在《战狼2》中，北京文化是联合出品方、保底发行方以及宣发主控方,0,媒体新闻,c,1
北京文化,　　值得提出的是，北京文化是票房黑马《战狼2》的发行主控发,0,媒体新闻,c,1
北京文化,根据去年8月披露的《电影发行合伙协议》，以8亿元、15亿元的票房为梯度，《战狼2》的出品方和发行方分别享受不同的票房分成比例，根据华创证券的计算，当《战狼2》票房达到35亿时，北京文化保底发行的毛毛利润将达到1.29亿元，如果《战狼2》票房有望破50亿，北京文化将有1.74亿的毛利润进账,0,媒体新闻,c,1
北京文化,而北京文化的股价在7月27日《战狼2》上映首日还仅为14.13元/股，截至8月7日收盘，北京文化的股价已经飙升至21.14元/股，市值上浮了约50亿元,0,媒体新闻,c,1
北京文化,战狼2票房冲破30亿后 发行方北京文化公布高管减持计划,0,媒体新闻,t,1
北京文化,摘要【北京文化8个交易日涨近六成 部分董事及高管拟高位减持】东方财富网7日讯，北京文化(000802)8月7日晚公告，公司董事丁江勇、副总裁邓勇、副总裁杜扬、副总裁兼董事会秘书陈晨、财务总监于晓萍于8月7日向公司提交《股份减持计划告知函》,1,媒体新闻,c,1
北京文化,　　北京文化(000802)8月7日晚公告，公司董事丁江勇、副总裁邓勇、副总裁杜扬、副总裁兼董事会秘书陈晨、财务总监于晓萍于8月7日向公司提交《股份减持计划告知函》，拟在公告披露之日起15个交易日后的6个月内，减持公司股份合计不超过143.65万股(占公司总股本0.1978%),1,媒体新闻,c,1
北京文化,注：《战狼2》的火爆引燃了发行方的股价，自7月27日以来，影片发行方北京文化股价累计涨幅达56%,1,媒体新闻,c,1
北京文化,北京文化8个交易日涨近六成 部分董事及高管拟高位减持,1,媒体新闻,t,1
北京文化,摘要【北京文化借战狼2爆赚2亿 有股东疑似趁机套现】周一盘后交易数据显示，各有1家机构分别对北京文化进行了买入和卖出，但净卖出为243万元,2,媒体新闻,c,1
北京文化,（一财网）　　周一盘后交易数据显示，各有1家机构分别对北京文化进行了买入和卖出，但净卖出为243万元,2,媒体新闻,c,1
北京文化,"<IMAGE SRC=""http://z1.dfcfw.com/2017/8/7/20170807175801466757874.jpg"" >　　盘面上，北京文化早盘一度大战逾8%，最高至22.50元",2,媒体新闻,c,1
北京文化,　　作为《战狼2》的保底发行方的北京文化，按照目前票房可盈利1.51亿元,2,媒体新闻,c,1
北京文化,　　受此影响，北京文化7月27日(《战狼2》上映日)至今涨幅超过55%，市值增加近60亿元,2,媒体新闻,c,1
北京文化,　　值得注意的是，在本轮上涨中，今日并不是机构第一次卖出北京文化,2,媒体新闻,c,1
北京文化,　　一季报显示，北京文化前十大流通中，持仓数量高于1093万股的只有控股股东中国华力控股集团有限公司、全国社保基金一零四组合及自然人股东王绍林,2,媒体新闻,c,1
北京文化,"<IMAGE SRC=""http://z1.dfcfw.com/2017/8/7/201708071758011882862153.jpg"" >　　公开资料显示，王绍林与北京文化原董事王敏为父子关系，后者已于2012年1月10日辞去了北京文化的董事职务",2,媒体新闻,c,1
北京文化,《战狼2》登顶华语电影史票房冠军 北京文化借机爆赚2亿,2,媒体新闻,t,1
北京文化,　　每经记者 刘明涛 每经编辑 叶峰　　在8月1日、8月6日的《龙虎榜上看龙虎》的栏目中，《每日经济新闻》连续报道了《战狼2》票房助北京文化(行情000802，诊股)大涨，有潜伏资金在大举卖出,3,媒体新闻,c,1
北京文化,今日，北京文化股价盘中再度创了阶段新高22.5元，而在其交易买入席位里，首次出现了机构的身影,3,媒体新闻,c,1
北京文化,　　根据深交所公开交易信息显示，南京证券股份有限公司南京大钟亭证券营业部买入2591.58万元，排在买入席位第一，一家机构席位买入1917.38万元，排在买入席位第二，这也是北京文化此次大涨以来，首次有机构出现在买入前五席位中,3,媒体新闻,c,1
北京文化,　　而在卖出席位里，申万宏源(行情000166，诊股)西部证券(行情002673，诊股)有限公司沈阳南五马路证券营业部卖出9754.29万元，排在卖出席位第一，国泰君安(行情601211，诊股)三家营业部累计卖出金额则超过1.2亿元，一机构卖出了2160.86万元，据计算，今日买卖北京文化前五席位累计净卖出金额为1.8亿元，主力资金呈现净流出状态,3,媒体新闻,c,1
北京文化,北京文化再创22.5元阶段新高 机构“首现”买入名单,3,媒体新闻,t,1
北京文化,摘要北京文化晚间公告称，公司董事丁江勇、副总裁邓勇、副总裁杜扬、副总裁兼董事会秘书陈晨、财务总监于晓萍计划在公告披露之日起15个交易日后的6个月内(窗口期不得减持)，通过集中竞价或者大宗交易等方式减持公司股份合计不超1，436，525股(占总股本比例为0.1978%),4,媒体新闻,c,1
北京文化,　　北京文化晚间公告称，公司董事丁江勇、副总裁邓勇、副总裁杜扬、副总裁兼董事会秘书陈晨、财务总监于晓萍计划在公告披露之日起15个交易日后的6个月内(窗口期不得减持)，通过集中竞价或者大宗交易等方式减持公司股份合计不超1，436，525股(占总股本比例为0.1978%),4,媒体新闻,c,1
北京文化,　　截至今日收盘，北京文化报21.14元/股，较《战狼2》上映前一天的收盘价13.54元/股上涨超56%,4,媒体新闻,c,1
北京文化,　　点击查看>>北京文化：关于董事、高级管理人员减持预披露公告(责任编辑：DF142),4,媒体新闻,c,1
北京文化,近期股价大涨 北京文化部分公司高管拟减持不超144万股,4,媒体新闻,t,1
