keywords,sentence,article_no,source,title or content
北大医药,"　　北大医药相关当事人遭全国通报　　2017-08-07MedicalClub MedicalClub<IMAGE SRC=""http://mmbiz.qpic.cn/mmbiz_gif/jsjPVMEy",0,微信,c,1
北大医药,因此， 对北大医药和时任董事长李国军予以公开谴责,0,微信,c,1
北大医药,"RTWZnvRYziaZqFVYttnLApjV7pGF9xYiaO3PicyArsa7jLbgZ2FbfCBQ/0?wx_fmt=png"" >　　　　▍ 全国通报　　　　深交所公告显示：　　经查明，北大医药股份有限公司（以下简称“北大医药”或“公司”）及相关当事人存在以下违规事实：         　　　　2013年6月至9月，北京政泉控股有限公司（以下简称“政泉控股”）与北大资源集团控股有限公",0,微信,c,1
北大医药,上述协议签订后，北大资源控股与政泉控股均未就该协议及其持有北大医药股份的变动情况及时履行披露义务,0,微信,c,1
北大医药,　　　　鉴于上述违规事实及情节，深交所作出如下处分决定：　　　　一、对北大医药股份有限公司予以公开谴责的处分；　　　　二、对北大医药股份有限公司时任董事长李国军予以公开谴责的处分,0,微信,c,1
北大医药,　　　　对于北大医药股份有限公司及相关当事人的上述违规行为和本所给予的处分，本所将记入上市公司诚信档案，并向社会公布,0,微信,c,1
北大医药,　　　　北大医药上月发布2017半年度预告，显示北大医药上年同比盈利1169.74万元,0,微信,c,1
北大医药,　　　　距离2013年已经过去了4年，北大医药在2017年的这份半年度预告中，仍只字未提股权代持问题,0,微信,c,1
北大医药,　　▍ 陈案未沉　　　　北大医药官网信息显示：北大医药股份有限公司（证券简称：北大医药，000788，SZ）是方正集团健康医疗产业——北大医疗产业集团的医药核心成员企业和中国医药重点骨干企业,0,微信,c,1
北大医药,      　　　　北大医药同时涉及医药工业、医药商业和医疗产业：　　　　医药工业方面，其在重庆两江新区拥有按国际标准cGMP建设的医药制造基地，产品涵盖抗肿瘤类、精神神经类、心血管类、免疫抑制类、抗微生物类、解热镇痛类等10多个大类100多个品种,0,微信,c,1
北大医药,　　　　与此同时，隶属北大医药医疗终端的北大国际医院，以投资45亿元人民币刷新国内单体医院的最大投资额,0,微信,c,1
北大医药,　　　　然而，2014年开始，由于北大方正与政泉控股的股权大战，北大医药股价下挫并遭遇紧急停牌,0,微信,c,1
北大医药,　　　　公开报道显示，2014年10月20日，政泉控股同时向证监会上市公司监管部、深圳证券交易所和重庆监管局发函，实名举报方正集团旗下北大医药股东“涉嫌违法关联交易和信息虚假披露”，直指方正高管李友等人涉嫌内幕交易,0,微信,c,1
北大医药,　　第三方医药服务体系麦斯康莱创始人史立臣曾评价北大医药认为，“如果不是代持案，北大医药应该已经成功转型医疗领域,0,微信,c,1
北大医药,”　　公开资料显示，北大医药于2015年11月剥离了原料药和化工资产，但由于“代持案”的影响，北大医药一度陷入非正常状态，原本的并购、重组以及定向增发等均因受到案件影响而暂停或终止,0,微信,c,1
北大医药,　　2016年年度股东大会上，北大医药高管就曾公开表示，该案件结束后，上市公司的资产整合才能正常进行,0,微信,c,1
北大医药,北大医药相关当事人遭全国通报,0,微信,t,1
北大医药,　　【盘面回顾】 　　◆北大医药涨停  主力净流入长安汽车　　昨天，沪深可供交易的42 只渝股，其中18 只上涨,1,微信,c,1
北大医药,北大医药、重庆啤酒、中房地产名列涨幅前三名,1,微信,c,1
北大医药,　　北大医药报收12.4 元，涨停，换手率2.78% ；重庆啤酒报收22.29 元，涨3.67% ，换手率0.82 % ；中房地产报收15.76 元，涨3.28 % ，换手率3.76 % ,1,微信,c,1
北大医药,　　资金方面，主力资金净流入前五名分别为长安汽车3996 万元、北大医药1791 万元、梅安森1507 万元、中国汽研406 万元、重庆啤酒358 万元,1,微信,c,1
北大医药,【渝股看台】重庆秦安股份17日A股上市  北大医药涨停主力净流入长安汽车,1,微信,t,1
北大医药,【微资讯】方正证券原CEO李友被终身市场禁入；宗庆后：企业家要积极反哺社会，让我们的财富受到社会尊敬【国内】方正证券原CEO李友被终身市场禁入，方正系四公司被罚1113万元据新京报，5月5日，证监会通报四宗案件，方正证券、方正科技、北大医药、中国高科等四家“方正系”公司被行政处罚，其中，备受关注的方正证券原CEO李友被顶格处罚30万元，同时，李友涉及多案，从重处罚，终身市场禁入,2,微信,c,1
北大医药,事实上，2014年以后，方正集团旗下4家A股上市公司北大医药、方正证券、中国高科和方正科技，相继遭证监会立案调查,2,微信,c,1
北大医药,目前因上市公司因证券虚假陈述遭受股民索赔的案例很多，像海润光伏、紫鑫药业、协鑫集成等案件股票都取得了满意的赔偿，符合条件的股民不可错过索赔机会，这次被处罚的“方正系”公司如中国高科、方正证券，北大医药四个股票的投资者也可依法发起索赔,3,微信,c,1
北大医药,　　【盘面回顾】　　◆远达环保涨幅第一    主力净流入华邦健康梅安森　　昨天，沪深可供交易的47 只渝股，其中15 只上涨，远达环保、北大医药、金科股份名列涨幅前三名,4,微信,c,1
北大医药,　　远达环保报收12.73 元，涨3.16% ，换手率7.73 % ；北大医药报收11.05 元，涨3.08% ，换手率0.83 % ，金科股份报收6.74 元，涨2.28 % ，换手率3.17 % ,4,微信,c,1
北大医药,.23% ）　　中源协和(600645)： 2017一季报已出（ 净利润1.77千万，同比扭亏为盈 ）　　海欣股份(600851)： 2017一季报已出（ 净利润1.02千万，同比增7.50% ）　　北大医药(000788)：　　1. 2017一季报已出（净 利润696万，同比增3.01% ）　　2. 聘李琳为证代　　老百姓(603883)：　　1. 2017一季报已出（ 净利润1.13亿，同比增,5,微信,c,1
北大医药,　　重庆有7 家已上市的医药企业，分别为太极集团、北大医药、华邦健康、莱美药业、智飞生物、福安药业、博腾股份,6,微信,c,1
北大医药,　　作者：《中国经营报》记者   王迎春　　事情过去两年有余，但北大医药的不少投资人仍忘不了2014年11月首个交易日的情景，令人惊恐,7,微信,c,1
北大医药,52分钟后，北大医药股票被实施紧急停牌,7,微信,c,1
北大医药,深度发掘发现，北大医药（000788）6.71%股份代持关系的背后，是李友与郭文贵之间的一段甜蜜时光,7,微信,c,1
北大医药,　　　　为了引入新的战略投资者，增加股份的流动性，以引进新的资金，2013 年6 月4 日，北大医药（000788 ）的关联股东——北大医疗产业集团有限公司拿出对北大医药11.75% ，向社会公开征集受让方,7,微信,c,1
北大医药,　　　　也就是说，政泉控股获取北大医药6.71% 的股份，钱则由方正集团、北大资源集团以及北大资源集团控股有限公司共同出钱,7,微信,c,1
北大医药,6.71% 股权对应4000 万股北大医药股份,7,微信,c,1
北大医药,　　　　解押之后，政泉控股迅速出清所有对北大医药持股，交易额5.576 亿，这笔钱转入北大资源集团控股有限公司帐上,7,微信,c,1
北大医药,　　　　对北大医药的减持正是由李友指挥,7,微信,c,1
北大医药,　　　　上述持股交易于2013 年9 月完成，半年之后，北大医药启动重大资产重组，引入新的资产,7,微信,c,1
北大医药,北大医药代持案始末：李友一年获利1.9亿元,7,微信,t,1
北大医药,　　方正证券原CEO李友被终身市场禁入；39岁的马克龙击败极右翼领导人勒庞，成法国最年轻总统|早报　　【国内】　　方正证券原CEO李友被终身市场禁入，方正系四公司被罚1113万元　　据新京报，5月5日，证监会通报四宗案件，方正证券、方正科技、北大医药、中国高科等四家“方正系”公司被行政处罚，其中，备受关注的方正证券原CEO李友被顶格处罚30万元，同时，李友涉及多案，从重处罚，终身市场禁入,8,微信,c,1
北大医药,事实上，2014年以后，方正集团旗下4家A股上市公司北大医药、方正证券、中国高科和方正科技，相继遭证监会立案调查,8,微信,c,1
北大医药,金融整肃：证监会通报处罚方正证券，CEO李友终身市场禁入5月5日，证监会通报四宗案件，方正证券、方正科技、北大医药、中国高科等四家“方正系”公司被处罚，案件主要涉及上市公司未依法披露关联关系、关联交易以及持股变动未依法披露等违法违规行为，四案罚款金额共计1113万元,9,微信,c,1
北大医药, 方正集团旗下四家上市公司方正证券、方正科技、北大医药、中国高科 收到证监会发来的《行政处罚决定书》,10,微信,c,1
北大医药,　　方正科技、中国高科、方正证券、北大医药被顶格处罚或引发股民集体索赔　　商报讯 5月5日，证监会通报对方正证券信息披露违法等4案作出行政处罚和市场禁入,11,微信,c,1
北大医药,每日商报财经律师团浙江裕丰律师事务所厉健告诉记者，方正证券、方正科技、北大医药、中国高科投资者索赔全面启动，符合条件者可以起诉索赔损失,11,微信,c,1
北大医药,　　北大医药索赔条件：在2013年6月14日到2014年11月3日上午收盘前买入北大医药（000788），并在2014年11月3日下午卖出或继续持有股票的投资者,11,微信,c,1
北大医药,电话：13958118283（厉律师） 地址：杭州市文一西路1198号万利大厦309－310　　方正科技、中国高科、方正证券、北大医药被顶格处罚 或引发股民集体索赔,11,微信,c,1
北大医药,方正科技、中国高科、方正证券、北大医药被顶格处罚或引发股民集体索赔,11,微信,t,1
北大医药,　　最知名校企内幕故事：北大医药两股东的勾结与恶斗　　导读：2017年5月5日，证监会通告了四份行政处罚，涉及北大医药等四个上市公司数十个高管，其中的核心人物北大方正集团CEO李友除了罚款外，还遭到了证券市场终身禁入的处罚，加之之前他已内幕交易被判刑，这算是给他与另一股东的恶斗画上一个形式上的句号（两公司之间衍生的民事纠纷还没有结束）,12,微信,c,1
北大医药,　　同一天被带走的，还有方正集团高级副总裁兼上市公司北大医药董事长李国军，他是李友的胞弟,12,微信,c,1
北大医药,　　穷追猛打　　2014年10月20日，政泉控股同时向证监会上市公司监管部、深圳证券交易所和重庆监管局发函，实名举报方正集团旗下北大医药股东“涉嫌违法关联交易和信息虚假披露”，直指方正高管李友等人涉嫌内幕交易,12,微信,c,1
北大医药,政泉控股是北大医药第三大股东，持股比例为6.71%,12,微信,c,1
北大医药,　　11月2日，政泉控股在官方网站、微博自爆，公司只是方正集团的“傀儡”股东，为其子公司代持北大医药股票,12,微信,c,1
北大医药,北大医药股票也在11月3日一度跌停，公司被迫申请临时停牌,12,微信,c,1
北大医药,　　2013年4月2日，北大医药股东北大医疗产业集团有限公司（下称“北医集团”）计划公开转让北大医药股份7000万股,12,微信,c,1
北大医药,在当年6月和9月，北大方正副总郭旭光等人在李友的授意下，以政泉控股的名义受让北医集团持有的4000万股北大医药股票，交易价款为3.68亿元,12,微信,c,1
北大医药,9 月 10日，政泉控股正式成为北大医药股东,12,微信,c,1
北大医药,“方正不得已才与政泉达成代持协议，在政泉控股受让北大医药4000万股获多个部门审批后，由于（政泉控股）资金紧张，无法支付，我们只好为它协调资金，支持政泉完成了股份受让，才会有这样的结果,12,微信,c,1
