keywords,sentence,article_no,source,title or content
南京港,　　南京港地处长江与东部沿海“T”型经济发展战略带结合部，具有承启东西、贯通南北的区位优势，是长江中下游的重要枢纽,0,媒体新闻,c,1
南京港,2016年，南京港完成货物吞吐量超过一亿吨，成为长江沿线第一家突破亿吨的港口企业，集装箱吞吐量也突破了300万标箱,0,媒体新闻,c,1
南京港,　　杨联宏告诉记者，南京港（集团）有限公司将通过大力打造“中亚、中欧班列”黄金干线，充分发挥南京港“零距离”对接“一带一路”和“长江经济带”国家战略实施的优势，为区域和流域经济发展贡献自己的力量,0,媒体新闻,c,1
南京港,　　杨联宏介绍说，“南京-中亚”铁路集装箱班列自2014年8月7日开通以来，迅速在国际国内市场形成了良好反响，南京港铁水联运“零公里--无缝对接”比较优势凸现，通过南京发往中亚的集装箱量呈现爆发式增长态势，年均增幅达到了300%以上,0,媒体新闻,c,1
南京港,2017年1月至5月，南京港共完成了36列1804车的发运，是2014年总发运量的3.5倍,0,媒体新闻,c,1
南京港,　　据记者了解，南京港是长江中下游地区唯一实现水铁联运无缝对接的港口，能够快速地将京津冀、两广、江浙沪等沿海各地货物发往中亚及欧洲等国,0,媒体新闻,c,1
南京港,南京港国际班列为“一带一路”沿岸国家和地区进出口贸易企业提供了便利，也正逐步成为“丝绸之路经济带”上名副其实的“黄金干线”,0,媒体新闻,c,1
南京港,”南京港正在长江经济带区域发展中大放异彩,0,媒体新闻,c,1
南京港,　　以南京港为支点的区域港口群发展有了新的阶段，南京港与泸州、合肥、马鞍山、淮安等港口建立了区域港口群合作的平台,0,媒体新闻,c,1
南京港,　　据记者了解，南京港与长江下游七家港口企业共同发起建立协调例会制度，对接长江上游重庆、云南、贵州、四川等省市，对接东部海港合作推动江海联运服务中心建设，有助于更好地服务区域和流域经济发展，形成上中下游良性互动发展格局,0,媒体新闻,c,1
南京港,另外，南京港还在长江沿线建立若干个办事处，和当地企业组建物流公司打通新的物流通道，把物资能够更好的通过南京港转运到沿海或者国外,0,媒体新闻,c,1
南京港,目前，南京港开辟了近洋航线直通日本、韩国，今后还会开辟通往台湾海峡和东南亚的航线,0,媒体新闻,c,1
南京港,　　与此同时，南京港紧扣长江经济带绿色生态发展理念,0,媒体新闻,c,1
南京港,节能灯具、太阳能、风能、变频调速技术等一大批环保节能技术在南京港得到了广泛的推广应用，目前集团已建成岸电设施18套，总容量达到3000千瓦，成为省内目前投入岸电设备最多的港口码头，预计每年可节约燃料1800吨，减排氮氧化物104.8吨，二氧化硫57.8吨，细颗粒物4.8吨,0,媒体新闻,c,1
南京港,同时，南京港集团在2009年开始着手研究“油改电”技术，对原有全部场桥进行改造，改造后年节约能源37%，节约成本76%，全年减少二氧化碳排放2220吨，减少二氧化硫排放7.55吨,0,媒体新闻,c,1
南京港,【共舞长江经济带】通江连海，南京港打造服务“一带一路”和长江经济带区域发展重要支点-中青在线,0,媒体新闻,t,1
南京港,　　江苏拟培育特大型港航集团南京港涨停　　江苏省政府日前印发了《关于深化沿江沿海港口一体化改革的意见》，通过3-5年的努力，基本形成具有区域枢纽功能的航运物流中心，培育国内外具有影响力的特大型港航集团,1,媒体新闻,c,1
南京港,　　南京是华东地区重要的交通枢纽城市和物流中心，受南京长江大桥通航净空高度的限制，南京港成为万吨级海轮进入长江后能靠泊的最远的港口，使公司具备比其他竞争港口更优越的集疏运条件,1,媒体新闻,c,1
南京港,江苏拟培育特大型港航集团 南京港涨停,1,媒体新闻,t,1
南京港,　　证券时报网（www.stcn.com）07月06日讯　　今日早盘，港口水运板块快速走强，截止发稿，南京港(行情002040，诊股)涨8.73%，盘中一度涨停，连云港(行情601008，诊股)涨4.78%，北部湾港(行情000582，诊股)，广州港(行情601228，诊股)，大连港(行情601880,2,媒体新闻,c,1
南京港,港口水运板块快速走强 南京港涨8.73%,2,媒体新闻,t,1
南京港,　　中国证券网讯 6日早盘，港口股直线拉升，截至发稿，南京港(行情002040，诊股)大涨8.90%，连云港(行情601008，诊股)涨5.48%，北部湾港(行情000582，诊股)、大连港(行情601880，诊股)、广州港(行情601228，诊股)、厦门港务(行情000905，诊股)等个股纷纷拉升,3,媒体新闻,c,1
南京港,港口股直线拉升 南京港大涨近9%,3,媒体新闻,t,1
南京港,　　金融界网站讯 7月6日早盘， 南京港( 002040，诊股)股价涨停，并带动港口股异动拉升,4,媒体新闻,c,1
南京港,江苏拟培育特大型港航集团 南京港涨停,4,媒体新闻,t,1
南京港,"<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131605090605239.png"" >　　南京港龙潭港区　　中工网讯（记者 陈思南）7月4日，“共舞长江经济带——探访长江经济带区域协同生态发展之路”网络主题活动记者一行走进南京龙潭港区，近距离感受这区域航运物流中心",6,媒体新闻,c,1
南京港,"<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131627732744474.png"" >　　岸上的集装箱　　南京港是长三角唯一实现集装箱铁路与水路无缝对接的港口，国家实施12.5米深水航道延伸至南京工程，南京一跃成为最深入内陆的国际型深水海港",6,媒体新闻,c,1
南京港,"--------------------------------------<IMAGE SRC=""http://finance.workercn.cn/html/files/2017-07/05/20170705131646645526546.png"" >　　南京港集团有限公司副总经理杨联宏在介绍南京港情况　　熟悉南京的人们还记得，之前南京港主要的码头其中在主城区，而现在都建在离城区比较远的地方",6,媒体新闻,c,1
南京港,南京港龙潭港区是中国是由中国港口协会命名的第一批“四星级绿色港口”,6,媒体新闻,c,1
南京港,【共舞长江经济带】四星级绿色港口——南京港龙潭港区,6,媒体新闻,t,1
南京港,摘要【江苏省港口集团成立 南京港连云港等并入】5月22日，江苏省港口集团有限公司在南京正式成立,7,媒体新闻,c,1
南京港,此次纳入港口集团有南京港、连云港、苏州港、南通港、镇江港等，盐城港和无锡（江阴）港尚未纳入,7,媒体新闻,c,1
