keywords,sentence,article_no,source,title or content
同花顺,　南方基金关于旗下部分基金增加蚂蚁基金、天天基金、同花顺、新兰德、陆金所资管和蛋卷基金为代销机构及开通相关业　　　　　　　　　　　　　　　　　　　 务的公告　　　 根据南方基金管理有限公司（简称“本公司”）与蚂蚁（杭州）基金销售有限公司（简称“蚂蚁基,0,媒体新闻,c,1
同花顺,　　南方中证 500 信息技术指数交易型开放式指数证　　 开通　　　 开通 　　　　　　　　　　　　　　券投资基金发起式联接基金 C 类　　　　　　　　　　　南方创业板交易型开放式指数证券投资基金联接同花顺　　　004343　　　　　　　　　　　　　　　　　　　　　　　　 开通　　开通　　　　　　　　　　　　　　　　　　　 基金 C 类同花顺　　　004344　　　 南方大数据 100 指数证券投,0,媒体新闻,c,1
同花顺,南方基金：关于旗下部分基金增加蚂蚁基金、天天基金、同花顺、新兰德、陆...,0,媒体新闻,t,1
同花顺,　　作为同花顺（300033）旗下的专业财经自媒体平台，同顺号汇聚了众多优秀作者，知名财经名人，向股民展示了新鲜、有角度、有观点的资讯,1,媒体新闻,c,1
同花顺,"load/data/Input/2017/4a6fae1f44d3481c6f46d5521a2bbb76.jpg"" >　　小编友情提醒，前方高能广告来袭~~~　　同顺号作为专业的财经自媒体平台，借助同花顺强大的平台影响力，相信会连接自媒体作者与用户之间的桥梁，为用户带来更有价值更多样的资讯，为自媒体作者提供一个更专业更垂直的平台",1,媒体新闻,c,1
同花顺,　　好风凭借力，巨大流量，海量用户　　依托同花顺亿万级别的海量用户，强大的品牌影响力，自媒体作者创作的内容会被实时推送到官方网站、炒股PC客户端、同花顺APP等众多流量位，自媒体作者可以轻松在短时间内迅速提高个人的品牌知名度,1,媒体新闻,c,1
同花顺,　　高山流水，优质内容给对的人看　　依托同花顺智能推荐，精准推荐的机制，自媒体作者创造的内容会被推送到海量用户，真正实现与对的用户论观点，实现再小的个体也能打造自己的影响力,1,媒体新闻,c,1
同花顺,同花顺旗下自媒体平台同顺号7月人气榜单火热出炉！这些作者最受欢迎,1,媒体新闻,t,1
同花顺,　　对同花顺（300033.SZ）而言，现在可谓屋漏偏遇连夜雨，多家券商表示停止与其合作，子公司又遭证监会调查，股东也在大幅减持,2,媒体新闻,c,1
同花顺,　　作为一个连接用户和券商的第三方通道，如果被券商抛弃，同花顺将可能失去所有重要客户，通过客户掌握的流量等都将无法变现,2,媒体新闻,c,1
同花顺,　　同花顺官方对此却不以为意，有同花顺高管向无冕财经表示，合作是双向选择，对于一些不顾用户利益的券商，同花顺与其合作也会持谨慎态度,2,媒体新闻,c,1
同花顺,易观国际金融分析师田杰也向无冕财经表示，同花顺拥有数量可观的用户，会有其他券商愿意与其合作,2,媒体新闻,c,1
同花顺,　　同花顺与大型券商的博弈背后有怎样的隐情,2,媒体新闻,c,1
同花顺,同花顺真的有底气与券商分道扬镳吗,2,媒体新闻,c,1
同花顺,　　决裂背后的利益纠葛　　作为炒股软件，同花顺的优势比较明显，比如操作方便，开户佣金低，客户流量较大，田杰认为，选择同花顺，可以借助其巨大的流量开发客户，也可以通过使用三方软件，节省开发软件的费用，且不用维护,2,媒体新闻,c,1
同花顺,"<IMAGE SRC=""http://pic2.pedaily.cn/17/201707/20177272058583777.jpg"" >　　▲ 同花顺月活跃用户远高于其他三方",2,媒体新闻,c,1
同花顺,　　同花顺作为进入行情、咨询服务较早，以及接近交易端的第三方平台，曾在牛市期间，为合作券商导入较为可观的新增开户用户量，同时也因提供的交易服务合作而拥有较好的流量变现能力,2,媒体新闻,c,1
同花顺,　　据公开消息，同花顺客户端平台目前和40多家券商有A股股票开户合作，和71家券商有股票交易合作,2,媒体新闻,c,1
同花顺,这样的合作让券商可以借助同花顺进行低成本获客，同花顺则可以从开户和交易中抽取佣金,2,媒体新闻,c,1
同花顺,通过这种“一人多户”的模式，同花顺月活跃用户达到3500万，成为金融信息服务领域龙头企业,2,媒体新闻,c,1
同花顺,"<IMAGE SRC=""http://pic2.pedaily.cn/17/201707/2017727205927793.jpg"" >　　▲ 同花顺2016年主营业务构成及收入情况",2,媒体新闻,c,1
同花顺,　　然而惹毛券商的直接原因是，同花顺近日开始主动向客户推荐佣金更低的券商,2,媒体新闻,c,1
