keywords,sentence,article_no,source,title or content
多喜爱,　　证券时报网（www.stcn.com）07月28日讯　　7月28日盘后的大宗交易数据显示，多喜爱(行情002761，诊股)今日现2.36亿元的大宗交易，成交量为591万股，成交价格39.9元/股，较今日收盘价36.7元/溢价8.72%,0,媒体新闻,c,1
多喜爱,注：截至7月28日收盘，多喜爱市值为44亿元，流通股本为5557万股,0,媒体新闻,c,1
多喜爱,多喜爱现大宗交易 机构溢价卖出2.36亿元,0,媒体新闻,t,1
多喜爱,本报记者 金姝妮 北京报道7月25日，多喜爱集团股份有限公司(002761.SZ，以下简称“多喜爱”)公告称，公司与硬蛋科技、科通芯城(00400.HK)分别签署的协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态,1,媒体新闻,c,1
多喜爱,关于人工智能方面相关业务是否会继续做下去，多喜爱的公告中并未明说,1,媒体新闻,c,1
多喜爱,7月26日，多喜爱董事长陈军独家回应《中国经营报》记者称，不再做人工智能业务了，但公司转型是必须的，“新业务正在找，急不得，不排除还是在互联网领域“，陈军说,1,媒体新闻,c,1
多喜爱,4月11日，多喜爱宣布与硬蛋科技签署合作框架协议，宣布双方将共同打造智能家居“AI+家纺”生态，进行人工智能+传统产业的转型探索并展开全面深入合作,1,媒体新闻,c,1
多喜爱,5月5日，多喜爱进一步公告与科通芯城签署《业务合作协议》,1,媒体新闻,c,1
多喜爱,双方在智能硬件领域的合作将以控股子公司深圳多喜爱信息技术有限公司作为唯一的实施平台，并将深圳多喜爱信息技术有限公司的名称变更为“前海硬蛋智能有限公司”，具体以工商部门核准的名称为准,1,媒体新闻,c,1
多喜爱,《业务合作协议》显示，多喜爱与科通芯城同意合作拓展前海硬蛋基于硬蛋平台的新业务，目标是将前海硬蛋打造成中国最大的人工智能产业平台,1,媒体新闻,c,1
多喜爱,《业务合作协议》签署后半个月，多喜爱的合作对象科通芯城遭沽空机构做空,1,媒体新闻,c,1
多喜爱,科通芯城股价下跌的同时，多喜爱也未能幸免,1,媒体新闻,c,1
多喜爱,多喜爱5月22日收跌8.3%，并在23日和24日连续跌停,1,媒体新闻,c,1
多喜爱,多喜爱在6月1日的停牌公告中表示，截至停牌日，控股股东陈军持有公司股份28.51%，累计质押股份占其所持公司股份的72.88%，占公司总股本的20.78%;黄娅妮持有公司股份22.34%，累计质押股份占其所持公司股份的97.33%，占公司总股本的21.74%,1,媒体新闻,c,1
多喜爱,6月16日开市起，多喜爱股票复牌,1,媒体新闻,c,1
多喜爱,复牌后，多喜爱股价6月16日、6月19日、6月20日连续三个交易日收盘价格涨幅偏离值累计超过20%,1,媒体新闻,c,1
多喜爱,经历上述“风波”后一个月，多喜爱于昨天宣布与科通芯城的合作协议处于终止状态，后续也不会再磋商细化相关细节,1,媒体新闻,c,1
多喜爱,多喜爱终止与科通芯城合作 人工智能业务“一波三折”终搁浅,1,媒体新闻,t,1
多喜爱,7月25日晚，多喜爱发布公告称，与科通芯城的合作处于终止状态，公司后续将不会再进一步磋商及细化协议中的相关合作,2,媒体新闻,c,1
多喜爱,　　今年5月6日，多喜爱发布《关于与科通芯城集团签订业务合作协议的公告》，双方同意在智能硬件领域开展业务合作，并以公司控股子公司深圳多喜爱信息技术有限公司作为实施本协议约定的业务合作的唯一平台，并将深圳多喜爱信息技术有限公司的名称变更为“前海硬蛋智能有限公司”（“前海硬蛋”，具体以工商部门核准的名称为准）,2,媒体新闻,c,1
多喜爱,　　多喜爱7月25日晚表示，截至本公告日，协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态,2,媒体新闻,c,1
多喜爱,其后，科通芯城股价出现暴跌，而多喜爱股价也一度大跌，不少媒体称多喜爱股价受到了科通芯城暴跌的连累,2,媒体新闻,c,1
多喜爱,多喜爱与科通芯城合作“终止” 后续不再磋商,2,媒体新闻,t,1
多喜爱,　　每经记者 曾剑 每经编辑 叶峰　　多喜爱(行情002761，诊股)7月25日晚间公告称，截至公告日，公司与硬蛋科技、科通芯城（00400，HK）分别签署的协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态,3,媒体新闻,c,1
多喜爱,　　此前，多喜爱于4月11日与科通芯城旗下公司硬蛋科技签署《战略合作框架协议书》,3,媒体新闻,c,1
多喜爱,5月5日，多喜爱再接再厉，与科通芯城签署《业务合作协议》，拟在智能硬件领域开展业务合作,3,媒体新闻,c,1
多喜爱,多喜爱称与科通芯城协议处于终止状态,3,媒体新闻,t,1
多喜爱,    重庆商报-上游财经记者 张蜀君    重庆商报讯 多喜爱与科通芯城的合作“黄”了,4,媒体新闻,c,1
多喜爱,4月1日，多喜爱（002761）发布公告称，与硬蛋科技有限公司达成战略合作，共同打造智能家居“AI+家纺”生态，探索人工智能与传统产业相结合,4,媒体新闻,c,1
多喜爱,5月5日，多喜爱又与科通芯城签署了业务合作协议，双方共同成立“前海硬蛋智能科技有限公司”,4,媒体新闻,c,1
多喜爱,不过，7月25日晚间，多喜爱表示，截至本公告日，协议所约定的相关合作未取得实质性进展，也没有开展任何具体业务，相关合作处于终止状态,4,媒体新闻,c,1
多喜爱,正因如此，多喜爱后续将不会再进一步磋商及细化协议中的相关合作,4,媒体新闻,c,1
多喜爱,    多喜爱表示，该合作的终止，不会影响公司及公司子公司业务的开展，也不会对公司及公司子公司造成其他损失,4,媒体新闻,c,1
多喜爱,"多喜爱与科通芯城合作“黄”了
重庆商报-上游财经记者 张蜀君",4,媒体新闻,t,1
