keywords,sentence,article_no,source,title or content
太阳鸟,　　收购亚光电子过会，进入微波组件行业第一梯队，成为体量最大军工电子上市公司　　上市公司太阳鸟以发行股份的方式（12.95元/股）购买97.38%亚光电子股权，交易价格为33.42亿元；同时非公开发行不超过0.60亿股募集配套资金不超过10.66亿,0,媒体新闻,c,1
太阳鸟,典型的案例有，红相电力收购星波通信，盛路通信收购南京恒电，方大化工收购长沙韶光，以及太阳鸟收购亚光电子,0,媒体新闻,c,1
太阳鸟,　　【并购汪市场观察】太阳鸟（300123）交易终获过会，4个有限合伙型的交易对手合伙人承诺36个月内不转让合伙份额(间接转让上市公司股份)，对并购基金有何启示,1,媒体新闻,c,1
太阳鸟,　　小汪说　　太阳鸟收购亚光电子的交易于今日(2017年7月19日)上会，已获得有条件通过,1,媒体新闻,c,1
太阳鸟,　　太阳鸟作价33.42亿元收购亚光电子97.38%股权的交易一直受人关注,1,媒体新闻,c,1
太阳鸟,一方面，太阳鸟目前市值约37亿元，2016年归母净利润仅为0.18亿元,1,媒体新闻,c,1
太阳鸟,　　此前亚光电子的国有产权被公开挂牌转让，“大股东 PE”型并购基金宁波太阳鸟击退了包括天通股份（600330）在内的众多交易对手，最终获得亚光电子的控制权,1,媒体新闻,c,1
太阳鸟,　　01 并购基金：宁波太阳鸟 1.1　　亚光电子国有产权拍卖　　亚光电子为四川老牌军工企业,1,媒体新闻,c,1
太阳鸟,　　1.2　　大股东成立并购基金　　为参与竞拍，太阳鸟的控股股东太阳鸟控股联合南京瑞联、天通股份、东方天力、东证蓝海、浩蓝瑞东、浩蓝铁马、华腾五号、华腾十二号成立专用于本次交易的并购基金宁波太阳鸟，并对其出资29，300.00万元,1,媒体新闻,c,1
太阳鸟,　　宁波太阳鸟为有限合伙形式的并购基金，执行事务合伙人为太阳鸟控股，委派代表为李跃先,1,媒体新闻,c,1
太阳鸟,　　太阳鸟控股、南京瑞联、东方天力、东证蓝海、浩蓝金戈、浩蓝铁马、华腾五号和华腾十二号7家企业共同对宁波太阳鸟出资24.46亿元,1,媒体新闻,c,1
太阳鸟,并将出资转为对宁波太阳鸟的借款,1,媒体新闻,c,1
太阳鸟,　　参与亚光电子国有产权竞拍的主体为宁波太阳鸟的子公司海斐新材料,1,媒体新闻,c,1
太阳鸟,宁波太阳鸟对海斐新材料提供借款24.46亿元,1,媒体新闻,c,1
太阳鸟,但在这一交易中，宁波太阳鸟对收购主体的出资为债权出资,1,媒体新闻,c,1
太阳鸟,　　因此，并购基金形成了两层债权结构：　　(1)第一层结构为各出资人对宁波太阳鸟提供贷款；　　(2)第二层结构为宁波太阳鸟对子公司海斐新材料提供贷款,1,媒体新闻,c,1
太阳鸟,　　宁波太阳鸟参与亚光电子的国有产权竞拍之后，由于竞拍竞争激励，拍卖价格被抬升，因此宁波太阳鸟初始募集的24.46亿元无法满足收购标的的资金需求,1,媒体新闻,c,1
太阳鸟,　　而另一上市公司天通股份由于竞拍不成功，转而作为有限合伙人投资宁波太阳鸟，并对宁波太阳鸟出资5亿元,1,媒体新闻,c,1
太阳鸟,宁波太阳鸟的募资规模达到29.30亿元，资金问题得到解决,1,媒体新闻,c,1
太阳鸟,"　　根据天通股份的公告，我们可以得知宁波太阳鸟的出资情况：<IMAGE SRC=""http://e.thsi.cn/img/8cc4ecebee307f29"" ><IMAGE SRC=""http://e.thsi.cn/img/487797f92a87e103"" >　　海斐新材料不仅通过竞拍收购了亚光电子的国有产权，还与亚光电子的11名自然人股东签订协议，收购了亚光电子的少数股权",1,媒体新闻,c,1
太阳鸟,首先，宁波太阳鸟以对海斐新材料享有的债权偿还出资人的债务，使得出资人直接持有海斐新材料的债权,1,媒体新闻,c,1
太阳鸟,"img/d52ea915d6698cbc"" >　　公告披露，为满足产权交易所竞价规则及国防科工局对涉军工类企业购买方提出的严苛条件，避免因控股权分散而造成多次审批，经交易多方共同协商，2016年12月太阳鸟控股与南京瑞联、浩蓝瑞东、浩蓝铁马、华腾五号、华腾十二号签订了《成都亚光电子股份有限公司股东之一致行动协议》及其补充协议",1,媒体新闻,c,1
太阳鸟,　　根据协议，南京瑞联、华腾五号、华腾十二号、浩蓝瑞东和浩蓝铁马作为亚光电子的直接股东期间，在亚光电子会议提案及表决、公司高管提名及投票选举以及在亚光电子的其他有关经营决策中与太阳鸟控股的意思表示一致、与太阳鸟控股达成一致行动意见,1,媒体新闻,c,1
太阳鸟,　　也就是说，在上市公司成功收购亚光电子之前，太阳鸟控股将与南京瑞联、华腾五号、华腾十二号、浩蓝瑞东和浩蓝铁马保持一致行动人关系，共同控制亚光电子58.16%股份,1,媒体新闻,c,1
太阳鸟,太阳鸟控股的控股股东李跃先为亚光电子实际控制人,1,媒体新闻,c,1
