keywords,sentence,article_no,source,title or content
富安娜,7月24日上午，在深圳市南山区富安娜公司总部，富安娜携手云集微店，共同签订了2017年度战略合作协议,0,媒体新闻,c,1
富安娜,富安娜总裁林国芳，副总裁何雪晴、总裁助理及电商负责人林镇成，以及从杭州远道而来的云集微店CEO肖尚略、商品总经理陈敏、业务发展总监冯继东等出席了本次签约活动,0,媒体新闻,c,1
富安娜,"<IMAGE SRC=""http://www.cet.com.cn/upload/Image/2017/08/01/mrtp/1_19516766993.png"" > (富安娜与云集微店签署2017年度战略合作协议)? 富安娜1994年成立至今，一直处于高速成长之中，生产、销售都取得了骄人业绩",0,媒体新闻,c,1
富安娜,2015年富安娜提出了“二次创业”战略，以行业破局者、革命者的身份全面进军全屋定制领域;2017年更提出了“三次创业”战略，大刀阔斧的进军服装领域，让美从家走出来，成为行走的艺术品,0,媒体新闻,c,1
富安娜,富安娜在2016年7月20日正式入驻云集微店，在合作的一年时间里，富安娜取得了业绩上的快速增长,0,媒体新闻,c,1
富安娜,正是在富安娜和云集平台以及所有云集店主的共同努力下，富安娜在云集平台取得如此骄人的成绩;也正是双方良好的合作基础，才促成了这次年度合作协议的签订,0,媒体新闻,c,1
富安娜,? 富安娜总裁助理及电商负责人林镇成介绍到，富安娜经过23年发展与壮大，已经稳健成长为家纺行业上市公司的领军企业,0,媒体新闻,c,1
富安娜,林镇成强调，与云集微店的合作是富安娜社交电商新零售模式的一次成功尝试，在未来一年的合作里，双方通过友好协商与诚信合作，将会实现双方的合作共赢，取得更辉煌的成就,0,媒体新闻,c,1
富安娜,"<IMAGE SRC=""http://www.cet.com.cn/upload/Image/2017/08/01/mrtp/1_19516774619.png"" > (富安娜总裁助理及电商负责人林镇成发言)云集微店CEO肖尚略在讲话中指出，云集微店是一个致力于打造爆款、创造精品的社交电商平台，致力于挖掘每一个优势资源，发掘每一个经典品牌，为客户送出高品质的产品和购物体验",0,媒体新闻,c,1
富安娜,肖尚略表示，与富安娜签署战略合作协议，意味着平台可以直接获取富安娜的优质产品资源，每一位云集店主都能在云集微店直接拿到富安娜的货源，同时，他也希望所有的云集店主能够和平台、品牌方一起努力，在未来做出更好的业绩,0,媒体新闻,c,1
富安娜,"<IMAGE SRC=""http://www.cet.com.cn/upload/Image/2017/08/01/mrtp/1_19516782747.png"" > (云集微店CEO肖尚略发言)此次云集微店与富安娜战略合作协议的签订，标志着双方未来在社交电商新零售模式方面将展开更加深入的沟通与合作，缩短品牌到粉丝的销售链条，将富安娜的品牌优势与云集微店的平台优势结合起来",0,媒体新闻,c,1
富安娜,对富安娜而言，将进一步深化基于移动端和社交场景的电商销售模式， 对现有的电商渠道形成很好的补充,0,媒体新闻,c,1
富安娜,而云集微店选择富安娜，也是对于品牌阵营强化，让更多用户可以享受到高品质的产品， 增强用户更高的粘度,0,媒体新闻,c,1
富安娜,富安娜与云集微店战略合作 深化基于社交场景的电商销售模式,0,媒体新闻,t,1
富安娜,"//epaper.bjbusiness.com.cn/site1/bjsb/images/2017-07/20/TK25/res02_attpic_brief.jpg"" >　　坚持以人为本的经营理念，富安娜致力于做中国健康睡眠、艺术美家生活方式的创造者<IMAGE SRC=""http://epaper.bjbusiness.com.cn/site1/bjsb/images/2017-07/20/T",1,媒体新闻,c,1
富安娜,其中，富安娜以艺术家纺跨界全屋艺术美家配制的惊艳表现，荣膺“十大家居商业模式创新品牌”之“跨界拓展创新品牌”奖,1,媒体新闻,c,1
富安娜,　　深圳市富安娜家居用品股份有限公司成立于1994年，是一家集研发、生产和营销于一体的大型家居用品上市企业；公司涉及家纺、家居配饰、潮流服饰、定制家具以及成品家私五大业务板块,1,媒体新闻,c,1
富安娜,包含专卖店、专柜、团购、电子商务以及跨境电商的全渠道模式；经过23年发展，富安娜已经稳健成长为家纺行业上市公司的领军企业,1,媒体新闻,c,1
富安娜,　　极具个性的原创艺术产品研发设计是富安娜的核心优势竞争力：富安娜拥有业内最为强大的研发设计团队，同时，也是业内拥有自主知识产权最多的企业，包括但不限于：有效专利30项，版权证书925项,1,媒体新闻,c,1
富安娜,全球仅有的两家平网技术掌握者，富安娜是其中之一,1,媒体新闻,c,1
富安娜,且富安娜还是全球领先的最大独幅真丝提花创新设计者，每年向市场输出数百款原创家居新品,1,媒体新闻,c,1
