keywords,sentence,article_no,source,title or content
小天鹅,【公司·小天鹅A】陈子仪：内外销并驾齐驱 收入高增超预期,0,媒体新闻,t,1
小天鹅,　　事件：　　小天鹅A于8月5日发布2017年半年报，公司上半年营业收入105.68亿元，同比增长32.35%，归属于上市公司股东的扣非净利润7.15亿元，同比增长25.97%，每股收益1.16元，同比增长26.09%,1,媒体新闻,c,1
小天鹅,公司市场地位稳固，根据中怡康数据：1）线上：2017H1，小天鹅、美的双品牌市场份额合计约31%，领先第二名约8pct，优势显著；2）线下，小天鹅与海尔市场份额并列第一，2017H1市场份额达27%,2,媒体新闻,c,1
小天鹅,　　投资建议　　借助美的“产品领先+效率提升+全球运营”战略，小天鹅市场份额、盈利水平、运营效率、资产质量大幅提升并有望在未来继续保持,3,媒体新闻,c,1
小天鹅,　　事件：2017年8月4日，小天鹅发布2017年半年报，业绩再创新高,4,媒体新闻,c,1
小天鹅,小天鹅成立40年来，一直专注于洗衣机行业，公司以消费者需求为导向，不断优化产品结构，持续提升产品品质，盈利能力不断加强，同时行业地位和市场份额持续提升,4,媒体新闻,c,1
小天鹅,产品力是每个企业的核心竞争力，小天鹅非常注重研发资源的持续投入，2016年研发投入近7亿元，研发团队达700人,4,媒体新闻,c,1
小天鹅,在家电行业结构转型升级的背景下，我们看好小天鹅通过提升制造力、品牌力，通过提升效率，持续构造双品牌运作体系，带来的持续稳定的利润增长能力，维持“增持”评级,4,媒体新闻,c,1
小天鹅,　　事件：小天鹅发布2017年半年报,6,媒体新闻,c,1
小天鹅,元；其中，第二季度单季实现营业收入48.78亿元（+30.24%），实现归属净利润3.34亿元（+26.75%），对应EPS为0.53元　　收入增长超预期，成本压力下盈利能力稳定：分地区来看，在收入端小天鹅内销与外销均实现了较高的增速（+29.40%/+43.34%），剔除均价普调以及产品结构高端化的影响（均价~+10%）后仍在量上保持了较高的增速,6,媒体新闻,c,1
小天鹅,数据显示，2017H1小天鹅零售量份额达到26.6%（+0.1pct），1-5月份出口量份额达到20.4%（+4.3pct）位居第一；在盈利能力方面，2017H1公司实现毛利率25.6%（-1.6pct），其中内/外销毛利,6,媒体新闻,c,1
小天鹅,小天鹅滚筒产能当下已经基本达到满产，而200万台新增滚筒生产线的投产有望解决公司滚筒产能不足的限制，进一步实现产品结构高端化、提升产品的整体均价，推动小天鹅收入与盈利进一步持续增长　　盈利预测：预计公司2017至2019年EPS分别为2.31元、2.90元、3.40元，对应最新收盘价PE分别为19x、15x、13x，给予增持评级,6,媒体新闻,c,1
小天鹅,    中证网讯（记者 蒋洁琼）小天鹅A(000418)8月4日晚披露半年报，公司上半年实现营业收入105.68亿元，同比增长32.35%；归属于上市公司股东的净利润7.32亿元，同比增长25.95%；基本每股收益1.16元/股,7,媒体新闻,c,1
小天鹅,小天鹅A今年上半年实现净利润7.3亿元 同比增26%,7,媒体新闻,t,1
小天鹅,　　中证网讯小天鹅A(行情000418，诊股) （000418）8月4日晚间发布2017年半年度报告，2017年上半年，公司实现营业收入105.7亿元，同比增长32.4%，归属于母公司股东的净利润7.3亿元，同比增长26.0%，公司整体毛利率25.6%,8,媒体新闻,c,1
小天鹅,小天鹅A2017年上半年净利润7.3亿元 增长26%,8,媒体新闻,t,1
小天鹅,　　小天鹅A：上半年净利7.3亿元 同比增26%　　小天鹅A(000418)8月4日晚披露半年报，2017年上半年，公司实现营业收入105.7亿元，同比增长32.4%，净利润7.3亿元，同比增长26%,9,媒体新闻,c,1
小天鹅,[快讯]小天鹅A上半年净利7.3亿元 多家公司公布业绩-更新中,9,媒体新闻,t,1
小天鹅,　　小天鹅A(行情000418，诊股)（000418-CN）8月4日披露半年报，2017年上半年，公司实现营业收入105.7亿元，同比增长32.4%，净利润7.3亿元，同比增长26%,10,媒体新闻,c,1
小天鹅,小天鹅A(000418-CN)上半年净利同比增26%至7.3亿元,10,媒体新闻,t,1
小天鹅,　　中国证券网讯（记者 孔子元）小天鹅4日晚间公告，2017年上半年，公司实现营业收入105.7亿元，同比增长32.4%，归属于母公司股东的净利润7.3亿元，同比增长26.0%，公司整体毛利率25.6%,11,媒体新闻,c,1
小天鹅,小天鹅半年报净利增长26%,11,媒体新闻,t,1
小天鹅,　　事件描述　　小天鹅A跟踪报告,12,媒体新闻,c,1
小天鹅,7月9日喜讯传来：“小天鹅”2017斯诺克世界杯决赛上，中国A队选手丁俊晖和梁文博时隔六年勇夺冠军，梁文博激动“亲吻”丁俊晖的照片也被球迷疯狂转发,13,媒体新闻,c,1
小天鹅,与此同时，来自家电业的冠名赞助商小天鹅再次怒刷好感度，“躺着”收割了又一波流量与关注,13,媒体新闻,c,1
小天鹅,早在赛前，丁俊晖和梁文博等代表队“男神”亲临小天鹅展馆，为小天鹅新品站台，引无数粉丝“舔屏”,13,媒体新闻,c,1
